edition	representation	relations	assignments	true_assignment_score	true_assignment_rank	inclusive_assignment_tail	true_row_ranks	exact_page_host_query_hits	max_15_score_p
ZL3b	PAGE_HOST_IDENTITY	5	120	0	1	1	1,1,1,1,1	0	1
ZL3b	PAGE_HOST_CHAR3	5	120	0.0510361661816	28	0.233333333333	5,1,4,1,1	NA	0.766666666667
ZL3b	RAW_CHAR3	5	120	0.0847927620361	8	0.0666666666667	3,2,3,1,2	NA	0.25
ZL3b	SOURCE_FAMILY_CHAR3	5	120	0.166338151606	86	0.716666666667	5,2,3,2,4	NA	1
ZL3b	COMPILER_SIGNATURE	5	120	0.0871212121212	49	0.45	1,2,1,3,4	NA	0.866666666667
IT2a	PAGE_HOST_IDENTITY	5	120	0	1	1	1,1,1,1,1	0	1
IT2a	PAGE_HOST_CHAR3	5	120	0.0510361661816	28	0.233333333333	5,1,4,1,1	NA	0.766666666667
IT2a	RAW_CHAR3	5	120	0.0847927620361	8	0.0666666666667	3,2,3,1,2	NA	0.25
IT2a	SOURCE_FAMILY_CHAR3	5	120	0.166338151606	86	0.716666666667	5,2,3,2,4	NA	1
IT2a	COMPILER_SIGNATURE	5	120	0.0871212121212	49	0.45	1,2,1,3,4	NA	0.866666666667
RF1b	PAGE_HOST_IDENTITY	5	120	0	1	1	1,1,1,1,1	0	1
RF1b	PAGE_HOST_CHAR3	5	120	0.0510361661816	30	0.25	5,1,4,2,1	NA	0.766666666667
RF1b	RAW_CHAR3	5	120	0.0711551994719	31	0.258333333333	3,2,5,1,2	NA	0.741666666667
RF1b	SOURCE_FAMILY_CHAR3	5	120	0.166338151606	86	0.716666666667	5,2,3,2,4	NA	1
RF1b	COMPILER_SIGNATURE	5	120	0.0871212121212	49	0.45	1,2,1,3,4	NA	0.866666666667
