core_pair	locus	page	group_index	position_quartile	previous_token	target_token	target_host	next_token	claim_state
AR/OTAR	f103r.22	f103r	7	2	shedy	qotar	otar	chcthy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f104r.36	f104r	2	0	psheody	qotar	otar	chopar	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f105v.13	f105v	4	1	qokchdy	otar	otar	al	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f106v.16	f106v	7	2	qotchdy	qotar	otar	shedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f106v.33	f106v	3	1	ody	qotar	otar	chey	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f111r.7	f111r	11	3	otedy	otar	otar	aiin	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f111v.34	f111v	8	2	opchedy	qotar	otar	otar	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f114r.40	f114r	7	2	qoteeedy	qotar	otar	otees	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f115r.43	f115r	7	2	qokchedy	chotar	otar	orar	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f115v.4	f115v	4	1	otechdy	qotar	otar	al	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f116r.4	f116r	10	3	oteedy	qotar	otar	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f43r.10	f43r	11	3	dydydy	qotar	otar	LINE_END	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f48v.2	f48v	5	1	otchody	otar	otar	yotedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f75r.44	f75r	7	2	okoldy	otar	otar	otam	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AR/OTAR	f76v.31	f76v	9	3	otedy	qotar	otar	chedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f104r.39	f104r	5	1	alkchdy	qotal	otal	chol	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f107v.2	f107v	7	2	qokedy	otal	otal	chedy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f108r.36	f108r	6	2	okedy	qotal	otal	chdy	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
AL/OTAL	f113r.32	f113r	5	1	okshedy	otal	otal	okaiin	SEQUENCE_EXAMPLE_NOT_DECODED_TEXT
