scope	page	physical_folio	record_id	field_count	mixed_clause_argument	final_closer_like	instruction_fields	argument_fields	closer_fields	unresolved_fields	abstract_sequence
HERBAL_B2	f26r	f26	HERBAL_B2|f26r|R01	8	1	0	2	6	0	0	SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE
HERBAL_B2	f26v	f26	HERBAL_B2|f26v|R01	8	1	0	3	5	0	0	INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE
HERBAL_B2	f31r	f31	HERBAL_B2|f31r|R01	5	1	1	1	3	1	0	SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|RECORD_CLOSER_LIKE
HERBAL_B2	f31r	f31	HERBAL_B2|f31r|R02	8	1	1	2	4	1	1	UNRESOLVED_EDGE_CLASS|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|RECORD_CLOSER_LIKE
HERBAL_B2	f33r	f33	HERBAL_B2|f33r|R01	1	0	1	0	0	1	0	RECORD_CLOSER_LIKE
HERBAL_B2	f33v	f33	HERBAL_B2|f33v|R01	3	1	1	1	1	1	0	SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|RECORD_CLOSER_LIKE
HERBAL_B2	f34r	f34	HERBAL_B2|f34r|R01	20	1	1	6	13	1	0	INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|RECORD_CLOSER_LIKE
HERBAL_B2	f34v	f34	HERBAL_B2|f34v|R01	10	1	1	4	4	1	1	UNRESOLVED_EDGE_CLASS|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|RECORD_CLOSER_LIKE
HERBAL_B2	f39r	f39	HERBAL_B2|f39r|R01	4	1	1	2	1	1	0	SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|RECORD_CLOSER_LIKE
HERBAL_B2	f39v	f39	HERBAL_B2|f39v|R01	7	1	1	2	4	1	0	SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|RECORD_CLOSER_LIKE
HERBAL_B2	f40r	f40	HERBAL_B2|f40r|R01	3	0	1	2	0	1	0	INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|RECORD_CLOSER_LIKE
HERBAL_B2	f40v	f40	HERBAL_B2|f40v|R01	8	1	1	3	3	1	1	UNRESOLVED_EDGE_CLASS|INSTRUCTION_CLAUSE_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|INSTRUCTION_CLAUSE_LIKE|SHORT_ARGUMENT_LIKE|SHORT_ARGUMENT_LIKE|RECORD_CLOSER_LIKE
