control_id	related_a65_feature	tradition_or_witness	date_region	frozen_cardinalities_or_structure	prevalence_class	source_ids	supporting_statement	use_in_kart001
GEN_F01	A65_F01	Standard zodiac tradition	Premodern Mediterranean; Arabic; Latin	12	COMMON_MEDIEVAL	TITUS_A65_TEXT;RUTKIN_2019	Twelve-sign zodiac is shared architecture, not a Georgian discriminator	Cardinality control and specificity penalty
GEN_F02	A65_F02	Standard 360-degree zodiac	Premodern Mediterranean; Arabic; Latin	12;30	COMMON_MEDIEVAL	TITUS_A65_TEXT;RUTKIN_2019	Each zodiac sign spans thirty degrees in the standard system	Cardinality control and near-zero specificity
GEN_F03	A65_F03	Decan tradition	Egyptian; Greco-Roman; medieval astrology	3;10;12;36	COMMON_MEDIEVAL	AINSWORTH_2018;TITUS_A65_TEXT	Three ten-degree decans per sign are not geographically diagnostic	Cardinality control and near-zero specificity
GEN_F04	A65_F04	Seven premodern planets	Greco-Roman; Byzantine; Arabic; Latin	7	COMMON_MEDIEVAL	RUTKIN_2019;FU_PLANETARY_WEEK	Sun Moon and five visible planets form the common seven	Cardinality control and near-zero specificity
GEN_F05	A65_F05	Arabic manazil al-qamar	Medieval Arabic and Arabic-derived traditions	28	REGIONALLY_ENRICHED	VARISCO_CSIC_2022;TIME_ASTRONOMY_2024	The Arabic lunar zodiac has twenty-eight sections or stations	Cardinality control; low geographic specificity for Arabic-derived A-65
GEN_F05B	A65_F05	Indian nakshatra and wider Eurasian lunar stations	South and East Asian traditions	27;28	COMMON_CROSS_CULTURAL	TIME_ASTRONOMY_2024	Lunar-station systems occur with 27 or 28 members outside Georgia	Cardinality control and specificity penalty
GEN_F06	A65_F06	Alternating manuscript rubrication	A-65 exact convention; comparative prevalence unresolved	28_PLUS_ODD_EVEN_COLOR	UNKNOWN	TITUS_A65_TEXT	Exact odd-red/even-black schedule is securely reported only for A-65 in this freeze	Compatibility only; no rarity p-value
GEN_F07	A65_F07	Astrological degree doctrines	Arabic-derived and Latin astrology	SIGN_SPECIFIC_SUBSETS_OF_30	REGIONALLY_ENRICHED	TITUS_A65_TEXT;ABULADZE_GIUNASHVILI_2021	Exact lists may be recension-specific but degree doctrines are broader than Georgia	Eligible exact-roster test with cultural caution
GEN_F08	A65_F08	Elements directions seasons qualities triplicities	Greco-Roman; Byzantine; Arabic; Latin	3;4;12	COMMON_MEDIEVAL	NYPL_MA069_AUDIT;TITUS_A65_TEXT	Fourfold qualities and sign groupings are common cosmographic astrology	System profile only
GEN_C01	CONTROL_POOL	NYPL MA 069 circular computus/cosmography modules	1240-1260 Paris	4;7;8;12;19	COMMON_MEDIEVAL	NYPL_MA069_AUDIT	One codex combines zodiac letter-number fourfold Sun-Moon and nineteen-year cycles	Cardinality-resampling control
GEN_C02	CONTROL_POOL	St Gallen Cod. Sang. 760 circular calculators	Early medieval Latin computus	19;28	COMMON_MEDIEVAL	ACTIVE_STATE_CIRCLE_AUDITS	Official pages preserve explicit 19-sector and 28-sector calculators	Cardinality-resampling control
GEN_C03	CONTROL_POOL	Medieval tidal rotae and Oxford St John's MS 17	c.1110 England and wider Latin computus	29;30	COMMON_MEDIEVAL	OXFORD_TIDAL_AUDIT	Ordered tidal rotae commonly use 30 sectors and sometimes 29	Cardinality-resampling control
GEN_C04	CONTROL_POOL	Calendrical and tide-wheel structures	Generic medieval calendrical practice; 1375 Catalan tide calculator	4;7;12;16	COMMON_MEDIEVAL	NYPL_MA069_AUDIT;ACTIVE_STATE_CIRCLE_AUDITS	Seasons weekdays months and sixteen-sector tide wheels create common small cardinalities	Cardinality-resampling control
GEN_C05	CONTROL_POOL	Full frozen cardinality universe	Externally fixed before target scoring	3;4;7;8;10;12;16;19;27;28;29;30;36	CONTROL_UNIVERSE	SOURCE_AUDIT	Every value is tied to an attested medieval astronomical or computistical architecture	Enumerate all 715 four-value sets for T1 null
