locus	page	physical_folio	visual_state	source_record_id	hpr2_parse_available	token	page_host	right_family	stable_class	predicted_direction_correct	audit_class
f77r.1	f77r	f77	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	darchdar	archd	ar	0	0	BOUNDED_WITHOUT_CLASS
f77r.8	f77r	f77	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	dotedy	e	NONE	0	0	BOUNDED_WITHOUT_CLASS
f77r.49	f77r	f77	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	otchdy	ch	NONE	0	0	BOUNDED_WITHOUT_CLASS
f77r.50	f77r	f77	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f77v.5	f77v	f77	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f77v.43	f77v	f77	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f77v.44	f77v	f77	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	okalo	okalo	NONE	0	0	BOUNDED_WITHOUT_CLASS
f80r.2	f80r	f80	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	1	olchdy	olch	NONE	0	0	OPEN_WITHOUT_CLASS
f80r.7	f80r	f80	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	1	olky	olky	NONE	0	0	OPEN_WITHOUT_CLASS
f80r.8	f80r	f80	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	1	otalshedy	otalshe	NONE	0	0	OPEN_WITHOUT_CLASS
f80r.9	f80r	f80	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f80r.10	f80r	f80	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f82r.34	f82r	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f82r.36	f82r	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	1	okal	ok	al	1	0	CLASS_POSITIVE_OPEN_COUNTEREXAMPLE
f82r.37	f82r	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f82r.39	f82r	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f82r.41	f82r	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f82r.42	f82r	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	1	sokoly	okoly	NONE	0	0	OPEN_WITHOUT_CLASS
f82r.43	f82r	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	1	dolol	olol	NONE	0	0	OPEN_WITHOUT_CLASS
f82v.2	f82v	f82	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	otedy	e	NONE	0	0	BOUNDED_WITHOUT_CLASS
f82v.39	f82v	f82	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	olkeedy	olkee	NONE	0	0	BOUNDED_WITHOUT_CLASS
f82v.40	f82v	f82	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	okalchy	okalchy	NONE	0	0	BOUNDED_WITHOUT_CLASS
f82v.41	f82v	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	1	okain	ok	ain	1	0	CLASS_POSITIVE_OPEN_COUNTEREXAMPLE
f82v.46	f82v	f82	OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	1	olkol	olkol	NONE	0	0	OPEN_WITHOUT_CLASS
f83r.45	f83r	f83	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	chtorol	torol	NONE	0	0	BOUNDED_WITHOUT_CLASS
f83r.46	f83r	f83	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	olsaiin	ols	aiin	0	0	BOUNDED_WITHOUT_CLASS
f83v.9	f83v	f83	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	ololary	ololary	NONE	0	0	BOUNDED_WITHOUT_CLASS
f83v.10	f83v	f83	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	okarchy	okarchy	NONE	0	0	BOUNDED_WITHOUT_CLASS
f83v.34	f83v	f83	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	0				0	0	NO_HPR2_PARSE_NOT_CLASSIFIED
f83v.35	f83v	f83	INDIVIDUAL_BOUNDED	bfe001_bio_figure_enclosure_capacity.json	1	okaiin	ok	aiin	1	1	CLASS_POSITIVE_BOUNDED_SUPPORT
