module	visual_contrast	positive_n	negative_n	positive_with_module	negative_with_module	effect	informative_pages	page_conditioned_one_sided_p	reading_stable_rows	representative_positive_loci	representative_negative_loci	confound
DAL	UPPER_VS_LOWER	244	89	14	3	0.023669184011788545	8	0.15112842631159162	333	f67r2.55;f75v.22;f75v.23;f75v.24;f75v.31;f75v.32;f77v.3;f77v.5;f82v.4;f83r.50;fRos.65;fRos.92;f88r.23;f102r2.22	f57v.9;fRos.15;f88v.27	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
DAL	INSIDE_VS_OUTSIDE	116	18	7	0	0.0603448275862069	3	0.3008034666425927	134	f57v.8;f57v.9;f73r.16;f73r.18;fRos.37;fRos.48;fRos.65		HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
OL	FLOW_DUCT_VS_FIGURE	25	309	9	44	0.2176051779935275	4	0.30721197993925264	334	f77r.2;f77r.5;f77v.3;f82r.10;f82r.35;f82v.44;f82v.45;f83r.45;f83r.46	f70v2.18;f70v2.26;f70v2.29;f70v2.31;f70v1.9;f70v1.13;f71r.5;f71r.13;f71r.14;f71r.15;f71r.16;f71v.4;f71v.17;f72r1.11;f72r2.21;f72r3.13;f72r3.2;f72r3.3;f72r3.11;f72r3.25;f72r3.24;f72r3.33;f72v3.19;f72v3.10;f72v3.16;f72v3.21;f72v2.16;f72v2.19;f72v2.22;f72v2.26;f72v1.4;f72v1.5;f72v1.9;f72v1.23;f73v.7;f73v.21;f77r.50;f80r.2;f80r.7;f82r.41;f82r.43;f82r.44;f82v.39;f82v.46	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
AR	APPARATUS_VS_FIGURE	22	323	5	62	0.03532226287644244	2	0.3466666666666666	345	f78r.44;f78r.47;f82r.35;f82r.38;fRos.17	f57v.7;f57v.9;f57v.6;f70v2.11;f70v2.16;f70v2.4;f70v2.23;f70v2.24;f70v2.26;f70v2.27;f70v2.22;f70v1.2;f70v1.11;f70v1.16;f70v1.17;f71r.2;f71r.5;f71r.8;f71r.9;f71r.10;f71r.14;f71r.17;f71v.2;f71v.4;f71v.8;f71v.9;f71v.10;f71v.11;f71v.16;f72r1.4;f72r1.7;f72r1.8;f72r1.11;f72r1.13;f72r1.16;f72r2.3;f72r2.5;f72r2.7;f72r2.8;f72r2.12;f72r2.13;f72r2.17;f72r2.19;f72r2.28;f72r2.31;f72r3.22;f72r3.23;f72r3.28;f72r3.30;f72v3.27;f72v2.11;f72v2.26;f72v2.32;f73r.23;f73r.30;f73r.31;f73v.20;f77r.1;f80r.9;f83r.51;f83v.9	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
TEE	FLOW_DUCT_VS_FIGURE	25	324	2	10	0.049135802469135806	1	0.35714285714285715	349	f75v.55;f82v.48	f71r.15;f72r2.13;f72r3.9;f72v3.14;f72v3.29;f72v2.30;f73r.4;f73r.8;f73r.13;f73r.15	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
TE	INSIDE_VS_OUTSIDE	117	17	16	3	-0.03971845148315736	3	0.44872650317988827	134	f68r2.16;f68r2.21;f72r2.13;f73r.21;f73r.8;f73r.13;f73r.15;fRos.48;fRos.63;fRos.80;fRos.100;fRos.103;fRos.105;fRos.107;fRos.130;fRos.127	f73r.4;f73v.2;f73v.3	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
AR	FLOW_DUCT_VS_FIGURE	24	316	2	55	-0.09071729957805909	2	0.45333333333333337	340	f82r.35;f82r.38	f70v2.11;f70v2.16;f70v2.4;f70v2.23;f70v2.24;f70v2.26;f70v2.27;f70v2.22;f70v1.2;f70v1.11;f70v1.16;f70v1.17;f71r.2;f71r.5;f71r.8;f71r.9;f71r.10;f71r.14;f71r.17;f71v.2;f71v.4;f71v.8;f71v.9;f71v.10;f71v.11;f71v.16;f72r1.4;f72r1.7;f72r1.8;f72r1.11;f72r1.13;f72r1.16;f72r2.3;f72r2.5;f72r2.7;f72r2.8;f72r2.12;f72r2.13;f72r2.17;f72r2.19;f72r2.28;f72r2.31;f72r3.22;f72r3.23;f72r3.28;f72r3.30;f72v3.27;f72v2.11;f72v2.26;f72v2.32;f73r.23;f73r.30;f73r.31;f73v.20;f77r.1	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
OL	APPARATUS_VS_FIGURE	22	319	8	50	0.20689655172413793	2	0.4808080808080808	341	f75v.51;f75v.52;f77r.2;f77r.5;f81v.28;f82r.10;f82r.35;fRos.17	f57v.8;f70v2.18;f70v2.26;f70v2.29;f70v2.31;f70v1.9;f70v1.13;f71r.5;f71r.13;f71r.14;f71r.15;f71r.16;f71v.4;f71v.17;f72r1.11;f72r2.21;f72r3.13;f72r3.2;f72r3.3;f72r3.11;f72r3.25;f72r3.24;f72r3.33;f72v3.19;f72v3.10;f72v3.16;f72v3.21;f72v2.16;f72v2.19;f72v2.22;f72v2.26;f72v1.4;f72v1.5;f72v1.9;f72v1.23;f73v.7;f73v.21;f77r.50;f80r.2;f80r.4;f80r.7;f82r.41;f82r.42;f82r.43;f82r.44;f82v.39;f82v.46;f83r.50;f83r.51;f83v.9	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
DAL	FLOW_DUCT_VS_FIGURE	25	327	2	8	0.05553516819571866	2	0.5307692307692308	352	f77v.3;f77v.5	f70v2.30;f70v1.8;f72r1.15;f72v2.27;f72v1.10;f73r.16;f73r.18;f82v.4	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
OL	LEFT_VS_RIGHT	140	156	23	37	-0.07289377289377288	19	0.5431070541915092	296	f67v1.12;f68r2.7;f77r.2;f77v.2;f81v.28;f82r.35;f83r.45;f83r.50;f83v.9;fRos.8;fRos.45;fRos.33;fRos.105;fRos.149;f89r1.2;f89r1.12;f89r2.2;f89r2.10;f89r2.34;f99r.9;f99v.25;f100r.18;f100r.20	f67r2.56;f68r1.36;f68v3.16;f77v.3;f77v.4;f82v.39;f82v.44;f82v.45;f83r.46;f83r.51;fRos.17;fRos.115;f88r.4;f88r.15;f88v.5;f89r1.3;f89r1.4;f89r2.4;f89r2.9;f89v1.23;f99r.21;f99r.25;f99r.26;f99v.30;f99v.31;f99v.44;f100r.19;f100r.21;f100v.1;f100v.2;f100v.4;f100v.5;f100v.11;f102v2.7;f102v2.14;f102v2.15;f102v1.16	HUMAN_DESCRIPTION_AXIS; ABSENCE_UNKNOWN; PAGE_CONDITIONED; PROXIMITY_NOT_OWNERSHIP
