scope	page	assembly	role	token_count	tokens	module_count	modules	missing_registered_loci
ALL_AVAILABLE_PRIMARY	f75v	TOP	LABEL	18	okshy|saral|dokal|darol|dalkar|qokal|dly|ory|oty|lchy|dary|dal|daldy|qoted|rkal|ykedy|olkchy|otoly	6	ar|ol|dal|dar|te|dy	f75v.22|f75v.23
ALL_AVAILABLE_PRIMARY	f75v	TOP	PROSE	46	pchedar|opchedy|qokedy|opchedy|qopdy|dain|chetas|qotam|sor|sheky|qokain|okal|dal|dl|shckhy|kain|olchey|qokain|qokeed|qokedy|rshey|qol|chey|ol|chey|keed|sol|key|ocheain|cheedy|qokal|dain|qoky|qol|sheckhy|qokedy|qokedy|qokaly|sor|chedy|qoky|olshty|qokydy|ol|olkey|sal	5	ar|ol|dal|dar|dy	f75v.7|f75v.16
ALL_AVAILABLE_PRIMARY	f75v	BOTTOM	LABEL	9	otal|opal|okeey|lol|olol|ytedy|otedy|oteey|qotedy	4	ol|te|tee|dy	NONE
ALL_AVAILABLE_PRIMARY	f75v	BOTTOM	PROSE	36	kolkedy|qokedy|qoky|lpchdy|qotchdy|lol|ykeechy|daiin|ol|olsheey|qoly|oteey|qol|chey|qokey|oldy|qokal|dain|dain|okal|sheedy|qoteedy|ly|ykeedy|qokain|otain|shety|okeshey|olkedy|olkedy|qol|chey|qokey|olchedy|otey|orol	4	ol|te|tee|dy	f75v.61|f75v.64|f75v.68
ALL_AVAILABLE_PRIMARY	f83r	TOP	LABEL	2	chtorol|olsaiin	1	ol	NONE
ALL_AVAILABLE_PRIMARY	f83r	TOP	PROSE	11	otchdy|qokchdy|shedal|dal|cheol|lol|chdal|aiin|sol|daiiin|chedy	3	ol|dal|dy	NONE
ALL_AVAILABLE_PRIMARY	f83r	BOTTOM	LABEL	1	darolsy	4	ar|ol|dar|sy	f83r.50
ALL_AVAILABLE_PRIMARY	f83r	BOTTOM	PROSE	13	solkeey|qekey|raly|ol|solchkal|qotar|ol|daiin|ol|dain|chey|ldalor|sol	3	ar|ol|dal	NONE
COMPLETE_LINES_SENSITIVITY	f75v	TOP	LABEL	18	okshy|saral|dokal|darol|dalkar|qokal|dly|ory|oty|lchy|dary|dal|daldy|qoted|rkal|ykedy|olkchy|otoly	6	ar|ol|dal|dar|te|dy	f75v.22|f75v.23
COMPLETE_LINES_SENSITIVITY	f75v	TOP	PROSE	10	qol|sheckhy|qokedy|qokedy|qokaly|sor|chedy|qoky|olshty|qokydy	2	ol|dy	f75v.7|f75v.16
COMPLETE_LINES_SENSITIVITY	f75v	BOTTOM	LABEL	9	otal|opal|okeey|lol|olol|ytedy|otedy|oteey|qotedy	4	ol|te|tee|dy	NONE
COMPLETE_LINES_SENSITIVITY	f75v	BOTTOM	PROSE	19	kolkedy|qokedy|qoky|lpchdy|qotchdy|lol|ykeedy|qokain|otain|shety|okeshey|olkedy|olkedy|qol|chey|qokey|olchedy|otey|orol	3	ol|te|dy	f75v.61|f75v.64|f75v.68
COMPLETE_LINES_SENSITIVITY	f83r	TOP	LABEL	2	chtorol|olsaiin	1	ol	NONE
COMPLETE_LINES_SENSITIVITY	f83r	TOP	PROSE	11	otchdy|qokchdy|shedal|dal|cheol|lol|chdal|aiin|sol|daiiin|chedy	3	ol|dal|dy	NONE
COMPLETE_LINES_SENSITIVITY	f83r	BOTTOM	LABEL	1	darolsy	4	ar|ol|dar|sy	f83r.50
COMPLETE_LINES_SENSITIVITY	f83r	BOTTOM	PROSE	9	solkeey|qekey|raly|ol|daiin|ol|dain|chey|ldalor	2	ol|dal	NONE
