operation	field	source_value	target_value	page_host	source_surface_sha256	target_surface_sha256	source_events	target_events	delta_first	delta_middle	delta_last
wrapper:ch>che	wrapper	ch	che	l	f871e1d1127d2f0a8761e8b309d1990e67566ee5966c27fb652e8af314c5b534	de9e6a81aa9af1c0e916502c0846ec1913753e89bb067ff0ecb6b6f1d13c6fd5	107	35	0.001068090788	-0.001602136182	0.000534045394
wrapper:NONE>ch	wrapper	NONE	ch	l	e20882595488fa4f5a9ecf837ef7e2d220e9898cac625f1163dba2c1c7ec56f7	f871e1d1127d2f0a8761e8b309d1990e67566ee5966c27fb652e8af314c5b534	124	107	-0.024570394935	0.117500753693	-0.092930358758
wrapper:ch>s	wrapper	ch	s	l	f871e1d1127d2f0a8761e8b309d1990e67566ee5966c27fb652e8af314c5b534	8db59feb4d217f26c79d6e76eea6ff80398e8b823e376bb783be870a96cab9e7	107	15	0.477258566978	-0.449221183801	-0.028037383178
wrapper:ch>sh	wrapper	ch	sh	l	f871e1d1127d2f0a8761e8b309d1990e67566ee5966c27fb652e8af314c5b534	a43f1ec49771fbe4b634da8e883596643371147c39a52fbadbc769d1ef56000e	107	54	0.017999307719	-0.008480443060	-0.009518864659
wrapper:ch>q	wrapper	ch	q	l	f871e1d1127d2f0a8761e8b309d1990e67566ee5966c27fb652e8af314c5b534	f4b1ba29b4de6dbc5a350b62a2d0dea93887bdf45efc603daa194cb9f4f3b3ce	107	44	0.103016142736	-0.188615123195	0.085598980459
wrapper:ch>d	wrapper	ch	d	l	f871e1d1127d2f0a8761e8b309d1990e67566ee5966c27fb652e8af314c5b534	d06379416452a88b40fc82f833b0ef456d064e5d3d193f76f9b5207cfde8edcf	107	21	0.277258566978	-0.296840231420	0.019581664441
wrapper:ch>t	wrapper	ch	t	l	f871e1d1127d2f0a8761e8b309d1990e67566ee5966c27fb652e8af314c5b534	99aec9656043c45c8af715ca225d5e6add340292cb36eab0102e99d17576eef5	107	13	0.559309849029	-0.531272465852	-0.028037383178
wrapper:NONE>che	wrapper	NONE	che	l	e20882595488fa4f5a9ecf837ef7e2d220e9898cac625f1163dba2c1c7ec56f7	de9e6a81aa9af1c0e916502c0846ec1913753e89bb067ff0ecb6b6f1d13c6fd5	124	35	-0.023502304147	0.115898617512	-0.092396313364
wrapper:che>s	wrapper	che	s	l	de9e6a81aa9af1c0e916502c0846ec1913753e89bb067ff0ecb6b6f1d13c6fd5	8db59feb4d217f26c79d6e76eea6ff80398e8b823e376bb783be870a96cab9e7	35	15	0.476190476190	-0.447619047619	-0.028571428571
wrapper:che>sh	wrapper	che	sh	l	de9e6a81aa9af1c0e916502c0846ec1913753e89bb067ff0ecb6b6f1d13c6fd5	a43f1ec49771fbe4b634da8e883596643371147c39a52fbadbc769d1ef56000e	35	54	0.016931216931	-0.006878306878	-0.010052910053
