residual_host	branch	right_edge_state	occurrences	physical_folios	tokens	loci	claim_state
alkch	Q	DY_RESOLUTION	1	1	alkchdy	f104r.39	FORMAL_CELL_NOT_MEANING
alke	Q	DY_RESOLUTION	1	1	dalkedy	f108r.45	FORMAL_CELL_NOT_MEANING
alkee	Q	DY_RESOLUTION	2	2	chalkeedy|salkeedy	f108r.26|f111r.29	FORMAL_CELL_NOT_MEANING
cfhekch	Q	DY_RESOLUTION	1	1	cfhekchdy	f41v.2	FORMAL_CELL_NOT_MEANING
ch	L	DY_RESOLUTION	1	1	shchdy	f103r.31	FORMAL_CELL_NOT_MEANING
ch	Q	DY_RESOLUTION	9	7	tchdy	f104v.15|f105v.37|f33v.5|f50r.4|f80v.39|f80v.9|f86v3.19|f86v3.21|f95r1.9	FORMAL_CELL_NOT_MEANING
chdaiin	Q	ENTRY_STATE	1	1	tchdaiin	f34v.4	FORMAL_CELL_NOT_MEANING
chdarol	Q	AR_REFERENCE	1	1	tchdarol	f82v.25	FORMAL_CELL_NOT_MEANING
chdor	Q	ENTRY_STATE	1	1	tchdor	f95r1.6	FORMAL_CELL_NOT_MEANING
e	L	DY_RESOLUTION	228	33	shedy	f103r.10|f103r.22|f103r.24|f103r.30|f103r.32|f103r.39|f103v.12|f103v.14|f103v.16|f103v.17|f103v.6|f103v.7|f104r.7|f104v.6|f105r.13|f106r.25|f106r.36|f106r.40|f106v.16|f106v.22|f107r.13|f107r.2|f107v.11|f107v.12|f107v.35|f107v.45|f108r.14|f108r.22|f108r.35|f108v.37|f108v.43|f108v.45|f111r.10|f111r.28|f111r.5|f111r.6|f111v.29|f111v.35|f111v.5|f112r.25|f112v.21|f112v.25|f112v.37|f113r.45|f113v.13|f113v.17|f114r.4|f114v.2|f114v.20|f114v.5|f114v.6|f115r.2|f115v.7|f116r.22|f116r.24|f116r.25|f116r.42|f26r.8|f26v.6|f31r.8|f34r.5|f34v.4|f39v.7|f41r.6|f46v.5|f50v.2|f66r.70|f75r.11|f75r.17|f75r.18|f75r.31|f75r.32|f75r.40|f75v.41|f75v.47|f76r.12|f76r.17|f76r.19|f76r.2|f76r.29|f76r.33|f76r.34|f76r.48|f76r.52|f76r.56|f76r.6|f76r.8|f76v.10|f76v.11|f76v.16|f76v.38|f76v.39|f76v.40|f76v.41|f77r.11|f77r.14|f77r.15|f77r.16|f77r.21|f77r.25|f77r.27|f77r.34|f77r.38|f77v.10|f77v.11|f77v.12|f77v.13|f77v.16|f77v.17|f77v.23|f77v.26|f77v.36|f77v.39|f77v.40|f77v.6|f77v.8|f78r.20|f78r.3|f78r.31|f78r.4|f78r.40|f78r.8|f78v.14|f78v.19|f78v.21|f78v.24|f78v.26|f78v.29|f79r.25|f79r.41|f79r.5|f79r.9|f79v.20|f79v.38|f80r.20|f80r.21|f80r.41|f80r.45|f80v.14|f80v.22|f80v.36|f80v.42|f80v.6|f80v.7|f80v.8|f81r.13|f81r.18|f81r.26|f81r.30|f81r.31|f81v.12|f81v.17|f81v.18|f82r.18|f82r.20|f82r.6|f82r.7|f82v.11|f82v.24|f82v.26|f82v.27|f82v.29|f82v.38|f83r.11|f83r.14|f83r.19|f83r.23|f83r.24|f83r.26|f83r.28|f83r.37|f83r.44|f83v.2|f83v.25|f83v.26|f83v.27|f83v.29|f83v.3|f83v.5|f84v.12|f84v.18|f84v.19|f84v.20|f84v.23|f84v.27|f84v.28|f84v.29|f84v.3|f84v.33|f84v.35|f84v.36|f84v.5|f84v.8|f85r1.1|f85r2.13|f86v3.29|f86v5.10|f86v5.3|f86v6.27|f95v1.5|f95v1.6	FORMAL_CELL_NOT_MEANING
e	Q	DY_RESOLUTION	20	16	tedy	f107r.5|f108v.17|f113r.45|f115v.7|f34v.10|f39r.13|f43v.13|f43v.7|f48v.2|f75r.10|f78r.12|f79v.30|f81r.12|f81v.27|f82v.15|f83v.20|f84v.22|f84v.32|f85r1.5|f85r2.13	FORMAL_CELL_NOT_MEANING
ed	L	ED_MEDIUM	9	7	shed	f104r.22|f108v.31|f108v.33|f111r.6|f111v.10|f115v.6|f43r.10|f48v.5|f79r.8	FORMAL_CELL_NOT_MEANING
ed	Q	ED_MEDIUM	1	1	ted	f105r.36	FORMAL_CELL_NOT_MEANING
edaiiin	L	ED_MEDIUM	1	1	shedaiiin	f112v.36	FORMAL_CELL_NOT_MEANING
edaiin	L	ED_MEDIUM	6	6	shedaiin	f104r.1|f57r.10|f82r.6|f83r.19|f85r2.11|f86v3.26	FORMAL_CELL_NOT_MEANING
edaiin	Q	ED_MEDIUM	1	1	tedaiin	f114v.11	FORMAL_CELL_NOT_MEANING
edain	L	ED_MEDIUM	5	5	shedain	f108v.47|f111r.26|f113r.36|f114v.11|f95v2.6	FORMAL_CELL_NOT_MEANING
edain	Q	ED_MEDIUM	3	3	tedain	f111r.48|f112r.25|f94v.5	FORMAL_CELL_NOT_MEANING
edal	L	AL_STATE	7	4	shedal	f111r.36|f111v.9|f76v.10|f77v.12|f83r.15|f83r.47|f83v.29	FORMAL_CELL_NOT_MEANING
edal	L	DY_RESOLUTION	1	1	shedaldy	f78v.19	FORMAL_CELL_NOT_MEANING
edal	Q	AL_STATE	1	1	tedal	f77v.16	FORMAL_CELL_NOT_MEANING
edam	L	ED_MEDIUM	2	2	shedam	f111r.12|f76v.11	FORMAL_CELL_NOT_MEANING
edam	Q	ED_MEDIUM	2	1	tedam	f108r.17|f108v.12	FORMAL_CELL_NOT_MEANING
edar	L	AR_REFERENCE	5	5	shedar	f103r.45|f113r.37|f114r.19|f77r.25|f95v1.6	FORMAL_CELL_NOT_MEANING
edcheo	Q	ED_MEDIUM	1	1	tedcheo	f114v.6	FORMAL_CELL_NOT_MEANING
edchy	L	ED_MEDIUM	1	1	shedchy	f106r.2	FORMAL_CELL_NOT_MEANING
edeeey	L	ED_MEDIUM	1	1	shedeeey	f105r.6	FORMAL_CELL_NOT_MEANING
edefam	L	ED_MEDIUM	1	1	shedefam	f66v.5	FORMAL_CELL_NOT_MEANING
