control_id	eligible_events	eligible_folios	renderer_mobile_events	score_capacity	null_capacity
ABBREVIATION_HEAVY_MEDIEVAL	6401	4	1322	POWERED	VARIABLE
ARBITRARY_LOCAL_CODEBOOK	3443	176	181	POWERED	VARIABLE
AUGSBURG_ACCOUNTS_1402_1424	7413	12	795	POWERED	VARIABLE
COMPOSITIONAL_TECHNICAL_NOTATION	3449	175	760	POWERED	VARIABLE
HYBRID_SHORTHAND	3337	176	557	POWERED	VARIABLE
IFORAL_1395_1411_GRAPHEMATIC	4303	6	785	POWERED	VARIABLE
LATIN_15C_GRAPHEMATIC	4090	12	968	POWERED	VARIABLE
LATIN_GERMAN_APOTHECARY_LATE15	695	6	7	POWERED	DESCRIPTIVE_LOW_MOBILITY
LATIN_MEDICAL_GRAPHEMATIC	4348	10	2095	POWERED	VARIABLE
LATIN_SCHOLASTIC_GRAPHEMATIC	5700	6	2976	POWERED	VARIABLE
LEARNED_ABBREVIATION_MAP	6656	4	0	POWERED	DESCRIPTIVE_LOW_MOBILITY
LEARNED_ABBREVIATION_SAMPLED	6603	4	0	POWERED	DESCRIPTIVE_LOW_MOBILITY
ORDINARY_NATURAL_LANGUAGE	6634	4	1176	POWERED	VARIABLE
STE1_DIPLOMATIC_RECIPES	50	2	0	UNSCORED_LT500	DESCRIPTIVE_LOW_MOBILITY
STE1_EXPANDED_RECIPES	52	2	0	UNSCORED_LT500	DESCRIPTIVE_LOW_MOBILITY
VOYNICH_REFERENCE	6844	91	2215	POWERED	VARIABLE
