variant	locus	page	group_index	group_count	token	stripped_prefix	residual_host	dy_closure	family_surface	normalized_position	claim_state
AR	f103r.12	f103r	7	9	shar	sh	ar	0	LAC	0.750000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f103r.17	f103r	1	10	sar	s	ar	0	CAC	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f103r.43	f103r	1	11	tar	t	ar	0	QAC	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f103v.17	f103v	9	11	char	ch	ar	0	KAC	0.800000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f103v.24	f103v	10	12	ar	NONE	ar	0	AC	0.818181818182	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f103v.44	f103v	3	11	ar	NONE	ar	0	AC	0.200000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f103v.44	f103v	4	11	ar	NONE	ar	0	AC	0.300000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f104r.1	f104r	3	10	char	ch	ar	0	KAC	0.222222222222	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f104r.12	f104r	6	11	sar	s	ar	0	CAC	0.500000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AR	f104r.21	f104r	3	5	chear	che	ar	0	KJAC	0.500000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f104r.39	f104r	7	11	qoar	q	oar	0	DAAC	0.600000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f106v.41	f106v	2	9	qoar	q	oar	0	DAAC	0.125000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f106v.46	f106v	10	11	cheoar	che	oar	0	KJAAC	0.900000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f112r.2	f112r	2	8	oar	NONE	oar	0	AAC	0.142857142857	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f113r.10	f113r	3	12	cheoar	che	oar	0	KJAAC	0.181818181818	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f115r.25	f115r	6	7	choar	ch	oar	0	KAAC	0.833333333333	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f40r.11	f40r	1	4	toar	t	oar	0	QAAC	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f55v.11	f55v	2	10	cheoar	che	oar	0	KJAAC	0.111111111111	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f58r.12	f58r	1	9	shoar	sh	oar	0	LAAC	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAR	f58r.25	f58r	1	7	oar	NONE	oar	0	AAC	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f103r.22	f103r	7	12	qotar	q	otar	0	DAQAC	0.545454545455	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f103v.14	f103v	10	12	otar	NONE	otar	0	AQAC	0.818181818182	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f104r.19	f104r	3	12	otar	NONE	otar	0	AQAC	0.181818181818	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f104r.19	f104r	5	12	qotar	q	otar	0	DAQAC	0.363636363636	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f104r.36	f104r	2	10	qotar	q	otar	0	DAQAC	0.111111111111	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f105r.35	f105r	7	12	otar	NONE	otar	0	AQAC	0.545454545455	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f105r.36	f105r	3	11	otar	NONE	otar	0	AQAC	0.200000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f105r.36	f105r	7	11	qotar	q	otar	0	DAQAC	0.600000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f105v.13	f105v	4	8	otar	NONE	otar	0	AQAC	0.428571428571	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAR	f105v.24	f105v	3	8	otar	NONE	otar	0	AQAC	0.285714285714	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f103r.31	f103r	4	11	chal	ch	al	0	KAB	0.300000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f103r.43	f103r	2	11	cheal	che	al	0	KJAB	0.100000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f103v.12	f103v	1	12	sal	s	al	0	CAB	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f103v.32	f103v	5	7	shal	sh	al	0	LAB	0.666666666667	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f104r.12	f104r	7	11	al	NONE	al	0	AB	0.600000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f104r.5	f104r	8	12	al	NONE	al	0	AB	0.636363636364	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f104v.27	f104v	13	13	al	NONE	al	0	AB	1.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f105r.18	f105r	4	12	al	NONE	al	0	AB	0.272727272727	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f105r.24	f105r	11	13	dal	d	al	0	BAB	0.833333333333	FORMAL_CONTEXT_NOT_DECODED_PROSE
AL	f105r.27	f105r	3	7	al	NONE	al	0	AB	0.333333333333	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAL	f108r.28	f108r	3	5	qoal	q	oal	0	DAAB	0.500000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAL	f113r.3	f113r	2	5	oal	NONE	oal	0	AAB	0.250000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAL	f114r.16	f114r	1	14	cheoal	che	oal	0	KJAAB	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OAL	f17v.21	f17v	1	7	oal	NONE	oal	0	AAB	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f103r.21	f103r	4	12	otal	NONE	otal	0	AQAB	0.272727272727	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f103r.39	f103r	4	6	qotal	q	otal	0	DAQAB	0.600000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f103r.43	f103r	5	11	qotal	q	otal	0	DAQAB	0.400000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f103v.17	f103v	10	11	otal	NONE	otal	0	AQAB	0.900000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f103v.25	f103v	6	10	otal	NONE	otal	0	AQAB	0.555555555556	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f104r.14	f104r	4	11	qotal	q	otal	0	DAQAB	0.300000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f104r.24	f104r	3	10	qotal	q	otal	0	DAQAB	0.222222222222	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f104r.39	f104r	5	11	qotal	q	otal	0	DAQAB	0.400000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f105v.12	f105v	10	12	otal	NONE	otal	0	AQAB	0.818181818182	FORMAL_CONTEXT_NOT_DECODED_PROSE
OTAL	f105v.26	f105v	5	12	otal	NONE	otal	0	AQAB	0.363636363636	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f100r.25	f100r	3	10	chol	ch	ol	0	KAB	0.222222222222	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f100r.25	f100r	8	10	cheol	che	ol	0	KJAB	0.777777777778	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f100r.27	f100r	1	5	chol	ch	ol	0	KAB	0.000000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
OL	f100r.27	f100r	2	5	cheol	che	ol	0	KJAB	0.250000000000	FORMAL_CONTEXT_NOT_DECODED_PROSE
