descriptor	representation	loci	positive_loci	physical_folios	baseline_bits	held_bits	gain_bits	positive_gain_folios	min_folio_gain	max_folio_gain	local_permutation_p	max_search_p
LEAF_MENTION	PAGE_HOST_CHAR3	85	42	6	113.658239892	109.132229705	4.52601018637	4	-2.04866129977	2.81075789127	0.0917816436713	0.306538692262
DARK_LEAF	PAGE_HOST_CHAR3	85	25	6	92.7457912898	88.4041425553	4.3416487345	5	-3.57952313034	2.83772417095	0.0235952809438	0.324735052989
DARK	PAGE_HOST_CHAR3	85	46	6	91.787869704	88.2000076105	3.58786209357	5	-2.84302889919	2.01344050414	0.0141971605679	0.398720255949
LIGHT_ROOT	PAGE_HOST_CHAR3	85	15	6	68.3322522738	66.0396271228	2.29262515093	4	-1.40549327908	3.18296326971	0.0201959608078	0.556088782244
FLOWER_MENTION	PAGE_HOST_CHAR3	85	7	6	38.2016622665	37.8632612123	0.338401054237	3	-2.34217486822	1.82621575701	0.169366126775	0.78224355129
LIGHT_ROOT	RAW_CHAR3	85	15	6	68.3322522738	68.7699979827	-0.437745708903	5	-2.70888213861	0.862713377748	0.0529894021196	0.852229554089
ROOT_MENTION	PAGE_HOST_CHAR3	85	46	6	101.323982656	101.901069919	-0.577087262192	3	-3.35869713784	4.77668805181	0.0643871225755	0.862827434513
LEAF_MENTION	RAW_CHAR3	85	42	6	113.658239892	115.342123789	-1.68388389769	3	-5.36025182676	2.9096317878	0.164167166567	0.933413317337
ROOT_MENTION	RAW_CHAR3	85	46	6	101.323982656	103.612235179	-2.28825252271	1	-1.78361311747	0.927320840002	0.0855828834233	0.961607678464
LIGHT	COMPILER_ONLY	85	36	6	88.489236678	92.3037348925	-3.81449821457	2	-3.29481997668	3.52538768576	0.0487902419516	0.993201359728
LIGHT	RAW_CHAR3	85	36	6	88.489236678	93.1486866647	-4.65944998671	2	-3.11001616797	1.6239569822	0.309538092382	0.998400319936
DARK_LEAF	RAW_CHAR3	85	25	6	92.7457912898	98.1428303355	-5.39703904568	3	-3.72778171141	2.49221463754	0.29274145171	0.999600079984
DARK	RAW_CHAR3	85	46	6	91.787869704	97.4017258969	-5.61385619284	2	-3.53432658642	0.990113611585	0.351929614077	1
FLOWER_MENTION	RAW_CHAR3	85	7	6	38.2016622665	43.9296827027	-5.72802043621	2	-3.35626033123	1.23010984544	0.805438912218	1
LARGE_LEAF	RAW_CHAR3	85	4	6	23.8945134544	30.93670404	-7.04219058559	2	-3.63159198179	0.186825740053	0.933013397321	1
LIGHT_ROOT	COMPILER_ONLY	85	15	6	68.3322522738	76.2992755875	-7.96702331373	2	-5.09121088116	2.53820318721	0.112777444511	1
DARK_LEAF	COMPILER_ONLY	85	25	6	92.7457912898	101.849670813	-9.10387952302	2	-8.92229242128	3.10553008772	0.0379924015197	1
LARGE_LEAF	PAGE_HOST_CHAR3	85	4	6	23.8945134544	33.2024980018	-9.30798454737	1	-3.47073943071	0.0893796192035	0.984603079384	1
LIGHT	PAGE_HOST_CHAR3	85	36	6	88.489236678	98.6314662783	-10.1422296004	2	-4.31625934243	0.40134001005	0.529894021196	1
FLOWER_MENTION	COMPILER_ONLY	85	7	6	38.2016622665	48.8618264245	-10.660164158	1	-5.37937836707	3.40904867862	0.649070185963	1
ROOT_MENTION	COMPILER_ONLY	85	46	6	101.323982656	112.726584668	-11.4026020117	0	-5.57888569642	-0.251194965302	0.207958408318	1
LARGE_LEAF	COMPILER_ONLY	85	4	6	23.8945134544	35.3641527373	-11.4696392829	1	-6.51019001325	0.127846123829	0.844231153769	1
LEAF_MENTION	COMPILER_ONLY	85	42	6	113.658239892	131.137135204	-17.4788953126	3	-19.5113782721	4.09841015169	0.157368526295	1
DARK	COMPILER_ONLY	85	46	6	91.787869704	120.991842438	-29.2039727343	1	-13.3347984113	0.700426387564	0.677064587083	1
