locus	surface	selected_parse	speculative_functional_reading	evidence_state	counterparse_or_caveat	claim_class
f103r.12	otedy	[O:item-frame][TE:ordinary-grade][DY:resolved]	item/frame at ordinary grade; closed/default	ALL_THREE_EXACT	[OT][E][DY]	SPECULATIVE_GLOSS
f103r.15	qotedy	[Q:current-scope][O][TE][DY]	under the current frame: same ordinary closed value	ALL_THREE_EXACT	[Q][OT][E][DY]	SPECULATIVE_GLOSS
f103r.16	oteedy	[O][TEE:expanded-grade][DY]	item/frame at expanded grade; closed/default	ALL_THREE_EXACT	[OT][EE][DY]	SPECULATIVE_GLOSS
f103r.45	qoteedy	[Q][O][TEE][DY]	current-frame counterpart of expanded closed value	ALL_THREE_EXACT	[Q][OT][EE][DY]	SPECULATIVE_GLOSS
f82r.35	darol	[D:set/active][AR:association][OL:referent]	set/active association to local referent	ALL_THREE_EXACT_FLOW_ADJACENT	[DAR:configuration-B][OL]	SPECULATIVE_GLOSS
f82r.38	darary / daryry / jarary	[D?][AR?][AR?][Y]	possible parallel active/link bundle	READING_DISAGREEMENT	Do not normalize the three readings.	SPECULATIVE_GLOSS
f83r.51	darolsy	[D][AR][OL][SY:secondary]	active associated item in secondary/marked state	ALL_THREE_EXACT_NEAR_RIGHT_STRUCTURE	[DAR][OL][SY]	SPECULATIVE_GLOSS
f83r.50	sasoldal / saroldal	[S:state][AR?][OL][DAL:configuration-A]	described associated item in configuration A	READING_SENSITIVE_NEAR_LEFT_STRUCTURE	ZL3b has AS rather than AR.	SPECULATIVE_GLOSS
f99v.8	arol	[AR][OL]	bare associated-item/reference bundle	ALL_THREE_EXACT_PLANT_LABEL	Opaque AROL	SPECULATIVE_GLOSS
f102v2.14	sarol	[S][AR][OL]	state/description of associated item	ALL_THREE_EXACT_PLANT_LABEL	[SAR][OL]	SPECULATIVE_GLOSS
f75v.32	daldy	[DAL:configuration-A][DY:resolved]	configuration A in its closed/default state	ALL_THREE_EXACT_REPEATED_LABEL	[D][AL][DY]	SPECULATIVE_GLOSS
f75v.22	daldy / dal|dy	[DAL][DY]	same stock state bundle with detached/reading-variable closure	READING_AND_SEGMENTATION_SENSITIVE	IT2a detaches DY.	SPECULATIVE_GLOSS
f80v.41	ar | ol / arol	[AR] <renderer> [OL]	expanded versus contracted associated-item bundle	MANUAL_SPLIT_JOIN_ANALOGY	Two independent adjacent fields.	SPECULATIVE_GLOSS
f100r.25	cheol	[CHE:value-carrier][OL:referent]	explicit reference/value field	ALL_THREE_EXACT	Opaque CHEOL	SPECULATIVE_GLOSS
