test_family	left_operation	right_operation	completion_requirement	complete_hosts	partial_hosts	example_complete_hosts	attribution
EXACT_EDGE_RECTANGLE	q	dy	4_OF_4	27	224	oandsain;obrgnaiin;obrgraiin;occal;oebrtaiin	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	q	m	4_OF_4	0	0	NONE	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	d	dy	4_OF_4	176	998	achhar;alsoar;byal;etccal;ffal	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	d	m	4_OF_4	18	128	etccal;etccaldy;otabstar;otanttain;otdtmmar	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	s	dy	4_OF_4	877	1830	abrrar;affal;alsoar;alssal;annal	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	s	m	4_OF_4	28	245	grneardy;otabstar;otanttaiin;otanttaindy;otasssaiin	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	o	dy	4_OF_4	664	805	abrrar;abstaiin;achhal;achhar;achraiin	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	o	m	4_OF_4	0	74	NONE	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	ot	dy	4_OF_4	547	683	abrrar;abstaiin;achhar;afcnaiin;affal	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
EXACT_EDGE_RECTANGLE	ot	m	4_OF_4	28	177	annoar;anttaiin;btnnar;dtmmar;etccal	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
WRAPPER_BY_RIGHT_FAMILY_COMPATIBILITY	q	AL_AR_AIN_AIIN	8_OF_8	0	NOT_APPLICABLE	NONE	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
WRAPPER_BY_RIGHT_FAMILY_COMPATIBILITY	d	AL_AR_AIN_AIIN	8_OF_8	0	NOT_APPLICABLE	NONE	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
WRAPPER_BY_RIGHT_FAMILY_COMPATIBILITY	s	AL_AR_AIN_AIIN	8_OF_8	0	NOT_APPLICABLE	NONE	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
WRAPPER_BY_RIGHT_FAMILY_COMPATIBILITY	o	AL_AR_AIN_AIIN	8_OF_8	0	NOT_APPLICABLE	NONE	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
WRAPPER_BY_RIGHT_FAMILY_COMPATIBILITY	ot	AL_AR_AIN_AIIN	8_OF_8	0	NOT_APPLICABLE	NONE	MIXED_IMPOSED_OPERATOR_PLUS_EMERGENT_HOST_REUSE
