rank	final_member	support	observed	member_n	observed_rate	expected_hits	expected_rate	rate_effect	local_p	bonferroni_p	null_min	null_max
1	B3	213	148	213	0.694835680751	27.1509240759	0.127469127117	0.567366553634	2.74400712482e-94	3.29280854979e-93	0	183
2	E2	43	17	43	0.395348837209	6.76720779221	0.1573769254	0.237971911809	7.9751209518e-05	0.000957014514216	0	38
3	B1	113	25	113	0.221238938053	16.4824980575	0.145862814668	0.075376123385	0.0139164647429	0.166997576915	2	108
4	C2	225	40	225	0.177777777778	31.7423215673	0.141076984744	0.0367007930341	0.0639672653333	0.767607183999	0	196
5	H1	41	8	41	0.19512195122	6.76712176712	0.165051750418	0.0300702008019	0.350299731735	1	1	40
6	A2	3674	483	3674	0.131464344039	487.871966922	0.132790410158	-0.00132606611921	0.642026804149	1	27	1069
7	G1	1081	150	1081	0.138760407031	155.55712482	0.143901133043	-0.0051407260126	0.719747163399	1	5	667
8	F1	449	50	449	0.11135857461	58.0399003774	0.129264811531	-0.0179062369207	0.903424388912	1	1	319
9	F3	88	3	88	0.0340909090909	11.0673493173	0.125765333152	-0.0916744240608	0.999424779569	1	0	83
10	B2	1393	147	1393	0.105527638191	189.306608669	0.135898498686	-0.0303708604947	0.999955639283	1	3	762
11	A1	203	10	203	0.0492610837438	31.2027583528	0.153708169225	-0.104447085482	0.999999824008	1	1	177
12	C1	1084	89	1084	0.0821033210332	147.934444722	0.136470889965	-0.0543675689317	0.999999999712	1	2	659
