axis	invariant	reason
SOURCE_GROUP_EQUALITY	YES	a bijection preserves equality and inequality
SOURCE_GROUP_LENGTH	YES	one source symbol maps to one target symbol
HOST_RECURRENCE	YES	type occurrence sets are relabelled isomorphically
PREFIX_SUFFIX_OPERATION_SUPPORT	YES	edge substitutions are conjugated by the same bijection
COMPLETE_RECTANGLES	YES	all four cells map bijectively
LEFT_RIGHT_COMPATIBILITY_GRAPH	YES	operation and host incidence graphs are isomorphic
COMPATIBLE_PAIR_DENSITY	YES	graph edge and denominator counts are unchanged
DEGREE_FREQUENCY_PRESERVING_EXCESS	YES	observed graph and relabelling null are isomorphic
LINE_RECORD_RESET	YES_IF_BOUNDARIES_PRESERVED	the cipher changes symbols, not physical boundaries
NAMED_LANGUAGE_MODEL_SCORE	NO	target glyph names and phonotactics depend on the chosen map
