page	occurrences	distinct_cells	rectangles	mutual_information_bits	rank
f86v5	20	12	12	0.195461844238	1
f86v6	31	9	3	0.265742474061	2
f58v	16	8	1	0.281716357266	3
f107r	18	7	1	0.162826016656	4
f58r	13	7	1	0.192005835492	5
f76r	23	7	1	0.256755663855	6
f106v	14	6	1	0.137063637397	7
f55r	12	6	1	0.185463540765	8
f106r	25	6	0	0.164093587197	9
f111v	39	6	0	0.0559004105587	10
f113v	25	6	0	0.0436601009367	11
f55v	11	6	0	0.552689032179	12
f78v	15	6	0	0.299842839886	13
f79v	26	6	0	0.114300311506	14
f104r	19	5	0	0	15
f105v	11	5	0	0.0940179814869	16
f107v	40	5	0	0	17
f112r	8	5	0	0.5435644432	18
f114r	13	5	0	0.430940220909	19
f39v	10	5	0	0.321928094887	20
f50v	7	5	0	0.591672778582	21
f75r	22	5	0	0.0355756092948	22
f77r	22	5	0	0.0305262344861	23
f80r	23	5	0	0	24
f84v	9	5	0	0.197159723424	25
f86v3	7	5	0	0.469565211115	26
f103r	18	4	0	0	27
f104v	13	4	0	0.0912332151762	28
f108r	13	4	0	0	29
f108v	7	4	0	0	30
f112v	9	4	0	0	31
f115v	6	4	0	0.190874504621	32
f33r	5	4	0	0	33
f40v	6	4	0	0	34
f77v	22	4	0	0.0355756092948	35
f79r	20	4	0	0	36
f80v	25	4	0	0	37
f81v	9	4	0	0	38
f82r	11	4	0	0	39
f82v	27	4	0	0	40
f83r	11	4	0	0	41
f83v	24	4	0	0	42
f85r1	5	4	0	0.321928094887	43
f95v1	5	4	0	0	44
f103v	11	3	0	0	45
f105r	4	3	0	0	46
f114v	8	3	0	0	47
f115r	3	3	0	0	48
f22v	3	3	0	0.251629167388	49
f33v	4	3	0	0	50
f39r	4	3	0	0.122556248918	51
f40r	6	3	0	0.0484156759089	52
f43v	3	3	0	0.251629167388	53
f48v	7	3	0	0	54
f50r	4	3	0	0	55
f54v	3	3	0	0.251629167388	56
f66r	6	3	0	0	57
f75v	19	3	0	0	58
f78r	9	3	0	0	59
f81r	5	3	0	0	60
f94v	4	3	0	0.311278124459	61
f95r2	9	3	0	0	62
f95v2	3	3	0	0	63
f111r	3	2	0	0	64
f113r	9	2	0	0	65
f16r	2	2	0	0	66
f16v	3	2	0	0	67
f17v	3	2	0	0	68
f19v	2	2	0	0	69
f23v	3	2	0	0	70
f35r	2	2	0	1	71
f36r	2	2	0	0	72
f37r	2	2	0	0	73
f44v	2	2	0	0	74
f45r	3	2	0	0	75
f47r	2	2	0	0	76
f52r	2	2	0	0	77
f88r	2	2	0	1	78
f89v1	3	2	0	0	79
f95r1	5	2	0	0	80
f9v	2	2	0	0	81
f100v	1	1	0	0	82
f116r	10	1	0	0	83
f13v	1	1	0	0	84
f15r	3	1	0	0	85
f15v	2	1	0	0	86
f17r	1	1	0	0	87
f18v	1	1	0	0	88
f1r	1	1	0	0	89
f20v	1	1	0	0	90
f21r	1	1	0	0	91
f22r	1	1	0	0	92
f23r	1	1	0	0	93
f24v	1	1	0	0	94
f25r	1	1	0	0	95
f28v	1	1	0	0	96
f29r	1	1	0	0	97
f29v	1	1	0	0	98
f34r	1	1	0	0	99
f34v	1	1	0	0	100
f36v	1	1	0	0	101
f38r	1	1	0	0	102
f38v	1	1	0	0	103
f42r	1	1	0	0	104
f43r	1	1	0	0	105
f46r	1	1	0	0	106
f46v	1	1	0	0	107
f49v	1	1	0	0	108
f4r	1	1	0	0	109
f51v	1	1	0	0	110
f66v	1	1	0	0	111
f6r	2	1	0	0	112
f76v	6	1	0	0	113
f85r2	1	1	0	0	114
f87v	1	1	0	0	115
f88v	1	1	0	0	116
f89r1	1	1	0	0	117
f89v2	1	1	0	0	118
f8v	1	1	0	0	119
f90r2	1	1	0	0	120
f93r	1	1	0	0	121
f94r	1	1	0	0	122
f99r	1	1	0	0	123
f99v	1	1	0	0	124
f9r	1	1	0	0	125
