collapsed_template	lines	physical_folios	sections	most_common_raw_template	most_common_raw_count	claim_state
OTHER	64	47	B:6;C:1;H:32;P:3;S:21;T:1	OTHER	45	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE	35	28	B:7;H:20;P:1;S:6;T:1	ENTRY_STATE	29	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE	31	23	B:8;C:1;H:12;P:4;S:6	OL_STATE	20	RECURRENT_FORMAL_RECORD_TEMPLATE
DY_RESOLUTION	30	21	B:15;H:7;S:6;T:2	DY_RESOLUTION	22	RECURRENT_FORMAL_RECORD_TEMPLATE
Q_OUTER_STATE	20	15	B:6;H:9;S:3;T:2	Q_OUTER_STATE	19	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > CARRIER_STATE	19	17	B:2;H:9;P:3;S:4;T:1	ENTRY_STATE > CARRIER_STATE	10	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > OTHER	16	14	B:2;H:10;S:4	ENTRY_STATE > OTHER	10	RECURRENT_FORMAL_RECORD_TEMPLATE
CARRIER_STATE	15	14	B:1;H:10;P:1;S:3	CARRIER_STATE	13	RECURRENT_FORMAL_RECORD_TEMPLATE
AR_REFERENCE	13	11	B:4;H:4;S:4;T:1	AR_REFERENCE	11	RECURRENT_FORMAL_RECORD_TEMPLATE
ENTRY_STATE > OL_STATE	11	11	H:8;P:1;S:2	ENTRY_STATE > OL_STATE	7	RECURRENT_FORMAL_RECORD_TEMPLATE
OL_STATE > OTHER	10	9	B:1;C:1;H:5;P:1;S:2	OL_STATE > OTHER	5	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > CARRIER_STATE	10	9	H:6;S:4	OTHER > CARRIER_STATE	8	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > CARRIER_STATE > OTHER	10	8	H:7;P:2;T:1	OTHER > CARRIER_STATE > OTHER	3	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > OL_STATE	10	9	C:1;H:6;P:2;T:1	OTHER > OL_STATE	8	RECURRENT_FORMAL_RECORD_TEMPLATE
Q_OUTER_STATE > CARRIER_STATE	10	7	B:2;H:8	Q_OUTER_STATE > CARRIER_STATE	8	RECURRENT_FORMAL_RECORD_TEMPLATE
OTHER > ENTRY_STATE	9	7	H:9	OTHER > ENTRY_STATE	5	RECURRENT_FORMAL_RECORD_TEMPLATE
AL_STATE	7	4	B:1;C:1;S:5	AL_STATE	7	RECURRENT_FORMAL_RECORD_TEMPLATE
