segment_origin	closure	collapsed_state_template	occurrences	physical_folios	sections	example_locus	example_tokens	claim_state
POST_DY	CLOSED_WITH_DY	DY_RESOLUTION	737	51	B:321;C:9;H:100;P:8;S:237;T:62	f102r2.6	qokeody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	DY_RESOLUTION	357	63	B:149;C:7;H:70;P:6;S:98;T:27	f102v1.23	ksheody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OTHER	89	42	B:28;C:1;H:15;P:4;S:35;T:6	f100r.24	odeor	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	Q_OUTER_STATE > DY_RESOLUTION	81	28	B:32;H:4;P:1;S:37;T:7	f103r.21	qoky | pchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OTHER > DY_RESOLUTION	78	39	B:17;C:2;H:21;P:1;S:32;T:5	f103r.21	pcheam | sokedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OTHER	64	47	B:6;C:1;H:32;P:3;S:21;T:1	f102r2.3	ycheor	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	CARRIER_STATE > DY_RESOLUTION	64	30	B:15;C:1;H:16;P:2;S:24;T:6	f103r.30	chpchy | opchedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OL_STATE > DY_RESOLUTION	56	29	B:28;H:10;P:4;S:13;T:1	f102r1.10	ycheol | sholdy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OL_STATE > DY_RESOLUTION	56	25	B:28;C:2;H:2;P:5;S:16;T:3	f102r1.10	chol | chol | ykeeol | dol | cthedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	Q_OUTER_STATE	53	25	B:17;H:4;P:1;S:28;T:3	f102v1.23	qockhey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > DY_RESOLUTION	48	32	B:11;H:11;P:6;S:16;T:4	f102r1.9	daiin | orsheoldy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	OTHER > DY_RESOLUTION	46	24	B:10;C:1;H:5;P:1;S:26;T:3	f103r.10	otaiin | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	CARRIER_STATE	39	25	B:9;C:2;H:15;P:1;S:10;T:2	f111r.43	chedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE	35	28	B:7;H:20;P:1;S:6;T:1	f103r.47	ssheey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	AR_REFERENCE	32	20	B:6;C:3;H:5;S:15;T:3	f104r.15	okar	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	OL_STATE	31	23	B:8;C:1;H:12;P:4;S:6	f101r.8	chol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	OL_STATE	31	22	B:18;H:6;P:1;S:4;T:2	f103r.45	olkeol	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	AL_STATE	30	17	B:17;H:4;P:2;S:4;T:3	f105r.8	oesal	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	CARRIER_STATE > DY_RESOLUTION	29	22	B:10;H:9;P:1;S:8;T:1	f100r.25	sheor | qkeeody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	AR_REFERENCE > DY_RESOLUTION	28	20	B:9;H:3;P:1;S:11;T:4	f108r.36	cheedar | okedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	OL_STATE > CARRIER_STATE > DY_RESOLUTION	26	23	B:10;H:8;P:1;S:7	f100r.27	chol | cheol | cho | chckheody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	CLOSED_WITH_DY	AL_STATE > DY_RESOLUTION	24	15	B:13;C:1;H:1;P:1;S:7;T:1	f103r.21	okaly | qokeedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	Q_OUTER_STATE > DY_RESOLUTION	22	15	B:13;C:1;H:4;S:4	f104v.14	qokeeo | lcheolshedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
POST_DY	OPEN_TAIL	ENTRY_STATE	22	18	B:8;H:7;P:2;S:3;T:2	f102r1.15	dor	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	AR_REFERENCE > DY_RESOLUTION	21	15	B:4;H:2;P:1;S:9;T:5	f102r1.17	ydar | arody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	ENTRY_STATE > CARRIER_STATE > DY_RESOLUTION	21	16	B:4;H:3;P:2;S:10;T:2	f100r.24	saiichor | sheor | qockhody	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	Q_OUTER_STATE	20	15	B:6;H:9;S:3;T:2	f103r.46	qokeey	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	OPEN_TAIL	ENTRY_STATE > CARRIER_STATE	19	17	B:2;H:9;P:3;S:4;T:1	f100v.22	daiin | cheky | chory	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
LINE_INITIAL	CLOSED_WITH_DY	AL_STATE > DY_RESOLUTION	17	13	B:9;P:1;S:7	f103v.12	sal | sheal | shedy	RECURRENT_HIERARCHICAL_FORMAL_TEMPLATE
