side	operation	selected_rank	operation_length	distinct_hosts	exact_pair_types	physical_folios	transformed_occurrences
LEFT	o	1	1	203	203	91	1327
LEFT	ch	2	2	156	156	91	802
LEFT	q	3	1	156	156	91	1286
LEFT	qo	4	2	144	144	91	1236
LEFT	y	5	1	124	124	91	302
LEFT	d	6	1	105	105	91	752
LEFT	l	7	1	95	95	91	293
LEFT	che	8	3	93	93	91	515
LEFT	cho	9	3	80	80	91	394
LEFT	ol	10	2	77	77	91	219
LEFT	t	11	1	76	76	90	180
LEFT	sh	12	2	73	73	91	352
RIGHT	y	1	1	149	149	91	1382
RIGHT	dy	2	2	95	95	91	443
RIGHT	l	3	1	64	64	88	717
RIGHT	al	4	2	52	52	90	274
RIGHT	r	5	1	50	50	89	453
RIGHT	ar	6	2	49	49	88	272
RIGHT	s	7	1	46	46	88	74
RIGHT	ol	8	2	45	45	90	378
RIGHT	or	9	2	45	45	90	232
RIGHT	ain	10	3	37	37	87	275
RIGHT	chy	11	3	28	28	83	95
RIGHT	am	12	2	27	27	82	94
