locus	physical_folio	register	group_index	group_count	token	wrapper	residual_host	base	suffix	is_air	field_position	late_half	field_start	preclose_or_close	after_dy	before_dy	physical_line_end
f26r.10	f26	HB	5	5	otal	NONE	otal	ot	al	0	SINGLE	1	0	0	1	0	1
f26v.3	f26	HB	1	12	pchdar	NONE	pchdar	pchd	ar	0	FIELD_START	0	1	0	0	0	0
f26v.3	f26	HB	2	12	opar	NONE	opar	op	ar	0	FIELD_INTERNAL	0	0	0	0	0	0
f26v.3	f26	HB	8	12	odar	NONE	odar	od	ar	0	FIELD_START	1	1	0	1	0	0
f31r.12	f31	HB	1	6	qoaiin	q	oaiin	o	aiin	0	FIELD_START	0	1	0	0	0	0
f33r.7	f33	HB	7	9	okain	NONE	okain	ok	ain	0	FIELD_INTERNAL	1	0	0	0	0	0
f33v.2	f33	HB	5	10	otal	NONE	otal	ot	al	0	FIELD_INTERNAL	0	0	0	0	0	0
f34r.1	f34	HB	2	9	olar	NONE	olar	ol	ar	0	FIELD_INTERNAL	0	0	0	0	0	0
f34v.2	f34	HB	9	11	ykar	NONE	ykar	yk	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f34v.4	f34	HB	4	10	qokedar	q	okedar	oked	ar	0	FIELD_START	0	1	0	1	0	0
f34v.4	f34	HB	6	10	oldar	NONE	oldar	old	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f34v.4	f34	HB	7	10	qoldar	q	oldar	old	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f34v.9	f34	HB	9	11	kal	NONE	kal	k	al	0	FIELD_INTERNAL	1	0	0	0	0	0
f34v.9	f34	HB	11	11	oldaiin	NONE	oldaiin	old	aiin	0	OPEN_FIELD_END	1	0	0	0	0	1
f39r.14	f39	HB	9	11	otal	NONE	otal	ot	al	0	FIELD_INTERNAL	1	0	0	0	0	0
f39r.16	f39	HB	3	5	qokal	q	okal	ok	al	0	FIELD_INTERNAL	1	0	0	0	0	0
f39r.5	f39	HB	3	3	ykaiin	NONE	ykaiin	yk	aiin	0	OPEN_FIELD_END	1	0	0	0	0	1
f39r.9	f39	HB	3	5	odal	NONE	odal	od	al	0	FIELD_INTERNAL	1	0	0	0	0	0
f39r.9	f39	HB	4	5	qokaiin	q	okaiin	ok	aiin	0	FIELD_INTERNAL	1	0	0	0	0	0
f39v.10	f39	HB	3	11	ykar	NONE	ykar	yk	ar	0	FIELD_INTERNAL	0	0	0	0	0	0
f39v.10	f39	HB	8	11	qokain	q	okain	ok	ain	0	FIELD_INTERNAL	1	0	0	0	0	0
f39v.14	f39	HB	3	4	okaiin	NONE	okaiin	ok	aiin	0	PRECLOSE	1	0	1	0	1	0
f39v.7	f39	HB	3	8	qokar	q	okar	ok	ar	0	FIELD_START	0	1	0	1	1	0
f39v.7	f39	HB	7	8	okar	NONE	okar	ok	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f40r.11	f40	HB	2	4	ykaiin	NONE	ykaiin	yk	aiin	0	FIELD_INTERNAL	0	0	0	0	0	0
f40r.7	f40	HB	1	4	yaiin	NONE	yaiin	y	aiin	0	FIELD_START	0	1	0	0	0	0
f40r.9	f40	HB	3	9	olaiin	NONE	olaiin	ol	aiin	0	FIELD_INTERNAL	0	0	0	0	0	0
f40r.9	f40	HB	6	9	okaiin	NONE	okaiin	ok	aiin	0	FIELD_INTERNAL	1	0	0	0	0	0
f40r.9	f40	HB	7	9	okaiin	NONE	okaiin	ok	aiin	0	FIELD_INTERNAL	1	0	0	0	0	0
f40r.9	f40	HB	8	9	okaiin	NONE	okaiin	ok	aiin	0	FIELD_INTERNAL	1	0	0	0	0	0
f40v.1	f40	HB	1	3	pchedain	NONE	pchedain	pched	ain	0	FIELD_START	0	1	0	0	0	0
f40v.10	f40	HB	3	4	qokaiin	q	okaiin	ok	aiin	0	FIELD_START	1	1	0	1	0	0
f40v.10	f40	HB	4	4	oraiin	NONE	oraiin	or	aiin	0	OPEN_FIELD_END	1	0	0	0	0	1
f40v.12	f40	HB	3	3	okaiin	NONE	okaiin	ok	aiin	0	OPEN_FIELD_END	1	0	0	0	0	1
f40v.18	f40	HB	2	8	otain	NONE	otain	ot	ain	0	FIELD_INTERNAL	0	0	0	0	0	0
f40v.18	f40	HB	4	8	okal	NONE	okal	ok	al	0	FIELD_INTERNAL	0	0	0	0	0	0
f40v.18	f40	HB	5	8	okair	NONE	okair	ok	air	1	FIELD_INTERNAL	1	0	0	0	0	0
f40v.19	f40	HB	3	4	ofair	NONE	ofair	of	air	1	PRECLOSE	1	0	1	0	1	0
f40v.3	f40	HB	4	5	okaiin	NONE	okaiin	ok	aiin	0	FIELD_INTERNAL	1	0	0	0	0	0
f40v.5	f40	HB	2	4	okar	NONE	okar	ok	ar	0	FIELD_INTERNAL	0	0	0	0	0	0
f41v.2	f41	HB	8	9	qotal	q	otal	ot	al	0	FIELD_START	1	1	0	1	0	0
f43r.10	f43	HB	1	11	pshdar	NONE	pshdar	pshd	ar	0	FIELD_START	0	1	0	0	0	0
f43r.10	f43	HB	11	11	qotar	q	otar	ot	ar	0	SINGLE	1	0	0	1	0	1
f43r.9	f43	HB	5	5	odain	NONE	odain	od	ain	0	OPEN_FIELD_END	1	0	0	0	0	1
f43v.13	f43	HB	9	10	okedar	NONE	okedar	oked	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f43v.16	f43	HB	4	7	oloaiin	NONE	oloaiin	olo	aiin	0	FIELD_INTERNAL	1	0	0	0	0	0
f43v.3	f43	HB	9	12	ykaiin	NONE	ykaiin	yk	aiin	0	FIELD_START	1	1	0	1	0	0
f43v.7	f43	HB	9	10	ytaiin	NONE	ytaiin	yt	aiin	0	FIELD_INTERNAL	1	0	0	0	0	0
f43v.8	f43	HB	8	9	ykar	NONE	ykar	yk	ar	0	FIELD_START	1	1	0	1	0	0
f46r.12	f46	HB	9	12	kar	NONE	kar	k	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f46v.13	f46	HB	1	2	ykar	NONE	ykar	yk	ar	0	FIELD_START	0	1	0	0	0	0
f46v.5	f46	HB	1	13	lodaiin	NONE	lodaiin	lod	aiin	0	FIELD_START	0	1	0	0	1	0
f48r.1	f48	HB	1	10	pshdaiin	NONE	pshdaiin	pshd	aiin	0	FIELD_START	0	1	0	0	1	0
f48r.1	f48	HB	9	10	olaiin	NONE	olaiin	ol	aiin	0	FIELD_START	1	1	0	1	1	0
f48r.3	f48	HB	4	13	oteodaiin	NONE	oteodaiin	oteod	aiin	0	PRECLOSE	0	0	1	0	1	0
f48r.3	f48	HB	10	13	odal	NONE	odal	od	al	0	FIELD_INTERNAL	1	0	0	0	0	0
f48r.3	f48	HB	11	13	qotar	q	otar	ot	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f48v.10	f48	HB	9	13	ytchedal	NONE	ytchedal	ytched	al	0	FIELD_INTERNAL	1	0	0	0	0	0
f48v.10	f48	HB	11	13	okar	NONE	okar	ok	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f48v.5	f48	HB	5	10	qokar	q	okar	ok	ar	0	PRECLOSE	0	0	1	0	1	0
f48v.9	f48	HB	3	12	okal	NONE	okal	ok	al	0	FIELD_START	0	1	0	1	1	0
f50r.2	f50	HB	7	12	kar	NONE	kar	k	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f50r.2	f50	HB	10	12	okar	NONE	okar	ok	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f50r.3	f50	HB	2	10	kar	NONE	kar	k	ar	0	PRECLOSE	0	0	1	0	1	0
f50r.5	f50	HB	5	11	okar	NONE	okar	ok	ar	0	FIELD_START	0	1	0	1	0	0
f50r.5	f50	HB	9	11	kar	NONE	kar	k	ar	0	FIELD_START	1	1	0	1	0	0
f50r.5	f50	HB	11	11	okain	NONE	okain	ok	ain	0	OPEN_FIELD_END	1	0	0	0	0	1
f50v.1	f50	HB	3	10	ldar	NONE	ldar	ld	ar	0	PRECLOSE	0	0	1	0	1	0
f50v.1	f50	HB	9	10	ofar	NONE	ofar	of	ar	0	FIELD_INTERNAL	1	0	0	0	0	0
f50v.11	f50	HB	2	4	kar	NONE	kar	k	ar	0	FIELD_INTERNAL	0	0	0	0	0	0
f50v.3	f50	HB	8	9	okain	NONE	okain	ok	ain	0	FIELD_START	1	1	0	1	0	0
