edition	variant	stratum_key	q_early	q_late	none_early	none_late	occurrences	expected_q_early	score
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""OT:0:NONE:1:0"",""page"":""f104r"",""page_host"":""ch""}"	0	1	1	0	2	0.500000000000	-0.500000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:aiin:0:0"",""page"":""f104r"",""page_host"":""ok""}"	3	7	0	2	12	2.500000000000	0.500000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:al:0:0"",""page"":""f104r"",""page_host"":""ok""}"	1	3	2	1	7	1.714285714286	-0.714285714286
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:ar:0:0"",""page"":""f104r"",""page_host"":""ok""}"	2	1	6	3	12	2.000000000000	0.000000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:aiin:0:0"",""page"":""f104r"",""page_host"":""ot""}"	1	1	0	4	6	0.333333333333	0.666666666667
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:ain:0:0"",""page"":""f104r"",""page_host"":""ot""}"	1	0	1	1	3	0.666666666667	0.333333333333
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:al:0:0"",""page"":""f104r"",""page_host"":""ot""}"	1	1	1	0	3	1.333333333333	-0.333333333333
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:ar:0:0"",""page"":""f104r"",""page_host"":""ot""}"	1	1	2	0	4	1.500000000000	-0.500000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""OT:0:NONE:1:0"",""page"":""f104v"",""page_host"":""ch""}"	2	1	0	1	4	1.500000000000	0.500000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""O:0:aiin:0:0"",""page"":""f104v"",""page_host"":""d""}"	0	1	1	0	2	0.500000000000	-0.500000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""OT:0:NONE:1:0"",""page"":""f104v"",""page_host"":""ee""}"	2	0	2	1	5	1.600000000000	0.400000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""O:0:NONE:0:0"",""page"":""f104v"",""page_host"":""l""}"	1	0	3	1	5	0.800000000000	0.200000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:aiin:0:0"",""page"":""f104v"",""page_host"":""ok""}"	4	1	0	1	6	3.333333333333	0.666666666667
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:ain:0:0"",""page"":""f104v"",""page_host"":""ok""}"	2	1	1	2	6	1.500000000000	0.500000000000
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:NONE:1:0"",""page"":""f104v"",""page_host"":""okche""}"	1	1	0	1	3	0.666666666667	0.333333333333
ZL3b	PAGE_HOST_PAGE_OTHER_COMPILER	"{""other_compiler"":""NONE:0:NONE:1:0"",""page"":""f104v"",""page_host"":""okee""}"	3	0	0	1	4	2.250000000000	0.750000000000
