oracle_role	predicted_role	count
OPENER	OPENER	11
OPENER	OPERATION	449
OPENER	INGREDIENT	173
OPENER	TOOL	0
OPENER	CLOSER	0
OPERATION	OPENER	234
OPERATION	OPERATION	8955
OPERATION	INGREDIENT	595
OPERATION	TOOL	0
OPERATION	CLOSER	87
INGREDIENT	OPENER	0
INGREDIENT	OPERATION	206
INGREDIENT	INGREDIENT	9177
INGREDIENT	TOOL	0
INGREDIENT	CLOSER	28
TOOL	OPENER	0
TOOL	OPERATION	20
TOOL	INGREDIENT	1855
TOOL	TOOL	0
TOOL	CLOSER	0
CLOSER	OPENER	0
CLOSER	OPERATION	166
CLOSER	INGREDIENT	83
CLOSER	TOOL	0
CLOSER	CLOSER	355
