page_host	external_axis	direction	host_loci	host_folios	axis_positive_host_loci	axis_negative_host_loci	positive_folios	negative_folios	informative_folios	cmh_z	local_permutation_p	max_search_p	lofo_min_z	lofo_max_z	lofo_sign_stable	positive_wrappers	negative_wrappers	positive_right_families	negative_right_families	classification	rank_by_abs_cmh_z
os	PLANT	ENRICHED	4	3	4	0	3	0	2	3.65550893074	0.00179964007199	0.47050589882	0.542326144547	4.8455305867	1	NONE;ch;che		NONE;aiin;ar		INTERESTING_EXPLORATORY	1
okeey	STAR_OR_SKY	DEPLETED	6	4	3	3	1	3	2	-3.1309202472	0.0147970405919	0.798040391922	-5.33853912602	-1.33333333333	1	NONE	NONE	NONE	NONE	INTERESTING_EXPLORATORY	2
okeey	PLANT	ENRICHED	6	4	1	5	1	3	2	3.00579958418	0.0965806838632	0.873025394921	-0.29488391231	7.61577310586	0	NONE	NONE	NONE	NONE	LIKELY_PAGE_CONFOUND	3
d	REL_ENCLOSURE	ENRICHED	12	7	6	6	3	5	5	2.93206013238	0.00919816036793	0.911417716457	1.22605986808	3.20521180878	1	NONE;ch;sh;t	NONE;che;s	aiin;air;al;ar	NONE;aiin;al;ar	INTERESTING_EXPLORATORY	4
okaly	REL_ENCLOSURE	ENRICHED	4	2	2	2	1	2	1	2.78863172835	0.0465906818636	0.950209958008	2.78863172835	2.78863172835	1	NONE	NONE	NONE	NONE	LIKELY_PAGE_CONFOUND	5
op	STAR_OR_SKY	DEPLETED	3	3	1	2	1	2	1	-2.683281573	0.118376324735	0.980203959208	-2.683281573	-2.683281573	1	NONE	NONE	aiin	al;ar	LIKELY_PAGE_CONFOUND	6
d	REL_EXPLICIT_ATTACHMENT	ENRICHED	12	7	6	6	3	4	4	2.47888372985	0.0191961607678	0.992801439712	1.72023687941	2.63491298441	1	NONE;ch;s;sh	NONE;ch;che;s;t	NONE;aiin;air;ar	NONE;aiin;al;ar	INTERESTING_EXPLORATORY	7
yky	STAR_OR_SKY	DEPLETED	3	3	1	2	1	2	3	-2.32319844036	0.0717856428714	0.997600479904	-2.48720726822	-1.06317436567	1	NONE	NONE;ch	NONE	NONE	WEAK	8
o	REL_EXPLICIT_ATTACHMENT	ENRICHED	10	6	4	6	3	4	3	2.32198321986	0.0425914817037	0.997600479904	1.07937085629	2.32198321986	1	NONE;ch;che	NONE;che;s;sh	NONE	NONE;aiin;ar	INTERESTING_EXPLORATORY	9
yteo	STAR_OR_SKY	DEPLETED	3	3	2	1	2	1	2	-2.25747154413	0.145370925815	0.999200159968	-2.683281573	0.187317162316	0	NONE	NONE	NONE	NONE	LIKELY_PAGE_CONFOUND	10
yky	REL_PROXIMITY	ENRICHED	3	3	3	0	3	0	3	2.222913702	0.0583883223355	0.999600079984	1.52803915977	2.222913702	1	NONE;ch		NONE		WEAK	11
ok	WATER_OR_APPARATUS	ENRICHED	19	11	6	13	4	7	3	2.15593800225	0.0523895220956	0.999800039992	1.16599766801	2.15593800225	1	NONE;d;q	NONE;ch	aiin;ain;al	aiin;ain;al;ar	WEAK	12
ok	STAR_OR_SKY	DEPLETED	19	11	7	12	3	9	4	-2.14628724179	0.0679864027195	0.999800039992	-2.84224624427	-1.06776482149	1	NONE	NONE;ch;d;q	aiin;al	aiin;ain;al;ar	WEAK	13
ar	STAR_OR_SKY	DEPLETED	24	9	13	11	7	5	4	-2.13621193451	0.0429914017197	1	-2.52885452923	-0.808973894575	1	NONE;ch;s;t	NONE;d;s	NONE;al;ar	NONE;al;ar	INTERESTING_EXPLORATORY	14
eey	REL_ARRAY_OR_GROUP	DEPLETED	4	4	0	4	0	4	1	-2	0.194161167766	1	-2	-2	1		NONE;ch		NONE	LIKELY_PAGE_CONFOUND	15
okeey	REL_ARRAY_OR_GROUP	DEPLETED	6	4	0	6	0	4	1	-2	0.196960607878	1	-2	-2	1		NONE		NONE	LIKELY_PAGE_CONFOUND	16
l	REL_ENCLOSURE	ENRICHED	12	7	3	9	2	6	3	1.9322499718	0.0955808838232	1	0.724824154633	3.08493500591	1	NONE;ch	NONE;ch;s;sh;t	NONE;aiin;ar	NONE;aiin	WEAK	17
ol	REL_EXPLICIT_ATTACHMENT	ENRICHED	5	4	3	2	3	2	4	1.91121738108	0.0973805238952	1	0.903693316634	2.63065348215	1	NONE	NONE	NONE	NONE	WEAK	18
otoky	REL_ENCLOSURE	ENRICHED	3	3	1	2	1	2	1	1.88293774338	0.210957808438	1	1.88293774338	1.88293774338	1	NONE	NONE	NONE	NONE	NO_SIGNAL	19
eo	REL_EXPLICIT_ATTACHMENT	ENRICHED	5	5	1	4	1	4	2	1.87510691044	0.172765446911	1	-0.35805743702	3.21455025366	0	NONE	NONE;sh	NONE	NONE;al	WEAK	20
ar	REL_EXPLICIT_ATTACHMENT	DEPLETED	24	9	0	24	0	9	5	-1.81983221111	0.151969606079	1	-1.81983221111	-1.25954659642	1		NONE;ch;d;s;t		NONE;al;ar	WEAK	21
eey	FIGURE	DEPLETED	4	4	1	3	1	3	1	-1.77951304201	0.232553489302	1	-1.77951304201	-1.77951304201	1	NONE	NONE;ch	NONE	NONE	NO_SIGNAL	22
okeey	FIGURE	DEPLETED	6	4	3	3	1	3	1	-1.77951304201	0.239952009598	1	-1.77951304201	-1.77951304201	1	NONE	NONE	NONE	NONE	NO_SIGNAL	23
d	FIGURE	DEPLETED	12	7	1	11	1	6	1	-1.76068168617	0.231953609278	1	-1.76068168617	-1.76068168617	1	NONE	NONE;ch;che;s;sh;t	al	NONE;aiin;air;al;ar	NO_SIGNAL	24
op	REL_PROXIMITY	ENRICHED	3	3	2	1	2	1	1	1.76068168617	0.244151169766	1	1.76068168617	1.76068168617	1	NONE	NONE	al;ar	aiin	NO_SIGNAL	25
yky	FIGURE	DEPLETED	3	3	0	3	0	3	1	-1.76068168617	0.248950209958	1	-1.76068168617	-1.76068168617	1		NONE;ch		NONE	NO_SIGNAL	26
yteo	FIGURE	DEPLETED	3	3	1	2	1	2	1	-1.76068168617	0.247950409918	1	-1.76068168617	-1.76068168617	1	NONE	NONE	NONE	NONE	NO_SIGNAL	27
okeo	FIGURE	DEPLETED	8	5	3	5	2	3	1	-1.76068168617	0.250549890022	1	-1.76068168617	-1.76068168617	1	NONE	NONE	NONE	NONE	NO_SIGNAL	28
aiin	STAR_OR_SKY	ENRICHED	7	3	7	0	3	0	2	1.75598548408	0.145970805839	1	0.187317162316	1.75598548408	1	NONE;d;s		NONE		WEAK	29
ok	REL_EXPLICIT_ATTACHMENT	DEPLETED	19	11	1	18	1	10	9	-1.75140886474	0.149770045991	1	-2.10847023903	-1.30143085204	1	NONE	NONE;ch;d;q	aiin	aiin;ain;al;ar	WEAK	30
al	PLANT	ENRICHED	11	6	3	8	1	5	3	1.72849303191	0.116776644671	1	-0.441191796444	2.08646304958	0	NONE;d	NONE;d;s	NONE	NONE;aiin;ar	WEAK	31
