page	locus	source_codes	paragraph_id	paragraph_line_ordinal	paragraph_line_count	source_editions_marking_start	code_defined_paragraph_start	hpr2_available	hpr2_field_count	gdt229_role_available
f82r	f82r.1	@P0	P1	1	9	IT2a,ZL3b	1	0	0	0
f82r	f82r.2	+P0	P1	2	9	NONE	0	1	4	1
f82r	f82r.3	+P0	P1	3	9	NONE	0	1	2	1
f82r	f82r.4	+P0	P1	4	9	NONE	0	1	2	1
f82r	f82r.5	+P0	P1	5	9	NONE	0	1	3	0
f82r	f82r.6	+P0	P1	6	9	NONE	0	1	2	0
f82r	f82r.7	+P0	P1	7	9	NONE	0	1	4	1
f82r	f82r.8	+P0	P1	8	9	NONE	0	0	0	0
f82r	f82r.9	+P0	P1	9	9	NONE	0	0	0	0
f82r	f82r.11	@P0	P2	1	9	IT2a,ZL3b	1	1	4	0
f82r	f82r.12	+P0	P2	2	9	NONE	0	0	0	0
f82r	f82r.13	+P0	P2	3	9	NONE	0	1	4	0
f82r	f82r.14	+P0	P2	4	9	NONE	0	0	0	0
f82r	f82r.15	+P0	P2	5	9	NONE	0	0	0	0
f82r	f82r.16	+P0	P2	6	9	NONE	0	0	0	0
f82r	f82r.17	+P0	P2	7	9	NONE	0	1	4	0
f82r	f82r.18	+P0	P2	8	9	NONE	0	1	3	0
f82r	f82r.19	+Pr	P2	9	9	IT2a	0	1	2	1
f82r	f82r.20	*P0	P3	1	14	IT2a,ZL3b	1	1	2	0
f82r	f82r.21	+P0	P3	2	14	NONE	0	1	2	0
f82r	f82r.22	+P0	P3	3	14	NONE	0	0	0	0
f82r	f82r.23	+P0	P3	4	14	NONE	0	1	3	1
f82r	f82r.24	+P0	P3	5	14	NONE	0	0	0	0
f82r	f82r.25	+P0	P3	6	14	NONE	0	0	0	0
f82r	f82r.26	+P0	P3	7	14	NONE	0	1	2	1
f82r	f82r.27	+P0	P3	8	14	NONE	0	1	7	1
f82r	f82r.28	+P0	P3	9	14	NONE	0	0	0	0
f82r	f82r.29	+P0	P3	10	14	NONE	0	0	0	0
f82r	f82r.30	+P0	P3	11	14	NONE	0	1	1	0
f82r	f82r.31	+P0	P3	12	14	NONE	0	0	0	0
f82r	f82r.32	+P0	P3	13	14	NONE	0	0	0	0
f82r	f82r.33	+P0	P3	14	14	NONE	0	0	0	0
