page_host	register	right_family	occurrences	physical_folios	wrappers	example_token	example_locus	cell_state
d	HERBAL_A	aiin	49	27	NONE;ch;che;q;s;sh;t	chodaiin	f10r.9	OBSERVED
d	HERBAL_A	air	2	1	ch;q	qodair	f3r.14	OBSERVED
d	HERBAL_A	ain	5	5	ch;che;t	chodain	f2v.3	OBSERVED
d	HERBAL_A	ar	10	6	NONE;ch;q;t	chodar	f1v.10	OBSERVED
d	HERBAL_A	al	8	7	NONE;ch;che;q;s;sh	chodal	f13v.2	OBSERVED
d	HERBAL_B	aiin	12	7	NONE;ch;che;q;sh;t	chedaiin	f31r.12	OBSERVED
d	HERBAL_B	air	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
d	HERBAL_B	ain	4	2	NONE;ch;q	odain	f43r.9	OBSERVED
d	HERBAL_B	ar	2	2	NONE;ch	odar	f26v.3	OBSERVED
d	HERBAL_B	al	5	5	NONE;ch;t	odal	f39r.9	OBSERVED
d	OTHER_A	aiin	6	3	NONE;ch;q	odaiin	f58r.18	OBSERVED
d	OTHER_A	air	1	1	ch	chodair	f89v1.8	OBSERVED
d	OTHER_A	ain	1	1	t	tdain	f89r1.10	OBSERVED
d	OTHER_A	ar	1	1	ch	chodar	f89v1.16	OBSERVED
d	OTHER_A	al	2	2	NONE;che	chedal	f58v.12	OBSERVED
d	OTHER_B	aiin	12	5	NONE;ch;che;q;sh	chodaiin	f76r.28	OBSERVED
d	OTHER_B	air	2	1	s;sh	sodair	f85r1.1	OBSERVED
d	OTHER_B	ain	5	5	ch;che;q;sh	chedain	f76r.6	OBSERVED
d	OTHER_B	ar	13	7	NONE;ch;che;s;sh	odar	f75r.22	OBSERVED
d	OTHER_B	al	9	6	NONE;ch;che;q;sh	chedal	f76v.15	OBSERVED
d	STARS_RECIPE_B	aiin	47	8	NONE;ch;che;q;sh	chodaiin	f104r.15	OBSERVED
d	STARS_RECIPE_B	air	1	1	q	qodair	f114r.14	OBSERVED
d	STARS_RECIPE_B	ain	25	9	NONE;ch;che;q;sh	qodain	f104r.7	OBSERVED
d	STARS_RECIPE_B	ar	26	10	NONE;ch;che;sh	shdar	f103r.31	OBSERVED
d	STARS_RECIPE_B	al	20	9	NONE;ch;che;sh	shdal	f103r.22	OBSERVED
ok	HERBAL_A	aiin	32	21	NONE;ch;q;s;sh	okaiin	f15r.11	OBSERVED
ok	HERBAL_A	air	0	0	NONE_OBSERVED	NONE_OBSERVED	NONE_OBSERVED	ABSENT_IN_REGISTER
ok	HERBAL_A	ain	3	3	NONE;ch	okain	f28v.8	OBSERVED
ok	HERBAL_A	ar	3	3	NONE;q;s	sokar	f16v.13	OBSERVED
ok	HERBAL_A	al	7	6	NONE;ch	okal	f17v.2	OBSERVED
ok	HERBAL_B	aiin	31	7	NONE;q	okaiin	f33r.6	OBSERVED
ok	HERBAL_B	air	3	3	NONE	okair	f40v.18	OBSERVED
ok	HERBAL_B	ain	15	6	NONE;q	okain	f33r.7	OBSERVED
ok	HERBAL_B	ar	25	8	NONE;q;t	qokar	f33r.2	OBSERVED
ok	HERBAL_B	al	18	12	NONE;ch;q	okaldy	f33r.2	OBSERVED
ok	OTHER_A	aiin	7	4	NONE;q	qokaiin	f58r.32	OBSERVED
ok	OTHER_A	air	3	1	NONE;q	okair	f58r.14	OBSERVED
ok	OTHER_A	ain	1	1	q	qokain	f58v.31	OBSERVED
ok	OTHER_A	ar	12	3	NONE;q;sh	okar	f100v.21	OBSERVED
ok	OTHER_A	al	8	3	NONE;ch;che;q;sh	okal	f58r.18	OBSERVED
ok	OTHER_B	aiin	92	13	NONE;q	okaiin	f66r.56	OBSERVED
ok	OTHER_B	air	2	2	NONE;q	qokair	f80r.20	OBSERVED
ok	OTHER_B	ain	125	11	NONE;ch;che;q;sh	qokain	f75r.10	OBSERVED
ok	OTHER_B	ar	64	13	NONE;q	qokar	f66r.54	OBSERVED
ok	OTHER_B	al	76	13	NONE;q	okal	f66r.51	OBSERVED
ok	STARS_RECIPE_B	aiin	125	11	NONE;ch;che;q	okaiin	f103r.19	OBSERVED
ok	STARS_RECIPE_B	air	7	5	NONE;q	qokair	f104r.11	OBSERVED
ok	STARS_RECIPE_B	ain	90	10	NONE;ch;che;q	qokain	f103r.13	OBSERVED
ok	STARS_RECIPE_B	ar	41	10	NONE;ch;q;sh	qokar	f103r.13	OBSERVED
ok	STARS_RECIPE_B	al	46	10	NONE;q;s	qokal	f103r.21	OBSERVED
