edition	k	held_folio	class_id	training_records	training_sse	centroid
ZL3b	2	f104	0	144	1561.993198394983	-0.198010898|-0.190520334|-0.057350915|0.138068018|0.011076075|-0.050411810|0.034819119|0.036227772|-0.457574390|0.307763215|-0.485392533|0.094081053
ZL3b	2	f104	1	144	1561.993198394983	0.350326973|0.337074438|0.101467004|-0.244274185|-0.019596132|0.089190125|-0.061603056|-0.064095290|0.809554690|-0.544504150|0.858771405|-0.166451093
ZL3b	2	f105	0	150	1631.135198680976	-0.218203433|-0.070806769|-0.064644224|0.169667740|0.205108979|-0.115988801|0.001595822|0.212924968|-0.499813803|0.270091495|-0.424779424|-0.018148238
ZL3b	2	f105	1	150	1631.135198680976	0.356016128|0.115526834|0.105472155|-0.276826312|-0.334651491|0.189244886|-0.002603709|-0.347403895|0.815485679|-0.440675597|0.693061166|0.029610284
ZL3b	2	f106	0	156	1693.240835434862	-0.189361841|-0.060307658|-0.100699517|0.112473965|0.188807334|-0.121001487|-0.092571638|0.183651166|-0.494221819|0.221063356|-0.458163487|0.042959489
ZL3b	2	f106	1	156	1693.240835434862	0.328891619|0.104744880|0.174899161|-0.195349519|-0.327928527|0.210160477|0.160782319|-0.318973078|0.858385265|-0.383952144|0.795757635|-0.074613849
ZL3b	2	f107	0	155	1687.957634522621	-0.194334692|-0.100309107|-0.119122450|0.133388694|0.137171187|-0.098360619|-0.006404681|0.080495716|-0.457111837|0.145577516|-0.438637787|0.083268841
ZL3b	2	f107	1	155	1687.957634522621	0.396290351|0.204551905|0.242916368|-0.272008316|-0.279721636|0.200578517|0.013060527|-0.164148127|0.932149628|-0.296863955|0.894477055|-0.169803126
ZL3b	2	f112	0	157	1705.050854880231	-0.260589049|-0.175657608|-0.096826761|0.097813575|0.088735476|-0.117185135|0.030922559|0.062807245|-0.419259845|0.253760939|-0.487891297|0.165118652
ZL3b	2	f112	1	157	1705.050854880231	0.457173771|0.308171242|0.169871510|-0.171602763|-0.155676274|0.205587957|-0.054250103|-0.110188150|0.735543587|-0.445194630|0.855949644|-0.289681846
