field	evidence_class	oracle_forbidden	blind_parser_allowed
observation_id	PHYSICAL_LOCATOR	0	1
world_view	PHYSICAL_LOCATOR	0	1
witness_renderer	REGISTER_HAND	0	1
register	REGISTER_HAND	0	1
hand	REGISTER_HAND	0	1
folio_id	PHYSICAL_LOCATOR	0	1
layout_folio_ordinal	PHYSICAL_LOCATOR	0	1
physical_line_id	PHYSICAL_LOCATOR	0	1
line_ordinal_on_folio	PHYSICAL_LOCATOR	0	1
group_index	PHYSICAL_LOCATOR	0	1
group_count	PHYSICAL_LOCATOR	0	1
surface_group	VISIBLE_SURFACE	0	1
left_separator	SOURCE_SEPARATOR	0	1
right_separator	SOURCE_SEPARATOR	0	1
paragraph_start	PERMITTED_LAYOUT_ANNOTATION	0	1
paragraph_end	PERMITTED_LAYOUT_ANNOTATION	0	1
line_layout_role	PERMITTED_LAYOUT_ANNOTATION	0	1
page_layout_role	PERMITTED_LAYOUT_ANNOTATION	0	1
annotation_provenance	PERMITTED_LAYOUT_ANNOTATION	0	1
annotation_tags	PERMITTED_LAYOUT_ANNOTATION	0	1
annotation_confidence	PERMITTED_LAYOUT_ANNOTATION	0	1
b3	SEALED_ORACLE_ONLY	1	0
canonical_host	SEALED_ORACLE_ONLY	1	0
concept_index	SEALED_ORACLE_ONLY	1	0
dy_closure	SEALED_ORACLE_ONLY	1	0
page_host	SEALED_ORACLE_ONLY	1	0
plaintext_form	SEALED_ORACLE_ONLY	1	0
record_id	SEALED_ORACLE_ONLY	1	0
rendered_host	SEALED_ORACLE_ONLY	1	0
right_family	SEALED_ORACLE_ONLY	1	0
source_unit_id	SEALED_ORACLE_ONLY	1	0
true_b3	SEALED_ORACLE_ONLY	1	0
true_record_slot	SEALED_ORACLE_ONLY	1	0
true_right_family	SEALED_ORACLE_ONLY	1	0
true_wrapper	SEALED_ORACLE_ONLY	1	0
wrapper	SEALED_ORACLE_ONLY	1	0
