locus	page	physical_folio	target_section	hand	group_index	group_count	token	stripped_prefix	residual_host	record_state	final_open_field	physical_line_end	open_physical_line_end
f103r.21	f103r	f103	SB	3	1	12	pcheam	NONE	pcheam	OTHER	0	0	0
f103v.14	f103v	f103	SB	3	12	12	otam	NONE	otam	OTHER	1	1	1
f103v.25	f103v	f103	SB	3	9	10	aram	NONE	aram	AR_REFERENCE	1	0	0
f103v.25	f103v	f103	SB	3	10	10	oteeam	NONE	oteeam	OTHER	1	1	1
f103v.32	f103v	f103	SB	3	7	7	olkam	NONE	olkam	OL_STATE	1	1	1
f104r.22	f104r	f104	SB	3	12	12	dam	d	am	ENTRY_STATE	1	1	1
f104r.7	f104r	f104	SB	3	11	11	okaim	NONE	okaim	OTHER	1	1	1
f104v.20	f104v	f104	SB	3	12	12	otam	NONE	otam	OTHER	1	1	1
f105r.10	f105r	f105	SB	3	4	4	ytam	NONE	ytam	OTHER	1	1	1
f105r.21	f105r	f105	SB	3	11	11	chekaim	che	kaim	CARRIER_STATE	1	1	1
f105r.24	f105r	f105	SB	3	13	13	dam	d	am	ENTRY_STATE	1	1	1
f105r.34	f105r	f105	SB	3	11	11	alkam	NONE	alkam	AL_STATE	1	1	1
f105r.36	f105r	f105	SB	3	9	11	otam	NONE	otam	OTHER	0	0	0
f105v.16	f105v	f105	SB	3	12	12	opaiim	NONE	opaiim	OTHER	1	1	1
f105v.18	f105v	f105	SB	3	10	10	karaim	NONE	karaim	AR_REFERENCE	1	1	1
f107r.25	f107r	f107	SB	3	11	11	om	NONE	om	OTHER	1	1	1
f107r.35	f107r	f107	SB	3	11	11	kaldaim	NONE	kaldaim	AL_STATE	1	1	1
f107v.12	f107v	f107	SB	3	11	11	otam	NONE	otam	OTHER	1	1	1
f107v.17	f107v	f107	SB	3	11	11	lkam	NONE	lkam	OTHER	1	1	1
f107v.20	f107v	f107	SB	3	10	10	opalkam	NONE	opalkam	AL_STATE	1	1	1
f107v.8	f107v	f107	SB	3	9	9	otedam	NONE	otedam	ED_MEDIUM	1	1	1
f108r.17	f108r	f108	SB	3	10	10	tedam	t	edam	ED_MEDIUM	1	1	1
f108r.22	f108r	f108	SB	3	12	12	okeeam	NONE	okeeam	OTHER	1	1	1
f108r.29	f108r	f108	SB	3	9	9	otedam	NONE	otedam	ED_MEDIUM	1	1	1
f108r.44	f108r	f108	SB	3	4	6	charam	ch	aram	AR_REFERENCE	0	0	0
f108r.44	f108r	f108	SB	3	5	6	otam	NONE	otam	OTHER	0	0	0
f108r.8	f108r	f108	SB	3	12	12	qetam	q	etam	Q_OUTER_STATE	1	1	1
f108v.1	f108v	f108	SB	3	11	12	am	NONE	am	OTHER	1	0	0
f108v.12	f108v	f108	SB	3	12	12	tedam	t	edam	ED_MEDIUM	1	1	1
f108v.17	f108v	f108	SB	3	11	11	raram	NONE	raram	AR_REFERENCE	1	1	1
f108v.24	f108v	f108	SB	3	12	12	oram	NONE	oram	OTHER	1	1	1
f108v.37	f108v	f108	SB	3	11	11	dalam	d	alam	AL_STATE	1	1	1
f108v.38	f108v	f108	SB	3	10	10	otam	NONE	otam	OTHER	1	1	1
f108v.43	f108v	f108	SB	3	9	9	okeearam	NONE	okeearam	AR_REFERENCE	1	1	1
f108v.49	f108v	f108	SB	3	12	12	oam	NONE	oam	OTHER	1	1	1
f111r.1	f111r	f111	SB	3	10	11	am	NONE	am	OTHER	1	0	0
f111r.12	f111r	f111	SB	3	10	11	shedam	sh	edam	ED_MEDIUM	1	0	0
f111r.12	f111r	f111	SB	3	11	11	cheam	che	am	CARRIER_STATE	1	1	1
f111r.17	f111r	f111	SB	3	12	12	otam	NONE	otam	OTHER	1	1	1
f111r.48	f111r	f111	SB	3	9	10	chepcham	che	pcham	CARRIER_STATE	1	0	0
f111r.48	f111r	f111	SB	3	10	10	daim	d	aim	ENTRY_STATE	1	1	1
f111r.7	f111r	f111	SB	3	13	13	om	NONE	om	OTHER	1	1	1
f111v.21	f111v	f111	SB	3	15	15	alam	NONE	alam	AL_STATE	1	1	1
f111v.24	f111v	f111	SB	3	11	11	chctham	ch	ctham	CARRIER_STATE	1	1	1
f111v.31	f111v	f111	SB	3	12	12	llm	NONE	llm	OTHER	1	1	1
f113v.25	f113v	f113	SB	3	12	12	qotam	q	otam	Q_OUTER_STATE	1	1	1
f113v.7	f113v	f113	SB	3	5	12	lchealaim	NONE	lchealaim	AL_STATE	0	0	0
f113v.8	f113v	f113	SB	3	4	11	olkam	NONE	olkam	OL_STATE	0	0	0
f113v.8	f113v	f113	SB	3	5	11	chokam	ch	okam	CARRIER_STATE	0	0	0
f114r.26	f114r	f114	SB	3	10	10	olam	NONE	olam	OL_STATE	1	1	1
f114r.27	f114r	f114	SB	3	5	7	ksam	NONE	ksam	OTHER	0	0	0
f114v.11	f114v	f114	SB	3	10	10	otam	NONE	otam	OTHER	1	1	1
f114v.16	f114v	f114	SB	3	12	12	dam	d	am	ENTRY_STATE	1	1	1
f114v.28	f114v	f114	SB	3	7	7	chetam	che	tam	CARRIER_STATE	1	1	1
f114v.35	f114v	f114	SB	3	7	7	olkaim	NONE	olkaim	OL_STATE	1	1	1
f115r.19	f115r	f115	SB	@	10	10	ram	NONE	ram	OTHER	1	1	1
f115v.7	f115v	f115	SB	3	10	10	chotam	ch	otam	CARRIER_STATE	1	1	1
f116r.42	f116r	f116	SB	3	10	10	cham	ch	am	CARRIER_STATE	1	1	1
f26r.4	f26r	f26	HB	2	8	10	odam	NONE	odam	OTHER	0	0	0
f33v.11	f33v	f33	HB	2	4	4	oram	NONE	oram	OTHER	1	1	1
f33v.2	f33v	f33	HB	2	2	10	dam	d	am	ENTRY_STATE	1	0	0
f33v.2	f33v	f33	HB	2	8	10	ytam	NONE	ytam	OTHER	1	0	0
f33v.2	f33v	f33	HB	2	9	10	otam	NONE	otam	OTHER	1	0	0
f33v.2	f33v	f33	HB	2	10	10	cham	ch	am	CARRIER_STATE	1	1	1
f34r.3	f34r	f34	HB	2	11	11	kam	NONE	kam	OTHER	1	1	1
f34r.4	f34r	f34	HB	2	9	10	dam	d	am	ENTRY_STATE	1	0	0
f34v.2	f34v	f34	HB	2	11	11	oldam	NONE	oldam	OL_STATE	1	1	1
f34v.4	f34v	f34	HB	2	10	10	otam	NONE	otam	OTHER	1	1	1
f40r.9	f40r	f40	HB	2	9	9	daram	d	aram	AR_REFERENCE	1	1	1
f40v.3	f40v	f40	HB	2	5	5	okam	NONE	okam	OTHER	1	1	1
f43v.13	f43v	f43	HB	2	8	10	cheetam	che	etam	CARRIER_STATE	1	0	0
f43v.13	f43v	f43	HB	2	10	10	amam	NONE	amam	OTHER	1	1	1
f43v.7	f43v	f43	HB	2	7	10	otam	NONE	otam	OTHER	1	0	0
f48v.5	f48v	f48	HB	5	10	10	otam	NONE	otam	OTHER	1	1	1
f48v.9	f48v	f48	HB	5	11	12	ytam	NONE	ytam	OTHER	0	0	0
f50r.2	f50r	f50	HB	2	12	12	okam	NONE	okam	OTHER	1	1	1
f50r.3	f50r	f50	HB	2	10	10	odam	NONE	odam	OTHER	1	1	1
f50v.1	f50v	f50	HB	2	10	10	fardam	NONE	fardam	AR_REFERENCE	1	1	1
f55v.5	f55v	f55	HB	2	8	8	talam	t	alam	AL_STATE	1	1	1
f66v.5	f66v	f66	HB	5	2	5	shedefam	sh	edefam	ED_MEDIUM	0	0	0
f94v.5	f94v	f94	HB	3	8	8	am	NONE	am	OTHER	1	1	1
