panel	window	representation	pages	physical_folios	features	baseline_bits	held_bits	gain_bits	selector_paid_gain_bits	positive_gain_features	positive_gain_folios	local_permutation_p	max_12_p	max_feature_combo_p
PRIMARY_8	FIRST_LINE	PAGE_HOST_IDENTITY	126	62	8	430.044328809	414.010325494	16.0340033157	12.449040815	4	38	0.290570942906	0.733226677332	0.643335666433
CROSS_CURRIER_6	FIRST_LINE	PAGE_HOST_IDENTITY	126	62	6	400.153477328	387.745844386	12.4076329418	SENSITIVITY	3	36	0.347265273473	0.67803219678	0.643335666433
PRIMARY_8	FIRST_LINE	PAGE_HOST_CHAR3	126	62	8	430.044328809	419.883859366	10.1604694431	6.5755069424	5	36	0.586941305869	0.733226677332	0.643335666433
CROSS_CURRIER_6	FIRST_LINE	PAGE_HOST_CHAR3	126	62	6	400.153477328	394.532655647	5.62082168106	SENSITIVITY	2	34	0.692730726927	0.67803219678	0.643335666433
PRIMARY_8	FIRST_LINE	RAW_CHAR3	126	62	8	430.044328809	422.71203842	7.33229038977	3.74732788905	5	34	0.73302669733	0.733226677332	0.643335666433
CROSS_CURRIER_6	FIRST_LINE	RAW_CHAR3	126	62	6	400.153477328	395.896622164	4.2568551637	SENSITIVITY	3	27	0.767323267673	0.67803219678	0.643335666433
PRIMARY_8	BODY_AFTER_FIRST	PAGE_HOST_IDENTITY	126	62	8	430.044328809	426.590996008	3.45333280181	-0.131629698908	5	35	0.722227777222	0.733226677332	0.643335666433
CROSS_CURRIER_6	BODY_AFTER_FIRST	PAGE_HOST_IDENTITY	126	62	6	400.153477328	401.526421842	-1.37294451394	SENSITIVITY	3	35	0.843115688431	0.67803219678	0.643335666433
PRIMARY_8	BODY_AFTER_FIRST	PAGE_HOST_CHAR3	126	62	8	430.044328809	426.406923441	3.63740536812	0.0524428673995	4	40	0.628137186281	0.733226677332	0.643335666433
CROSS_CURRIER_6	BODY_AFTER_FIRST	PAGE_HOST_CHAR3	126	62	6	400.153477328	396.12373736	4.02973996775	SENSITIVITY	4	39	0.565143485651	0.67803219678	0.643335666433
PRIMARY_8	BODY_AFTER_FIRST	RAW_CHAR3	126	62	8	430.044328809	434.80789913	-4.76357032107	-8.34853282179	4	34	0.86901309869	0.733226677332	0.643335666433
CROSS_CURRIER_6	BODY_AFTER_FIRST	RAW_CHAR3	126	62	6	400.153477328	403.191582789	-3.03810546134	SENSITIVITY	3	32	0.790720927907	0.67803219678	0.643335666433
PRIMARY_8	LAST_LINE	PAGE_HOST_IDENTITY	126	62	8	430.044328809	421.621585361	8.42274344828	4.83778094755	5	38	0.553544645535	0.733226677332	0.643335666433
CROSS_CURRIER_6	LAST_LINE	PAGE_HOST_IDENTITY	126	62	6	400.153477328	389.990755223	10.1627221049	SENSITIVITY	4	35	0.426657334267	0.67803219678	0.643335666433
PRIMARY_8	LAST_LINE	PAGE_HOST_CHAR3	126	62	8	430.044328809	412.213614503	17.8307143063	14.2457518056	6	37	0.354064593541	0.733226677332	0.643335666433
CROSS_CURRIER_6	LAST_LINE	PAGE_HOST_CHAR3	126	62	6	400.153477328	382.054091747	18.0993855808	SENSITIVITY	5	32	0.290570942906	0.67803219678	0.643335666433
PRIMARY_8	LAST_LINE	RAW_CHAR3	126	62	8	430.044328809	428.584081101	1.46024770877	-2.12471479195	5	32	0.91700829917	0.733226677332	0.643335666433
CROSS_CURRIER_6	LAST_LINE	RAW_CHAR3	126	62	6	400.153477328	398.883117423	1.27035990469	SENSITIVITY	3	34	0.876112388761	0.67803219678	0.643335666433
PRIMARY_8	ALL_PAGE	PAGE_HOST_IDENTITY	126	62	8	430.044328809	430.54798356	-0.503654750363	-4.08861725108	3	35	0.861313868613	0.733226677332	0.643335666433
CROSS_CURRIER_6	ALL_PAGE	PAGE_HOST_IDENTITY	126	62	6	400.153477328	406.212749509	-6.05927218151	SENSITIVITY	1	35	0.943905609439	0.67803219678	0.643335666433
PRIMARY_8	ALL_PAGE	PAGE_HOST_CHAR3	126	62	8	430.044328809	421.217105252	8.82722355773	5.24226105701	6	37	0.454754524548	0.733226677332	0.643335666433
CROSS_CURRIER_6	ALL_PAGE	PAGE_HOST_CHAR3	126	62	6	400.153477328	394.033651552	6.11982577563	SENSITIVITY	4	37	0.511948805119	0.67803219678	0.643335666433
PRIMARY_8	ALL_PAGE	RAW_CHAR3	126	62	8	430.044328809	424.764615384	5.27971342582	1.6947509251	5	39	0.506449355064	0.733226677332	0.643335666433
CROSS_CURRIER_6	ALL_PAGE	RAW_CHAR3	126	62	6	400.153477328	393.674060211	6.47941711655	SENSITIVITY	4	35	0.433556644336	0.67803219678	0.643335666433
