entry	scope	provisional_role	english_gloss	confidence	export_rule
PAGE_HOST	MANUSCRIPT_FORMAL	OPAQUE_PAGE_OR_REGISTER_CONDITIONED_CONTENT_ADDRESS	UNASSIGNED	STRUCTURAL_ONLY	NEVER_GLOSS_WITHOUT_INDEPENDENT_REFERENT
WRAPPER	MANUSCRIPT_FORMAL	HOST_LICENSED_ENTRY_OR_RENDERING_COORDINATE	UNASSIGNED	STRUCTURAL_ONLY	NOT_A_POS_OR_MORPHEME
RIGHT_FAMILY	MANUSCRIPT_FORMAL	REGISTER_CONDITIONED_RIGHT_EDGE_RENDERER	UNASSIGNED	STRUCTURAL_ONLY	NOT_A_SUFFIX_MEANING
DY_CLASS	MANUSCRIPT_FORMAL	FIELD_CHECKPOINT_OR_CLOSURE_CLASS	UNASSIGNED	STRUCTURAL_ONLY	NOT_TRANSLATED_AS_END_OR_RESOLVE
B3_CLASS	MANUSCRIPT_FORMAL	PROBABILISTIC_PHYSICAL_RECORD_CLOSER	UNASSIGNED	STRUCTURAL_ONLY	NOT_PUNCTUATION_OR_WORD
Q_OUTER	MANUSCRIPT_FORMAL	LEFT_EDGE_ROUTING_OPERATION	UNASSIGNED	LIMITED_LOCAL_COMPOSITION	NO_SEMANTIC_OR_PHONOLOGICAL_VALUE
N1_STARTS_OT_BIT	F57_N1_AND_F77_SEGMENTS_ONLY	FIRE_INCIDENCE_COORDINATE	UNASSIGNED	PROVISIONAL_POSTHOC	DO_NOT_EXPORT_TO_PROSE_OR_OTHER_PAGES
D1_HAS_OK_BIT	F57_D1_ONLY	WATER_INCIDENCE_COORDINATE	UNASSIGNED	PROVISIONAL_POSTHOC	DO_NOT_EXPORT_TO_PROSE_OR_OTHER_PAGES
LOCAL_TERMINAL_Y_BIT	F57_SHORT_LABELS_AND_F77_SEGMENTS_ONLY	MOIST_OR_DRY_PARTITION_COORDINATE	UNASSIGNED	PROVISIONAL_POSTHOC	DO_NOT_EXPORT_TO_GLOBAL_DY_OR_WORD_FINAL_Y
N1_F77_STATE_00	F57_N1_AND_F77_LOCAL_SCHEMA	COLD_POSITION	COLD_POSITION	PROVISIONAL_PAGE_ROLE	POSITION_GLOSS_NOT_SOURCE_WORD
N1_F77_STATE_01	F57_N1_AND_F77_LOCAL_SCHEMA	MOIST_POSITION	MOIST_POSITION	PROVISIONAL_PAGE_ROLE	POSITION_GLOSS_NOT_SOURCE_WORD
N1_F77_STATE_10	F57_N1_AND_F77_LOCAL_SCHEMA	HOT_POSITION	HOT_POSITION	PROVISIONAL_PAGE_ROLE	POSITION_GLOSS_NOT_SOURCE_WORD
N1_F77_STATE_11	F57_N1_AND_F77_LOCAL_SCHEMA	DRY_POSITION	DRY_POSITION	PROVISIONAL_PAGE_ROLE	POSITION_GLOSS_NOT_SOURCE_WORD
D1_STATE_00	F57_D1_LOCAL_SCHEMA	HOT_POSITION	HOT_POSITION	PROVISIONAL_PAGE_ROLE	POSITION_GLOSS_NOT_SOURCE_WORD
D1_STATE_01	F57_D1_LOCAL_SCHEMA	DRY_POSITION	DRY_POSITION	PROVISIONAL_PAGE_ROLE	POSITION_GLOSS_NOT_SOURCE_WORD
D1_STATE_10	F57_D1_LOCAL_SCHEMA	COLD_POSITION	COLD_POSITION	PROVISIONAL_PAGE_ROLE	POSITION_GLOSS_NOT_SOURCE_WORD
D1_STATE_11	F57_D1_LOCAL_SCHEMA	MOIST_POSITION	MOIST_POSITION	PROVISIONAL_PAGE_ROLE	POSITION_GLOSS_NOT_SOURCE_WORD
