id	layer	finding	grade	supports	constrains	source
E01	SOURCE	Manual separator states carry reproducible hierarchy; cleaner fragment boundaries are excluded.	CONFIRMED_STRUCTURAL	HYBRID,NOTATION	VISIBLE_GROUP_IS_NOT_ASSUMED_WORD	VOYNICH_ACTIVE_STATE.md
E02	RECORD	Physical lines carry a rising coordinate and reset at the next line.	CONFIRMED_STRUCTURAL	HYBRID,NOTATION	LINE_IS_RECORD_OR_UTTERANCE_LIKE_NOT_SENTENCE_PROOF	VOYNICH_ACTIVE_STATE.md
E03	CONTENT	Literal inventories have held page-scale coherence and adjacency structure.	CONFIRMED_STRUCTURAL	HYBRID,NATURAL_LANGUAGE,NOTATION	PAGE_CONDITIONED_INVENTORY	VOYNICH_ACTIVE_STATE.md
E04	ALGEBRA	Nested folio-held operation discovery gains AP over fixed string baselines, but precision is 0.000909 and the named q/right subgroup loses badly.	LIMITED_LOCAL_COMPOSITION	HYBRID	NO_GENERAL_MORPHOLOGY_OR_Q_DY_MEANING	GDT003_NESTED_HELDOUT_REPORT.md
E05	ABBREVIATION	Readable medieval diplomatic abbreviation produces rectangles, edge asymmetry, record effects, and recurring stripped hosts.	POSITIVE_CONTROL	HYBRID,NATURAL_LANGUAGE	RECTANGLES_ARE_NOT_SEMANTIC_PROOF	GDT155_MEDIEVAL_ABBREVIATION_UNBLIND_REPORT.md
E06	ALGEBRA	No historical diplomatic comparator reproduces the conjunction of Voynich operation scale, compatibility density, and left dominance.	RESIDUAL_SUPPORTED	HYBRID,NOTATION	ABBREVIATION_ALONE_INSUFFICIENT	GDT159_DIPLOMATIC_SURFACE_ALGEBRA_REPORT.md
E07	ALGEBRA	Specific LEFT×RIGHT incidence exceeds degree/frequency nulls, but similar normalized excess also occurs in historical corpora.	SUPPORTED_NONUNIQUE	HYBRID,NOTATION	NOT_UNIQUE_LANGUAGE_OR_CIPHER_SIGNAL	GDT160_COMPATIBILITY_PAIRING_NULL_REPORT.md
E08	ALGEBRA	The excess does not collapse into a small stable latent operation inventory.	NEGATIVE_CONSTRAINT	HYBRID	NO_SMALL_FACTORIAL_MORPHEME_SYSTEM	GDT161_LATENT_OPERATION_CLASS_REPORT.md
E09	COMPILER	The best explicit structural generator is line-reset FIELD chaining with wrappers, PAGE_HOST, RIGHT_FAMILY, DY checkpoints, and probabilistic B3 close.	LEADING_ABDUCTIVE_ARCHITECTURE	HYBRID	FIELD_NAMES_ARE_FORMAL	GDT051_REVISED_HYBRID_REGISTER_COMPILER_REPORT.md
E10	CONTENT	PAGE_HOST improves internal page vocabulary representation, while compiler state also clusters by page and external transfer fails.	LOCALIZED_BUT_UNGROUNDED	HYBRID	PAGE_HOST_NOT_CONFIRMED_LEXEME	GDT083_HPR_LAYER_LOCALIZATION_SYNTHESIS_REPORT.md
E11	CONTENT	Short hosts are identity-bearing and internally structured, not a pure arbitrary codebook.	INTERESTING_STRUCTURAL	HYBRID	IDENTITY_MATTERS_WITHOUT_SEMANTIC_GLOSS	GDT162_PAGE_HOST_CODEBOOK_REPORT.md
E12	CALIBRATION	Negative host-context diagnostics fail even on a true synthetic lexical codebook.	INSTRUMENT_LIMIT	HYBRID,NATURAL_LANGUAGE,NOTATION	HOST_NEGATIVES_DO_NOT_EXCLUDE_SPARSE_LEXICALITY	GDT168_SYNTHETIC_ARCHITECTURE_CALIBRATION_REPORT.md
E13	CONTEXT	Recurrent hosts have heterogeneous folio-conditioned next-partner instability in all powered registers.	MIXED_OR_UNRESOLVED	HYBRID	NO_GLOBAL_NEXT_HOST_DICTIONARY	GDT175_RECURRENCE_PARTNER_INSTABILITY_REPORT.md
E14	SEMANTICS	Readable-recipe position/length roles fail every independent Q20 source-native prediction.	NEGATIVE_CONSTRAINT	NONE	NO_Q20_INGREDIENT_TOOL_INSTRUCTION_GLOSSES	GDT177_Q20_ROLE_SCHEMA_VALIDATION_REPORT.md
E15	SEMANTICS	The complete human-nominated referent atlas does not support exact or transformed PAGE_HOST content addresses.	NEGATIVE_CONSTRAINT	NONE	NO_GLOBAL_PAGE_HOST_DICTIONARY	GDT178_REFERENT_DISTRIBUTIONAL_HOST_REPORT.md
E16	LOCAL_SEMANTICS	Two f57 registers reconstruct all eight source-frozen Hot/Moist/Cold/Dry positions with local two-bit rules.	PROVISIONAL_POSTHOC_PAGE_LOCAL	HYBRID,NOTATION	NO_GLOBAL_OT_OK_Y_GLOSS	GDT179_F57_PAGE_TRANSLATION_REPORT.md
E17	LOCAL_SEMANTICS	The f77 six-state sequence makes four element-incidence changes and one nonemitting repeated-state hold.	PROVISIONAL_POSTHOC_PAGE_LOCAL	HYBRID,NOTATION	NO_NAMED_PROCESS_OR_MATERIAL	GDT180_F77_PROCESS_TRANSLATION_REPORT.md
