base	target_air	target_other	control_air	control_other	total	target_air_folios	odds_ratio	fisher_p
ok	10	368	2	387	767	8	5.258152174	0.0198724398268
ot	10	215	1	164	390	6	7.627906977	0.0284027359569
op	3	7	0	6	16	3	INF	0.25
yk	3	20	1	19	43	2	2.850000000	0.610485373957
or	3	15	0	14	32	2	INF	0.237903225806
k	2	48	2	34	86	2	0.708333333	1
o	2	20	1	17	40	2	1.700000000	1
pchd	2	3	0	1	6	2	INF	1
od	1	40	1	33	75	1	0.825000000	1
olk	1	20	2	32	55	1	0.800000000	1
l	1	9	0	4	14	1	INF	1
alk	1	11	0	0	12	1	INF	1
of	1	6	0	0	7	1	INF	1
oteod	1	2	0	1	4	1	INF	1
por	1	3	0	0	4	1	INF	1
pod	1	0	0	2	3	1	INF	0.333333333333
ak	1	1	0	0	2	1	INF	1
opcheod	1	0	0	1	2	1	INF	1
otched	1	1	0	0	2	1	INF	1
ypchd	1	0	0	1	2	1	INF	1
fcheok	1	0	0	0	1	1	INF	1
okeeod	1	0	0	0	1	1	INF	1
oteol	1	0	0	0	1	1	INF	1
par	1	0	0	0	1	1	INF	1
poed	1	0	0	0	1	1	INF	1
psho	1	0	0	0	1	1	INF	1
yshed	1	0	0	0	1	1	INF	1
lk	0	46	0	14	60	0	INF	1
yt	0	13	3	33	49	0	0.000000000	0.55547112462
r	0	23	0	12	35	0	INF	1
ol	0	19	0	8	27	0	INF	1
cth	0	0	0	19	19	0	INF	1
oked	0	12	0	5	17	0	INF	1
yd	0	2	1	10	13	0	0.000000000	1
oted	0	8	1	3	12	0	0.000000000	0.333333333333
okeed	0	8	0	3	11	0	INF	1
okch	0	2	0	8	10	0	INF	1
oke	0	8	0	2	10	0	INF	1
otch	0	1	0	9	10	0	INF	1
pched	0	6	0	4	10	0	INF	1
old	0	4	0	4	8	0	INF	1
p	0	5	0	3	8	0	INF	1
ar	0	6	0	1	7	0	INF	1
cph	0	1	0	6	7	0	INF	1
ote	0	7	0	0	7	0	INF	1
pchod	0	3	0	4	7	0	INF	1
pol	0	6	0	1	7	0	INF	1
otod	0	1	0	5	6	0	INF	1
yched	0	6	0	0	6	0	INF	1
lt	0	3	0	2	5	0	INF	1
okee	0	3	0	2	5	0	INF	1
olt	0	0	0	5	5	0	INF	1
et	0	2	0	2	4	0	INF	1
lch	0	2	0	2	4	0	INF	1
opched	0	4	0	0	4	0	INF	1
otchd	0	2	0	2	4	0	INF	1
oteed	0	4	0	0	4	0	INF	1
ych	0	0	1	3	4	0	INF	1
ckh	0	0	0	3	3	0	INF	1
cpho	0	1	0	2	3	0	INF	1
cthod	0	0	0	3	3	0	INF	1
kch	0	0	0	3	3	0	INF	1
kchd	0	1	0	2	3	0	INF	1
ked	0	3	0	0	3	0	INF	1
keod	0	1	0	2	3	0	INF	1
lched	0	1	0	2	3	0	INF	1
ld	0	1	0	2	3	0	INF	1
lked	0	3	0	0	3	0	INF	1
och	0	1	0	2	3	0	INF	1
okal	0	3	0	0	3	0	INF	1
olch	0	2	0	1	3	0	INF	1
opch	0	3	0	0	3	0	INF	1
os	0	0	0	3	3	0	INF	1
otar	0	3	0	0	3	0	INF	1
pch	0	0	0	3	3	0	INF	1
pd	0	0	0	3	3	0	INF	1
pshd	0	2	0	1	3	0	INF	1
y	0	2	0	1	3	0	INF	1
al	0	2	0	0	2	0	INF	1
ek	0	1	0	1	2	0	INF	1
fchod	0	1	0	1	2	0	INF	1
kee	0	1	0	1	2	0	INF	1
keed	0	2	0	0	2	0	INF	1
ko	0	0	1	1	2	0	INF	1
lkeed	0	2	0	0	2	0	INF	1
lod	0	1	0	1	2	0	INF	1
oched	0	2	0	0	2	0	INF	1
octh	0	0	0	2	2	0	INF	1
oe	0	1	0	1	2	0	INF	1
oed	0	2	0	0	2	0	INF	1
oee	0	1	0	1	2	0	INF	1
oek	0	1	0	1	2	0	INF	1
ofch	0	1	0	1	2	0	INF	1
olked	0	1	0	1	2	0	INF	1
ols	0	0	0	2	2	0	INF	1
opchd	0	2	0	0	2	0	INF	1
opche	0	2	0	0	2	0	INF	1
opd	0	2	0	0	2	0	INF	1
otche	0	0	0	2	2	0	INF	1
pcheod	0	2	0	0	2	0	INF	1
pok	0	1	0	1	2	0	INF	1
polar	0	1	0	1	2	0	INF	1
pyd	0	0	0	2	2	0	INF	1
rar	0	2	0	0	2	0	INF	1
yche	0	2	0	0	2	0	INF	1
ycheeod	0	2	0	0	2	0	INF	1
ykeed	0	2	0	0	2	0	INF	1
yp	0	0	0	2	2	0	INF	1
aiin	0	1	0	0	1	0	INF	1
alo	0	1	0	0	1	0	INF	1
ch	0	1	0	0	1	0	INF	1
chod	0	0	0	1	1	0	INF	1
ckhe	0	0	0	1	1	0	INF	1
co	0	0	0	1	1	0	INF	1
cphch	0	0	0	1	1	0	INF	1
ee	0	1	0	0	1	0	INF	1
eees	0	0	0	1	1	0	INF	1
folche	0	1	0	0	1	0	INF	1
fold	0	0	0	1	1	0	INF	1
kald	0	1	0	0	1	0	INF	1
kalk	0	1	0	0	1	0	INF	1
kar	0	0	0	1	1	0	INF	1
kcheod	0	0	0	1	1	0	INF	1
kcho	0	0	0	1	1	0	INF	1
kchoch	0	0	0	1	1	0	INF	1
kcholchd	0	1	0	0	1	0	INF	1
keeed	0	1	0	0	1	0	INF	1
keeo	0	1	0	0	1	0	INF	1
keeod	0	1	0	0	1	0	INF	1
keso	0	1	0	0	1	0	INF	1
kod	0	0	0	1	1	0	INF	1
kold	0	0	0	1	1	0	INF	1
ksh	0	0	0	1	1	0	INF	1
kshd	0	1	0	0	1	0	INF	1
kyd	0	0	0	1	1	0	INF	1
lchar	0	1	0	0	1	0	INF	1
lchd	0	1	0	0	1	0	INF	1
lche	0	0	0	1	1	0	INF	1
lke	0	1	0	0	1	0	INF	1
lkee	0	1	0	0	1	0	INF	1
lo	0	1	0	0	1	0	INF	1
lok	0	0	0	1	1	0	INF	1
lolk	0	1	0	0	1	0	INF	1
los	0	1	0	0	1	0	INF	1
loted	0	1	0	0	1	0	INF	1
lpchd	0	1	0	0	1	0	INF	1
lshd	0	1	0	0	1	0	INF	1
lsheet	0	0	0	1	1	0	INF	1
lshek	0	1	0	0	1	0	INF	1
lshod	0	0	1	0	1	0	INF	1
ltee	0	1	0	0	1	0	INF	1
oaor	0	0	0	1	1	0	INF	1
oche	0	0	0	1	1	0	INF	1
ocheod	0	0	0	1	1	0	INF	1
ocho	0	0	0	1	1	0	INF	1
ockh	0	1	0	0	1	0	INF	1
odch	0	0	0	1	1	0	INF	1
odeed	0	0	0	1	1	0	INF	1
oeed	0	1	0	0	1	0	INF	1
oeeed	0	1	0	0	1	0	INF	1
oeek	0	1	0	0	1	0	INF	1
oeeod	0	1	0	0	1	0	INF	1
oeo	0	1	0	0	1	0	INF	1
oes	0	1	0	0	1	0	INF	1
ofar	0	1	0	0	1	0	INF	1
ofchd	0	1	0	0	1	0	INF	1
ofched	0	1	0	0	1	0	INF	1
okad	0	0	0	1	1	0	INF	1
okchd	0	1	0	0	1	0	INF	1
okched	0	1	0	0	1	0	INF	1
okcheod	0	1	0	0	1	0	INF	1
okeesod	0	1	0	0	1	0	INF	1
okeo	0	0	0	1	1	0	INF	1
okeok	0	1	0	0	1	0	INF	1
okeoke	0	0	0	1	1	0	INF	1
okl	0	1	0	0	1	0	INF	1
okod	0	0	0	1	1	0	INF	1
okor	0	0	0	1	1	0	INF	1
oksh	0	0	0	1	1	0	INF	1
okyt	0	0	0	1	1	0	INF	1
olchee	0	1	0	0	1	0	INF	1
olf	0	0	0	1	1	0	INF	1
olkeed	0	1	0	0	1	0	INF	1
olo	0	1	0	0	1	0	INF	1
olok	0	0	0	1	1	0	INF	1
opaiir	0	1	0	0	1	0	INF	1
opal	0	1	0	0	1	0	INF	1
opar	0	1	0	0	1	0	INF	1
opor	0	0	0	1	1	0	INF	1
opshed	0	0	0	1	1	0	INF	1
opyd	0	0	0	1	1	0	INF	1
oqok	0	0	0	1	1	0	INF	1
oqot	0	1	0	0	1	0	INF	1
orched	0	1	0	0	1	0	INF	1
osh	0	0	0	1	1	0	INF	1
otal	0	1	0	0	1	0	INF	1
otalk	0	1	0	0	1	0	INF	1
otchee	0	0	0	1	1	0	INF	1
otcheod	0	1	0	0	1	0	INF	1
otchod	0	0	0	1	1	0	INF	1
otchor	0	1	0	0	1	0	INF	1
otd	0	0	0	1	1	0	INF	1
otddy	0	0	0	1	1	0	INF	1
otee	0	1	0	0	1	0	INF	1
otl	0	1	0	0	1	0	INF	1
otlchd	0	1	0	0	1	0	INF	1
oto	0	0	0	1	1	0	INF	1
otol	0	1	0	0	1	0	INF	1
otolo	0	0	0	1	1	0	INF	1
otolod	0	0	0	1	1	0	INF	1
otshs	0	1	0	0	1	0	INF	1
pad	0	1	0	0	1	0	INF	1
pair	0	1	0	0	1	0	INF	1
pal	0	1	0	0	1	0	INF	1
palshs	0	1	0	0	1	0	INF	1
pchdl	0	1	0	0	1	0	INF	1
pche	0	1	0	0	1	0	INF	1
pcheolk	0	0	0	1	1	0	INF	1
pchoet	0	1	0	0	1	0	INF	1
pcholk	0	1	0	0	1	0	INF	1
pchyk	0	0	0	1	1	0	INF	1
po	0	1	0	0	1	0	INF	1
poar	0	1	0	0	1	0	INF	1
poch	0	0	0	1	1	0	INF	1
podaro	0	1	0	0	1	0	INF	1
poee	0	0	0	1	1	0	INF	1
polch	0	1	0	0	1	0	INF	1
polcheolk	0	1	0	0	1	0	INF	1
pold	0	0	0	1	1	0	INF	1
polkeed	0	1	0	0	1	0	INF	1
polshd	0	0	0	1	1	0	INF	1
pshed	0	1	0	0	1	0	INF	1
pshod	0	1	0	0	1	0	INF	1
pychd	0	1	0	0	1	0	INF	1
rched	0	1	0	0	1	0	INF	1
ror	0	1	0	0	1	0	INF	1
rot	0	0	0	1	1	0	INF	1
rshe	0	0	0	1	1	0	INF	1
rsheed	0	0	0	1	1	0	INF	1
s	0	0	0	1	1	0	INF	1
