operation	length	position	source_glyph	target_glyph	eligible_cells	base_families	sections	hands	retained_for_transfer	claim_state
L2:P1:a>e	2	1	a	e	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:a>l	2	1	a	l	4	3	B|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:a>o	2	1	a	o	17	3	B|C|H|P|S|T	1|2|3|5|@	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:a>y	2	1	a	y	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:c>s	2	1	c	s	3	1	B|H|S	1|2|3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:e>k	2	1	e	k	10	3	B|H|P|S|T	1|2|3|5	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:e>l	2	1	e	l	6	5	B|S	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:e>o	2	1	e	o	9	3	B|H|P|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:e>p	2	1	e	p	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:e>r	2	1	e	r	2	2	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:e>t	2	1	e	t	4	1	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:e>y	2	1	e	y	6	3	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:k>l	2	1	k	l	1	1	B	2	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:k>p	2	1	k	p	1	1	H	1	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:k>r	2	1	k	r	1	1	S	3	0	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:k>t	2	1	k	t	4	1	B|H|S	1|2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
L2:P1:l>o	2	1	l	o	8	4	B|S|T	2|3	1	DIRECTED_ONE_CHARACTER_FORMAL_RELATION_NO_MORPHOLOGY_OR_MEANING
