page	locus	line_field_ordinal	line_field_count	field_group_count	source_tokens	page_hosts	compiler_cells	line_field_end	semantic_role
f80r	f80r.14	1	1	12	solkain|shl|lky|chcthy|qokain|qotchy|qotal|dy|chckhy|lchey|qotar|otal	olk|l|lky|cthy|ok|chy|ot|y|ckhy|lchey|ot|ot	s:NONE:0:ain:0:0|sh:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|ch:NONE:0:NONE:0:0|q:NONE:0:ain:0:0|q:OT:0:NONE:0:0|q:NONE:0:al:0:0|d:NONE:0:NONE:0:0|ch:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|q:NONE:0:ar:0:0|NONE:NONE:0:al:0:0	LINE_END	UNASSIGNED
f80r	f80r.15	1	4	1	qokedy	oke	q:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.15	2	4	1	qokeedy	okee	q:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.15	3	4	2	checkhy|olchedy	ckhy|olche	che:NONE:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.15	4	4	6	qokain|chey|qokechckhy|otar|cheoltain|sy	ok|y|okechckhy|ot|olt|y	q:NONE:0:ain:0:0|che:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:ar:0:0|che:NONE:0:ain:0:0|s:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.16	1	4	1	solchedy	olche	s:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.16	2	4	1	qokeedy	okee	q:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.16	3	4	6	qokar|ol|chedy|qokain|shecthy|qokeedy	ok|l|y|ok|ecthy|okee	q:NONE:0:ar:0:0|NONE:O:0:NONE:0:0|che:NONE:1:NONE:0:0|q:NONE:0:ain:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.16	4	4	3	saltar|chkain|oty	alt|k|y	s:NONE:0:ar:0:0|ch:NONE:0:ain:0:0|NONE:OT:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.18	1	2	5	paiin|sheol|qokain|chety|qokeedy	p|eol|ok|ty|okee	NONE:NONE:0:aiin:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:ain:0:0|che:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.18	2	2	6	qokar|shcthy|qotol|shecthy|qokain|olkam	ok|cthy|ol|ecthy|ok|olka	q:NONE:0:ar:0:0|sh:NONE:0:NONE:0:0|q:OT:0:NONE:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:ain:0:0|NONE:NONE:0:NONE:0:1	LINE_END	UNASSIGNED
f80r	f80r.20	1	3	1	qoteedy	ee	q:OT:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.20	2	3	7	keey|qokain|chckhy|qoty|dalched|otain|shedy	keey|ok|ckhy|y|alched|ot|e	NONE:NONE:0:NONE:0:0|q:NONE:0:ain:0:0|ch:NONE:0:NONE:0:0|q:OT:0:NONE:0:0|d:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|sh:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.20	3	3	3	qokair|shey|dalom	ok|ey|alo	q:NONE:0:air:0:0|sh:NONE:0:NONE:0:0|d:NONE:0:NONE:0:1	LINE_END	UNASSIGNED
f80r	f80r.21	1	2	1	shedy	e	sh:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.21	2	2	10	qokey|shckhey|qotar|chckhy|otol|teol|sheol|qotal|oltain|chcthy	okey|ckhey|ot|ckhy|ol|eol|eol|ot|olt|cthy	q:NONE:0:NONE:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:ar:0:0|ch:NONE:0:NONE:0:0|NONE:OT:0:NONE:0:0|t:NONE:0:NONE:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:al:0:0|NONE:NONE:0:ain:0:0|ch:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.22	1	2	1	qokeedy	okee	q:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.22	2	2	2	qol|shecthy	l|ecthy	q:O:0:NONE:0:0|sh:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.25	1	2	6	dar|sheal|cheeky|okain|sol|lshedy	ar|e|eky|ok|l|lshe	d:NONE:0:NONE:0:0|sh:NONE:0:al:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|s:O:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.25	2	2	7	dol|checthy|orol|eeesal|olo|teol|ory	l|cthy|orol|eees|olo|eol|ory	d:O:0:NONE:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:al:0:0|NONE:NONE:0:NONE:0:0|t:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.26	1	3	4	lchol|dar|shecthy|otedy	lchol|ar|ecthy|e	NONE:NONE:0:NONE:0:0|d:NONE:0:NONE:0:0|sh:NONE:0:NONE:0:0|NONE:OT:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.26	2	3	2	qol|olcheedy	l|olchee	q:O:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.26	3	3	4	opcheeky|qotchy|qokaiin|otair	opcheeky|chy|ok|ot	NONE:NONE:0:NONE:0:0|q:OT:0:NONE:0:0|q:NONE:0:aiin:0:0|NONE:NONE:0:air:0:0	LINE_END	UNASSIGNED
f80r	f80r.27	1	1	10	lol|shar|otaiin|olkaiin|ol|olkain|oraiin|olor|checthy|olor	lol|ar|ot|olk|l|olk|or|olor|cthy|olor	NONE:NONE:0:NONE:0:0|sh:NONE:0:NONE:0:0|NONE:NONE:0:aiin:0:0|NONE:NONE:0:aiin:0:0|NONE:O:0:NONE:0:0|NONE:NONE:0:ain:0:0|NONE:NONE:0:aiin:0:0|NONE:NONE:0:NONE:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.28	1	2	6	pcheolkal|dal|korchy|qotey|qoty|rchedy	pcheolk|al|korchy|otey|y|rche	NONE:NONE:0:al:0:0|d:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|q:OT:0:NONE:0:0|NONE:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.28	2	2	1	qokal	ok	q:NONE:0:al:0:0	LINE_END	UNASSIGNED
f80r	f80r.31	1	2	7	qokal|checthy|sol|chey|okalol|okaly|qokeedy	ok|cthy|l|y|okalol|okaly|okee	q:NONE:0:al:0:0|che:NONE:0:NONE:0:0|s:O:0:NONE:0:0|che:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|q:NONE:0:NONE:1:0	DY	UNASSIGNED
f80r	f80r.31	2	2	1	oly	oly	NONE:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.33	1	1	8	solchey|qokeey|lkar|otal|olkeey|okain|shecthy|ol	olchey|okeey|lk|ot|olkeey|ok|ecthy|l	s:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:ar:0:0|NONE:NONE:0:al:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:ain:0:0|sh:NONE:0:NONE:0:0|NONE:O:0:NONE:0:0	LINE_END	UNASSIGNED
f80r	f80r.36	1	1	11	qokeey|rchey|tain|oteey|qokain|shekaiin|sheckhy|qolshey|qokain|ol|lom	okeey|rchey|ain|eey|ok|ek|eckhy|olshey|ok|l|lo	q:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|t:NONE:0:NONE:0:0|NONE:OT:0:NONE:0:0|q:NONE:0:ain:0:0|sh:NONE:0:aiin:0:0|sh:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|q:NONE:0:ain:0:0|NONE:O:0:NONE:0:0|NONE:NONE:0:NONE:0:1	LINE_END	UNASSIGNED
f80r	f80r.37	1	1	10	sol|olkeeey|otar|orchey|qokeey|ltalor|olor|qokaiin|ol|shey	l|olkeeey|ot|orchey|okeey|ltalor|olor|ok|l|ey	s:O:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:ar:0:0|NONE:NONE:0:NONE:0:0|q:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|NONE:NONE:0:NONE:0:0|q:NONE:0:aiin:0:0|NONE:O:0:NONE:0:0|sh:NONE:0:NONE:0:0	LINE_END	UNASSIGNED
