role_hypothesis	anchor_model	anchor_rank	formal_feature	feature_weight	locus	page	physical_folio	group_index	token	residual_host	stripped_prefix	dy_closure	family_surface	claim_state
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f102r2.2	f102r2	f102	1	lsais	lsais	NONE	0	BCAEC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f115r.28	f115r	f115	6	llsan	llsan	NONE	0	BBCAE	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f115v.39	f115v	f115	9	lror	lror	NONE	0	BCAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f23v.6	f23v	f23	7	olsar	olsar	NONE	0	ABCAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f2r.1	f2r	f2	6	ckholsy	ckholsy	NONE	0	UABCA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f2r.11	f2r	f2	7	olsaiin	olsaiin	NONE	0	ABCAG	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f36r.3	f36r	f36	5	dolsain	olsain	d	0	BABCAF	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f49r.8	f49r	f49	5	qolsor	olsor	q	0	DABCAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f58r.18	f58r	f58	3	cholraly	olraly	ch	0	KABCABA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f76v.30	f76v	f76	11	lsan	lsan	NONE	0	BCAE	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f83r.16	f83r	f83	8	chealror	alror	che	0	KJABCAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f83r.24	f83r	f83	5	olsaly	olsaly	NONE	0	ABCABA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f88r.22	f88r	f88	6	chorcholsal	orcholsal	ch	0	KACKABCAB	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	1	F3:BCA	1.757339245342	f88r.28	f88r	f88	10	alsy	alsy	NONE	0	ABCA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f100v.20	f100v	f100	4	chokeol	okeol	ch	0	KAQJAB	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f103r.24	f103r	f103	1	tchoky	choky	t	0	QKAQA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f103r.30	f103r	f103	8	oteeykshy	oteeykshy	NONE	0	AQKAQLA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f103v.32	f103v	f103	4	chokaiin	okaiin	ch	0	KAQAG	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f104r.17	f104r	f104	8	chyteody	yteo	ch	1	KAQJABA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f104r.18	f104r	f104	1	dcheeokeody	cheeokeo	d	1	BKKAQJABA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f104r.22	f104r	f104	6	chokor	okor	ch	0	KAQAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f104v.34	f104v	f104	5	chokain	okain	ch	0	KAQAF	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f104v.4	f104v	f104	3	chokar	okar	ch	0	KAQAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f104v.8	f104v	f104	7	chotedy	ote	ch	1	KAQJBA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f105r.19	f105r	f105	8	okeeyteedy	okeeytee	NONE	1	AQKAQKBA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f106r.11	f106r	f106	7	chokar	okar	ch	0	KAQAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f106r.28	f106r	f106	8	chokaiin	okaiin	ch	0	KAQAG	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f106r.33	f106r	f106	2	chokaiin	okaiin	ch	0	KAQAG	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f106r.35	f106r	f106	2	choky	oky	ch	0	KAQA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f106v.16	f106v	f106	4	chotal	otal	ch	0	KAQAB	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f106v.28	f106v	f106	5	choty	oty	ch	0	KAQA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f106v.29	f106v	f106	8	chotar	otar	ch	0	KAQAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f107r.5	f107r	f107	8	chokchedy	okche	ch	1	KAQKJBA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f107v.12	f107v	f107	9	choty	oty	ch	0	KAQA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f107v.40	f107v	f107	1	chokeey	okeey	ch	0	KAQKA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f108r.30	f108r	f108	3	chokedy	oke	ch	1	KAQJBA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f108r.41	f108r	f108	3	chokeedy	okee	ch	1	KAQKBA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f108r.8	f108r	f108	6	chokchy	okchy	ch	0	KAQKA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f111r.32	f111r	f111	1	dsheeoteey	sheeoteey	d	0	BLKAQKA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f111r.5	f111r	f111	5	chokchey	okchey	ch	0	KAQKJA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f111v.4	f111v	f111	3	chokedair	okedair	ch	0	KAQJBAF	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f111v.40	f111v	f111	4	chokain	okain	ch	0	KAQAF	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f112r.11	f112r	f112	8	chotyr	otyr	ch	0	KAQAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f112r.29	f112r	f112	4	chokeey	okeey	ch	0	KAQKA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f112r.4	f112r	f112	2	chokain	okain	ch	0	KAQAF	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f112v.46	f112v	f112	5	chokain	okain	ch	0	KAQAF	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f113v.3	f113v	f113	3	chotar	otar	ch	0	KAQAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f113v.38	f113v	f113	5	chokor	okor	ch	0	KAQAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f113v.8	f113v	f113	5	chokam	okam	ch	0	KAQAB	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f113v.9	f113v	f113	4	chokaiin	okaiin	ch	0	KAQAG	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f114v.16	f114v	f114	10	choky	oky	ch	0	KAQA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f115r.42	f115r	f115	10	chotchdy	otch	ch	1	KAQKBA	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
PLANT	SOURCE_FAMILY	2	F3:KAQ	1.650809374290	f115r.43	f115r	f115	7	chotar	otar	ch	0	KAQAC	PROSE_PROPAGATION_HYPOTHESIS_NOT_DECODED_TEXT
