formula_id	level	page	physical_folio	locus	section	register	field_ordinal	group_length	joint_tuple_sequence	host_sequence_ids	page_host_sequence_display	surface_formula_display	wrapper_sequence	semantic_state	translation_state
GDT328_9CBFB2F759E75414	PAGE_HOST_SEQUENCE	f107v	f107	f107v.35	S	STARS_RECIPE_B	3	3	b5fcea1eaed06b2f2291|6f7ff8287eddf4da9fdb|7d25241b0e56c836372a	8dec2e3cbba0a8894d05|df97f0d18162f7989c66|e8f7338aa831b105d0d1	ok|y|okee	qokaiin|chedy|qokeedy	q|che|q	UNASSIGNED	UNASSIGNED
GDT328_9CBFB2F759E75414	PAGE_HOST_SEQUENCE	f82r	f82	f82r.2	B	OTHER_B	3	3	1645e612504fcef59ced|b921a237be883a820352|7d25241b0e56c836372a	8dec2e3cbba0a8894d05|df97f0d18162f7989c66|e8f7338aa831b105d0d1	ok|y|okee	qokain|dy|qokeedy	q|d|q	UNASSIGNED	UNASSIGNED
GDT328_9CBFB2F759E75414	PAGE_HOST_SEQUENCE	f83r	f83	f83r.6	B	OTHER_B	3	3	b5fcea1eaed06b2f2291|6f7ff8287eddf4da9fdb|7d25241b0e56c836372a	8dec2e3cbba0a8894d05|df97f0d18162f7989c66|e8f7338aa831b105d0d1	ok|y|okee	qokaiin|chedy|qokeedy	q|che|q	UNASSIGNED	UNASSIGNED
GDT328_023B4B5C27A56855	EXACT_JOINT_SEQUENCE	f107v	f107	f107v.35	S	STARS_RECIPE_B	3	3	b5fcea1eaed06b2f2291|6f7ff8287eddf4da9fdb|7d25241b0e56c836372a	8dec2e3cbba0a8894d05|df97f0d18162f7989c66|e8f7338aa831b105d0d1	ok|y|okee	qokaiin|chedy|qokeedy	q|che|q	UNASSIGNED	UNASSIGNED
GDT328_023B4B5C27A56855	EXACT_JOINT_SEQUENCE	f83r	f83	f83r.6	B	OTHER_B	3	3	b5fcea1eaed06b2f2291|6f7ff8287eddf4da9fdb|7d25241b0e56c836372a	8dec2e3cbba0a8894d05|df97f0d18162f7989c66|e8f7338aa831b105d0d1	ok|y|okee	qokaiin|chedy|qokeedy	q|che|q	UNASSIGNED	UNASSIGNED
GDT328_8E0A8873430F641D	PAGE_HOST_SEQUENCE	f104v	f104	f104v.10	S	STARS_RECIPE_B	1	2	dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	4e6f20ef2d6daa05d887|2c71c7ca4a5b8aeb1b94	l|e	shol|cheedy	sh|che	UNASSIGNED	UNASSIGNED
GDT328_8E0A8873430F641D	PAGE_HOST_SEQUENCE	f116r	f116	f116r.22	S	STARS_RECIPE_B	1	2	dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	4e6f20ef2d6daa05d887|2c71c7ca4a5b8aeb1b94	l|e	dol|shedy	d|sh	UNASSIGNED	UNASSIGNED
GDT328_8E0A8873430F641D	PAGE_HOST_SEQUENCE	f75r	f75	f75r.18	B	OTHER_B	2	2	dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	4e6f20ef2d6daa05d887|2c71c7ca4a5b8aeb1b94	l|e	qol|shedy	q|sh	UNASSIGNED	UNASSIGNED
GDT328_8E0A8873430F641D	PAGE_HOST_SEQUENCE	f76v	f76	f76v.14	B	OTHER_B	2	2	dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	4e6f20ef2d6daa05d887|2c71c7ca4a5b8aeb1b94	l|e	qol|cheedy	q|che	UNASSIGNED	UNASSIGNED
GDT328_8E0A8873430F641D	PAGE_HOST_SEQUENCE	f76v	f76	f76v.40	B	OTHER_B	1	2	dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	4e6f20ef2d6daa05d887|2c71c7ca4a5b8aeb1b94	l|e	sol|shedy	s|sh	UNASSIGNED	UNASSIGNED
GDT328_8E0A8873430F641D	PAGE_HOST_SEQUENCE	f77r	f77	f77r.11	B	OTHER_B	3	2	dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	4e6f20ef2d6daa05d887|2c71c7ca4a5b8aeb1b94	l|e	chol|shedy	ch|sh	UNASSIGNED	UNASSIGNED
GDT328_8E0A8873430F641D	PAGE_HOST_SEQUENCE	f77r	f77	f77r.44	B	OTHER_B	2	2	dcda95c81a5460feb191|bc4f1f5c006c74a4d26d	4e6f20ef2d6daa05d887|2c71c7ca4a5b8aeb1b94	l|e	qol|cheedy	q|che	UNASSIGNED	UNASSIGNED
