external_axis	section	currier	eligible_loci	predictions	positive_loci	physical_folios	representation	nuisance_bits	held_bits	gain_bits	gain_per_prediction	positive_gain_folios	min_folio_gain	max_folio_gain
STAR_OR_SKY	C	NONE	43	43	27	3	RAW_CHAR3	20.7516039775	21.6023696519	-0.850765674428	-0.0197852482425	0	-0.548099236782	-0.109203553633
STAR_OR_SKY	C	NONE	43	43	27	3	PAGE_HOST_CHAR3	20.7516039775	20.6725208457	0.0790831317845	0.00183914259964	1	-0.472980542946	0.682219210766
STAR_OR_SKY	C	NONE	43	43	27	3	BEHAVIOR_SELF_NEIGHBOR_NOPOS	20.7516039775	20.2949835732	0.456620404262	0.0106190791689	2	-1.72991688055	2.10942929076
FIGURE	B	B	50	50	38	6	RAW_CHAR3	68.9974351008	47.3910939281	21.6063411726	0.432126823453	5	-0.154570639309	7.67362453921
FIGURE	B	B	50	50	38	6	PAGE_HOST_CHAR3	68.9974351008	47.7977887222	21.1996463786	0.423992927572	5	-0.156591357114	7.66211002427
FIGURE	B	B	50	50	38	6	BEHAVIOR_SELF_NEIGHBOR_NOPOS	68.9974351008	56.9573578078	12.0400772929	0.240801545859	5	-0.166784368342	6.42256791319
PLANT	P	A	73	73	68	5	RAW_CHAR3	13.3406366259	11.7154444904	1.6251921355	0.0222629059658	3	-0.942186288381	1.41474407096
PLANT	P	A	73	73	68	5	PAGE_HOST_CHAR3	13.3406366259	17.3428794402	-4.00224281428	-0.0548252440312	2	-1.58365632407	0.13040790273
PLANT	P	A	73	73	68	5	BEHAVIOR_SELF_NEIGHBOR_NOPOS	13.3406366259	10.4443956322	2.89624099372	0.0396745341605	4	-0.555388206349	1.84711160176
WATER_OR_APPARATUS	B	B	50	50	38	6	RAW_CHAR3	121.032802653	94.014950346	27.0178523069	0.540357046138	4	-6.94085783065	16.2787030015
WATER_OR_APPARATUS	B	B	50	50	38	6	PAGE_HOST_CHAR3	121.032802653	85.2273470997	35.8054555532	0.716109111064	4	-1.08196357782	14.5736920221
WATER_OR_APPARATUS	B	B	50	50	38	6	BEHAVIOR_SELF_NEIGHBOR_NOPOS	121.032802653	85.7060202229	35.3267824299	0.706535648599	4	-5.81037551303	19.0914406633
REL_PROXIMITY	A	NONE	55	55	17	2	RAW_CHAR3	75.8026956366	78.4249568895	-2.62226125295	-0.0476774773264	1	-2.91762017791	0.295358924959
REL_PROXIMITY	A	NONE	55	55	17	2	PAGE_HOST_CHAR3	75.8026956366	79.4718572029	-3.66916156629	-0.066712028478	1	-5.2951714896	1.62600992331
REL_PROXIMITY	A	NONE	55	55	17	2	BEHAVIOR_SELF_NEIGHBOR_NOPOS	75.8026956366	64.9621681939	10.8405274427	0.197100498958	2	3.86436584623	6.97616159649
REL_EXPLICIT_ATTACHMENT	B	B	50	50	12	6	RAW_CHAR3	84.0971800771	83.1165020801	0.980677996994	0.0196135599399	3	-5.01231503203	3.87378611314
REL_EXPLICIT_ATTACHMENT	B	B	50	50	12	6	PAGE_HOST_CHAR3	84.0971800771	87.7353765529	-3.63819647574	-0.0727639295149	2	-4.68817004289	3.93107665855
REL_EXPLICIT_ATTACHMENT	B	B	50	50	12	6	BEHAVIOR_SELF_NEIGHBOR_NOPOS	84.0971800771	92.5162851973	-8.41910512016	-0.168382102403	2	-7.8137775363	3.2590970377
REL_EXPLICIT_ATTACHMENT	P	A	73	73	12	5	RAW_CHAR3	39.10138492	42.3471628204	-3.24577790033	-0.0444627109634	1	-3.12471153203	0.531378120192
REL_EXPLICIT_ATTACHMENT	P	A	73	73	12	5	PAGE_HOST_CHAR3	39.10138492	39.4012673678	-0.29988244782	-0.00410797873725	4	-2.04061251098	1.03870270976
REL_EXPLICIT_ATTACHMENT	P	A	73	73	12	5	BEHAVIOR_SELF_NEIGHBOR_NOPOS	39.10138492	41.2679701659	-2.1665852459	-0.0296792499439	3	-3.57330218646	1.95067447362
REL_EXPLICIT_ATTACHMENT	Z	NONE	103	103	5	4	RAW_CHAR3	21.3892193405	21.6765226018	-0.287303261328	-0.00278935205173	2	-2.05002114811	2.60150792365
REL_EXPLICIT_ATTACHMENT	Z	NONE	103	103	5	4	PAGE_HOST_CHAR3	21.3892193405	22.9584766966	-1.56925735609	-0.0152355083116	1	-2.17850041136	2.06974315601
REL_EXPLICIT_ATTACHMENT	Z	NONE	103	103	5	4	BEHAVIOR_SELF_NEIGHBOR_NOPOS	21.3892193405	23.2724657986	-1.88324645813	-0.0182839461955	1	-3.41446496932	3.13150925608
REL_ENCLOSURE	A	NONE	55	55	18	2	RAW_CHAR3	91.0014907566	97.0530190284	-6.05152827178	-0.11002778676	0	-3.18901306522	-2.86251520656
REL_ENCLOSURE	A	NONE	55	55	18	2	PAGE_HOST_CHAR3	91.0014907566	91.5167670609	-0.51527630422	-0.00936866007673	1	-1.76707089457	1.25179459035
REL_ENCLOSURE	A	NONE	55	55	18	2	BEHAVIOR_SELF_NEIGHBOR_NOPOS	91.0014907566	77.1677256534	13.8337651032	0.251523001877	2	6.40895172434	7.42481337888
REL_ENCLOSURE	Z	NONE	103	103	14	4	RAW_CHAR3	92.2537940614	76.4895452559	15.7642488055	0.153050959277	2	-1.18606614105	16.2372585126
REL_ENCLOSURE	Z	NONE	103	103	14	4	PAGE_HOST_CHAR3	92.2537940614	82.8937039915	9.36009006993	0.0908746608731	1	-4.76724404921	15.8989256339
REL_ENCLOSURE	Z	NONE	103	103	14	4	BEHAVIOR_SELF_NEIGHBOR_NOPOS	92.2537940614	63.2654535024	28.988340559	0.281440199602	2	-1.45915624296	21.2216838691
REL_ARRAY_OR_GROUP	B	B	50	50	27	6	RAW_CHAR3	104.436043834	87.5363172323	16.899726602	0.33799453204	4	-0.428445465932	8.16465703115
REL_ARRAY_OR_GROUP	B	B	50	50	27	6	PAGE_HOST_CHAR3	104.436043834	91.2644632117	13.1715806226	0.263431612452	3	-4.68817004289	11.1820430733
REL_ARRAY_OR_GROUP	B	B	50	50	27	6	BEHAVIOR_SELF_NEIGHBOR_NOPOS	104.436043834	94.7235695574	9.71247427687	0.194249485537	3	-7.8137775363	9.10459500335
REL_ARRAY_OR_GROUP	P	A	73	73	6	5	RAW_CHAR3	14.2797865681	13.9441167512	0.335669816882	0.00459821666961	2	-0.539798444051	1.19318089742
REL_ARRAY_OR_GROUP	P	A	73	73	6	5	PAGE_HOST_CHAR3	14.2797865681	17.474648517	-3.19486194888	-0.0437652321764	2	-1.51200123576	0.0669404573453
REL_ARRAY_OR_GROUP	P	A	73	73	6	5	BEHAVIOR_SELF_NEIGHBOR_NOPOS	14.2797865681	12.7816557352	1.4981308329	0.0205223401768	3	-0.0539927978895	1.42607526284
