page	physical_folio	section	currier	hand	label_groups	label_host_types	prose_groups	paragraph_opening_lines	opening_groups	label_group_exact_host_overlap_all	label_type_exact_host_overlap_all	label_group_exact_host_overlap_opening
f100r	f100	P	A	1	11	11	22	1	3	0	0	0
f100v	f100	P	A	1	11	10	31	0	0	0	0	0
f102r1	f102	P	A	1	1	1	68	2	15	0	0	0
f102r2	f102	P	A	1	1	1	29	1	5	0	0	0
f102v1	f102	P	A	1	4	4	29	1	5	1	1	0
f102v2	f102	P	A	1	12	12	17	0	0	1	1	0
f75v	f75	B	B	2	27	24	178	4	18	15	12	2
f77r	f77	B	B	2	9	7	193	2	16	4	3	2
f77v	f77	B	B	2	6	6	197	2	19	3	3	3
f78r	f78	B	B	2	4	4	140	1	6	1	1	0
f80r	f80	B	B	2	6	6	198	2	14	1	1	0
f82r	f82	B	B	2	6	6	119	2	12	2	2	0
f82v	f82	B	B	2	10	10	195	5	42	6	6	3
f83r	f83	B	B	2	3	3	211	5	22	0	0	0
f83v	f83	B	B	2	3	3	163	1	5	1	1	1
f88r	f88	P	A	1	12	12	73	2	13	2	2	1
f88v	f88	P	A	1	10	10	62	3	15	2	2	1
f89r1	f89	P	A	1	13	13	55	2	17	4	4	0
f89r2	f89	P	A	1	13	13	14	1	12	3	3	3
f89v1	f89	P	A	1	5	5	56	1	3	1	1	0
f89v2	f89	P	A	1	7	7	21	0	0	1	1	0
f99r	f99	P	A	1	22	20	104	2	16	6	4	4
f99v	f99	P	A	1	19	19	68	2	17	3	3	2
