prefix	core	tail	page_host	source_groups	physical_folios	registers	register_count	loci	full_tokens	semantic_role
EMPTY	pch	EMPTY	pch	8	8	HERBAL_A;HERBAL_B;OTHER_B;STARS_RECIPE_B	4	f103r.13;f113r.16;f22r.4;f50r.3;f6r.8;f82v.11;f8v.12;f95r1.1	chepchar;chepchdy;pchaiin;pchar;pchdy	UNASSIGNED
EMPTY	pch	e	pche	21	12	HERBAL_B;OTHER_B;STARS_RECIPE_B	3	f103r.21;f103v.30;f104r.43;f111r.1;f111r.36;f111v.29;f112r.15;f26v.7;f40v.19;f66r.79;f75r.13;f75r.28;f75r.7;f79v.10;f81r.26;f81r.8;f81v.1;f82r.27;f82v.15;f85r1.7	chepchedy;pchear;pchedy	UNASSIGNED
EMPTY	pch	ed	pched	11	10	HERBAL_B;OTHER_B;STARS_RECIPE_B	3	f103r.52;f104r.27;f108v.1;f111r.44;f114v.11;f40v.1;f75r.17;f75v.1;f83r.8;f86v3.18;f94v.8	chepched;pchedaiin;pchedain;pchedal;pchedar	UNASSIGNED
EMPTY	pch	ey	pchey	3	3	HERBAL_A;HERBAL_B;OTHER_B	3	f40r.1;f79v.28;f8r.9	pchey	UNASSIGNED
EMPTY	pch	d	pchd	6	5	HERBAL_B;OTHER_B;STARS_RECIPE_B	3	f104r.1;f104r.5;f112v.25;f114v.29;f26v.3;f85r1.23	pchdaiin;pchdair;pchdar	UNASSIGNED
EMPTY	pch	y	pchy	6	5	HERBAL_A;OTHER_B;STARS_RECIPE_B	3	f103r.30;f103v.33;f13r.5;f22r.1;f78v.1;f8v.10	chpchy;dpchy;pchy;shdpchy;spchy	UNASSIGNED
o	pch	EMPTY	opch	19	15	HERBAL_A;HERBAL_B;OTHER_B;STARS_RECIPE_B	4	f104r.22;f104r.36;f104r.5;f105v.20;f106v.18;f107r.13;f108r.14;f108r.35;f108v.17;f10r.1;f112r.35;f113r.34;f114r.19;f43r.10;f76v.10;f85r2.2;f86v3.23;f94v.6;f95r2.5	chopchal;chopchdy;opchal;opchar;opchdy;qopchar;qopchdy	UNASSIGNED
o	pch	e	opche	44	20	HERBAL_B;OTHER_B;STARS_RECIPE_B	3	f103r.24;f103r.30;f103v.17;f103v.30;f104r.1;f105r.6;f105v.13;f106r.22;f106v.5;f107r.38;f107v.20;f108r.29;f111v.2;f111v.34;f112r.27;f113r.34;f113r.37;f113v.7;f114r.19;f114v.14;f114v.6;f115r.29;f115v.18;f50v.1;f66r.50;f75v.1;f76r.39;f76r.6;f76v.25;f78r.3;f78r.34;f78v.20;f79r.13;f79r.26;f79v.10;f81r.20;f82r.11;f86v6.23;f86v6.30	chopchedy;opchear;opchedy;qopchear;qopchedy	UNASSIGNED
o	pch	ed	opched	7	6	STARS_RECIPE_B	1	f105v.1;f105v.3;f106v.5;f108v.20;f111r.36;f114r.4;f115v.21	opched;opchedaiin;opchedal;qopcheddy	UNASSIGNED
o	pch	ey	opchey	22	17	HERBAL_A;HERBAL_B;OTHER_A;OTHER_B;STARS_RECIPE_B	5	f103v.33;f104r.12;f108r.35;f111r.36;f113r.24;f113r.45;f113v.25;f114v.29;f16r.1;f19v.1;f44r.8;f48r.1;f58v.12;f76r.33;f76r.40;f7r.1;f80r.40;f83v.33;f86v5.7;f86v6.30;f86v6.5;f99r.28	chopchey;opchey;qopchey;shopchey	UNASSIGNED
o	pch	d	opchd	2	2	STARS_RECIPE_B	1	f111v.48;f115r.40	opchdain;opchdal	UNASSIGNED
o	pch	y	opchy	15	12	HERBAL_A;OTHER_B;STARS_RECIPE_B	3	f103v.43;f106r.18;f106r.38;f111v.48;f112v.43;f13r.1;f13r.5;f16r.1;f44r.8;f47v.1;f4v.1;f7v.1;f86v3.1;f93v.1	chopchy;opchy;qopchy	UNASSIGNED
y	pch	EMPTY	ypch	3	3	HERBAL_A;HERBAL_B;OTHER_B	3	f2r.1;f48r.1;f85r1.31	ypchaiin;ypchdy	UNASSIGNED
y	pch	e	ypche	6	5	HERBAL_B;STARS_RECIPE_B	2	f105r.35;f105v.20;f106v.5;f114r.4;f41v.2;f48v.1	shypchedy;ypchedy	UNASSIGNED
y	pch	ed	ypched	1	1	STARS_RECIPE_B	1	f105v.1	ypcheddy	UNASSIGNED
y	pch	ey	ypchey	3	2	OTHER_A;OTHER_B	2	f58r.16;f86v3.23	typchey;ypchey	UNASSIGNED
y	pch	d	ypchd	2	2	HERBAL_B;OTHER_B	2	f85r1.31;f94v.9	ypchdair;ypchdar	UNASSIGNED
y	pch	y	ypchy	2	2	HERBAL_A	1	f13r.1;f16v.7	chypchy;dypchy	UNASSIGNED
