counterexample_type	item	evidence	impact
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L3:P3:r>s	gain -3.973827; cosine +0.148663	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L2:P2:l>r	gain -1.592925; cosine +0.075220	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L2:P1:a>o	gain -1.320176; cosine +0.392864	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L2:P2:k>l	gain -0.740783; cosine +0.333221	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L3:P2:k>p	gain -0.728583; cosine +0.225225	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L3:P1:k>p	gain -0.565471; cosine +0.250836	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L3:P3:d>k	gain -0.347745; cosine -0.014555	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L3:P3:e>o	gain -0.311042; cosine +0.190641	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L2:P1:e>o	gain -0.287773; cosine +0.373216	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L3:P2:k>t	gain -0.249874; cosine -0.064151	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L2:P1:e>k	gain -0.235888; cosine +0.463804	Repeated spelling change does not imply a uniform context operator.
LOW_OR_NEGATIVE_HELD_BASE_TRANSFER	L2:P1:a>l	gain -0.202905; cosine +0.118080	Repeated spelling change does not imply a uniform context operator.
REGISTER_OR_HAND_REVERSAL	L3:P1:l>o	base +0.809279; section +0.000000; hand +0.000000	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L3:P3:d>o	base +0.615777; section +0.000000; hand +0.000000	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L3:P1:l>p	base +0.538934; section +0.000000; hand +0.000000	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L3:P3:k>y	base +0.524366; section +0.000000; hand +0.000000	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L3:P3:k>o	base +0.460516; section +0.000000; hand +0.000000	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L2:P1:e>y	base +0.343976; section -0.132252; hand +0.156223	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L3:P1:c>s	base +0.308808; section +0.000000; hand +0.000000	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L2:P2:o>y	base +0.228502; section +0.138826; hand -0.262818	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L3:P3:k>s	base +0.081029; section +0.000000; hand +0.000000	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L3:P2:k>l	base +0.045513; section -0.171641; hand -0.144567	The relation is not manuscript-wide under the strict transfer split.
REGISTER_OR_HAND_REVERSAL	L3:P1:a>o	base +0.019193; section -0.024439; hand -0.045521	The relation is not manuscript-wide under the strict transfer split.
EXACT_IDENTITY_BASELINE	EXACT_PAIR_OTHER_STRATA	held-base exact-pair gain +0.666642	Exact host-pair recurrence remains separate and may explain more than the substitution class.
GENERIC_ENDPOINT_ABSOLUTE_FAILURE	VOYNICH_PAGE_HOST	identical generic local-sequence op gain -0.064470	Voynich ranks above powered historical controls only relatively; the common endpoint does not show positive absolute prediction.
PARSER_COUPLING	HPR2_OUTER_CONTEXT	The strongest a>y and e>y deltas concentrate in frozen B3/DY closure dimensions derived from the same source group as PAGE_HOST.	The lead may be orthotactic/compiler coupling inside HPR2, not an independently established morphological operation.
GDT003_STRING_CEILING	GDT003	Nested paradigm prediction did not beat character/string baselines.	A context-vector relation is not established linguistic morphology.
HISTORICAL_CONTEXT_LIMIT	GDT159	Historical controls lack Voynich HPR2 fields and are compared only on the identical generic local-sequence endpoint.	Cross-corpus ranking calibrates ordinary neighborhood structure, not identical manuscript annotation.
