minimum_cell_occurrences	rank_by_raw_gain	rectangle	total_occurrences	wrapper_factor_gain_vs_pool	gain_per_occurrence	is_target
5	1	ek;ey;lk;ly	280	831.475726456	2.96955616591	0
5	2	ok;ot;yk;yt	1390	489.01907796	0.351812286302	1
5	3	es;et;os;ot	509	294.193766677	0.577983824514	0
5	4	et;ey;lt;ly	218	277.311215075	1.27206979392	0
5	5	ed;et;yd;yt	137	277.068284218	2.02239623517	0
5	6	eo;ey;ko;ky	351	230.183144887	0.655792435575	0
5	7	ee;ey;ke;ky	457	228.022942063	0.498956109547	0
5	8	ed;ek;yd;yk	144	156.006575274	1.08337899496	0
5	9	ek;eo;lk;lo	173	105.494104402	0.609792510993	0
5	10	eo;et;lo;lt	111	101.026890904	0.910152170305	0
5	11	ko;ky;lo;ly	78	80.3337227896	1.02991952294	0
5	12	ek;et;ok;ot	1295	77.3283175391	0.0597129865167	0
5	13	eo;ey;lo;ly	307	32.8738169622	0.107080837011	0
5	14	ek;et;yk;yt	127	20.5559186416	0.161857627099	0
5	15	lr;lt;or;ot	953	-17.4167447828	-0.0182757028151	0
5	16	ek;et;lk;lt	84	-86.451252365	-1.02918157577	0
5	17	lk;lt;yk;yt	179	-99.3453912106	-0.555002185534	0
5	18	ee;eo;ke;ko	302	-173.323470671	-0.573918777058	0
5	19	ek;es;ok;os	930	-393.133874566	-0.422724596307	0
5	20	al;ar;ol;or	1230	-810.641259349	-0.65905793443	0
5	21	lk;lr;ok;or	1424	-1138.90669897	-0.799794030174	0
5	22	lk;lt;ok;ot	1347	-1850.03065147	-1.37344517555	0
10	1	ok;ot;yk;yt	1390	489.01907796	0.351812286302	1
10	2	ee;ey;ke;ky	457	228.022942063	0.498956109547	0
10	3	ed;ek;yd;yk	144	156.006575274	1.08337899496	0
10	4	ek;eo;lk;lo	173	105.494104402	0.609792510993	0
10	5	ek;es;ok;os	930	-393.133874566	-0.422724596307	0
10	6	al;ar;ol;or	1230	-810.641259349	-0.65905793443	0
15	1	ok;ot;yk;yt	1390	489.01907796	0.351812286302	1
15	2	ee;ey;ke;ky	457	228.022942063	0.498956109547	0
15	3	al;ar;ol;or	1230	-810.641259349	-0.65905793443	0
20	1	ok;ot;yk;yt	1390	489.01907796	0.351812286302	1
20	2	ee;ey;ke;ky	457	228.022942063	0.498956109547	0
20	3	al;ar;ol;or	1230	-810.641259349	-0.65905793443	0
