axis	foxton	voynich	fit	consequence
DATE_AND_DOCUMENT_ECOLOGY	1408 technical medical astrological compendium	early fifteenth-century illustrated technical/astrological/medical ecology is the leading source prior	MATCH	strong historical-practice prior, no source identity
WHOLE_DOCUMENT_OPACITY	mostly readable Latin with 135 selectively ciphered words	no readable substrate or plaintext clause recovered	CONTRADICTION	selective Foxton substitution cannot be the whole mechanism
FULL_TEXT_ARTIFICIAL_ALPHABET	not Foxton; contemporary Fontana supplies this comparator	nearly all visible text is opaque	PARTIAL	full scientific cipher is historically plausible but remains undecoded
SIMPLE_SUBSTITUTION	artificial substitution alphabet is decipherable with a key	historical-language injective/homophonic/simple decoder families lose to nonsemantic controls	CONTRADICTION	do not search Foxton glyph values as a Voynich key
OPERATIVE_OR_RUBRIC_WORD_SELECTION	operative headwords and rubrics preferentially concealed	PAGE_HOST remains the leading opaque address/content layer but has zero confirmed glosses	PARTIAL	supports a keyed-address hypothesis, not a word reading
DIAGRAM_KEYED_HEADWORD	diagram/list supplies body-part key for dependent chapter material	diagram labels and prose coexist but ownership and exact semantic transfer mostly fail	PARTIAL	test label inventories as keys for distributed/omitted page content
HEADWORD_OMISSION	dependent prose can omit the keyed noun entirely	exact label-to-prose recurrence is weak and broad label-host semantics fail	PARTIAL	absence of verbatim recurrence is not by itself a falsifier
PARTIAL_WORD_CIPHER	ciphered first syllable plus clear Latin remainder	free/bound reuse and wrapper/host/right decomposition are formal but not linguistic	PARTIAL	historical analogue for layered rendering, not proof of morphemes
ABBREVIATION_INSIDE_CIPHER	ordinary Latin abbreviation operates in cipher strings	abbreviation-only controls explain part but not all of the architecture	PARTIAL	cipher and abbreviation need not be exclusive
LINE_RESET_AND_RECORD_COMPILER	no reported Voynich-like line-reset field compiler	physical line reset, field chaining, wrappers, right families and B3 closure are reproducible	CONTRADICTION	an added record compiler is required
HAND_OR_REGISTER_RESTRICTION	cipher concentrated in the second hand's portion	shared system spans hands/registers with strong distributional shifts	PARTIAL	hand can select rendering regime but not explain the common system
REPEATED_TECHNICAL_KEYS	repeated operative terms such as orificium and manu are re-enciphered	high PAGE_HOST recurrence coexists with unstable neighbors	PARTIAL	recurrent opaque addresses remain compatible with technical keys
RECOVERABLE_LANGUAGE	cipher resolves to Latin words and inflection	no language, phonology, lexicon or plaintext survives held controls	CONTRADICTION	analogy stops before translation
