core	containing_source_groups	fixed_grid_source_groups	occupied_cells	complete_rectangles	fixed_grid_coverage_of_containing_groups	physical_folios	postselection_state	semantic_role	rank
pch	331	181	18	45	0.546827794562	45	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	1
kee	947	637	16	26	0.672650475185	63	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	2
kch	435	246	15	22	0.565517241379	68	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	3
she	367	113	14	17	0.307901907357	39	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	4
ksh	90	47	14	16	0.522222222222	27	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	5
ckh	401	266	13	12	0.663341645885	74	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	6
lke	236	154	12	15	0.652542372881	32	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	7
lch	326	191	12	10	0.585889570552	33	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	8
che	1012	230	11	10	0.227272727273	58	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	9
lsh	145	81	11	10	0.558620689655	27	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	10
fch	67	27	10	2	0.402985074627	21	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	11
cth	444	255	9	6	0.574324324324	75	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	12
tch	93	42	9	3	0.451612903226	29	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	13
cph	81	35	8	6	0.432098765432	26	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	14
kol	140	123	7	3	0.878571428571	57	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	15
yke	116	57	7	1	0.491379310345	35	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	16
yte	69	48	7	0	0.695652173913	25	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	17
keo	185	58	6	3	0.313513513514	32	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	18
kal	51	30	6	1	0.588235294118	22	FIXED_GRID_DESCRIPTIVE_ONLY	UNASSIGNED	19
