locus	page	physical_folio	register	hand	group_count	length_bucket	paragraph_start	opening_token	opening_member	closing_token	closing_member	q2_open	b3_close
f10r.2	f10r	f10	HA	1	10	10PLUS	0	dchey	B1	etyd	B1	0	0
f10r.5	f10r	f10	HA	1	4	4	0	qokchy	D1	cthy	A2	0	0
f10r.6	f10r	f10	HA	1	9	9	1	ycheor	A2	shy	A2	0	0
f10r.8	f10r	f10	HA	1	8	8	0	qotchor	D1	dar	C1	0	0
f10r.9	f10r	f10	HA	1	7	7	0	oykchor	A1	chodaiin	G1	0	0
f10v.1	f10v	f10	HA	1	9	9	1	paiin	P1	sain	F1	0	0
f10v.2	f10v	f10	HA	1	9	9	0	dain	B1	daiin	G1	0	0
f11r.1	f11r	f11	HA	1	8	8	1	tshol	Q2	shoyty	A2	1	0
f11r.4	f11r	f11	HA	1	5	5	0	dchol	B1	daiin	G1	0	0
f11r.7	f11r	f11	HA	1	4	4	0	qotchy	D1	dy	A2	0	0
f11v.1	f11v	f11	HA	1	8	8	1	poldchody	P1	y	A2	0	0
f13r.10	f13r	f13	HA	1	3	3	0	sotchy	C2	okorory	A2	0	0
f13r.4	f13r	f13	HA	1	3	3	0	qodchy	D1	otchor	C1	0	0
f13v.1	f13v	f13	HA	1	7	7	1	koair	Q1	octhos	C2	0	0
f13v.2	f13v	f13	HA	1	6	6	0	oko	A1	choty	A2	0	0
f13v.3	f13v	f13	HA	1	5	5	0	qokchy	D1	cthody	A2	0	0
f13v.5	f13v	f13	HA	1	2	2	0	qoky	D1	daiin	G1	0	0
f14r.13	f14r	f14	HA	1	5	5	0	sodaiin	C2	ykeody	A2	0	0
f14r.3	f14r	f14	HA	1	5	5	0	ydaiin	A2	olol	B2	0	0
f14r.6	f14r	f14	HA	1	5	5	0	ychol	A2	ockhy	A2	0	0
f14r.7	f14r	f14	HA	1	3	3	0	otcho	A1	chckhy	A2	0	0
f14v.1	f14v	f14	HA	1	8	8	1	pdychoiin	P1	ydain	F1	0	0
f14v.5	f14v	f14	HA	1	8	8	0	okshy	A1	oty	A2	0	0
f14v.8	f14v	f14	HA	1	7	7	0	chokshor	K1	dam	B3	0	1
f14v.9	f14v	f14	HA	1	3	3	0	dykchy	B1	dchckhy	A2	0	0
f15r.1	f15r	f15	HA	1	7	7	1	tshor	Q2	daiin	G1	1	0
f15r.10	f15r	f15	HA	1	5	5	0	ychain	A2	dolchds	C2	0	0
f15r.11	f15r	f15	HA	1	6	6	0	okaiin	A1	choross	C2	0	0
f15r.12	f15r	f15	HA	1	6	6	0	qotor	D1	shan	E2	0	0
f15r.13	f15r	f15	HA	1	8	8	0	ykshol	A2	shoty	A2	0	0
f15r.14	f15r	f15	HA	1	8	8	0	otcho	A1	dom	B3	0	1
f15r.2	f15r	f15	HA	1	6	6	0	otchor	A1	koly	A2	0	0
f15r.4	f15r	f15	HA	1	6	6	0	scheaiin	C2	sal	B2	0	0
f15r.5	f15r	f15	HA	1	7	7	0	qotchy	D1	dy	A2	0	0
f15r.7	f15r	f15	HA	1	5	5	0	daiin	B1	keocthy	A2	0	0
f15v.10	f15v	f15	HA	1	5	5	0	sor	C2	qokaiin	G1	0	0
f15v.12	f15v	f15	HA	1	4	4	0	daiin	B1	chor	C1	0	0
f15v.3	f15v	f15	HA	1	5	5	0	cthor	U2	okaiin	G1	0	0
f15v.4	f15v	f15	HA	1	5	5	0	doiin	B1	qotchod	B1	0	0
f15v.6	f15v	f15	HA	1	6	6	0	qotchey	D1	aiin	G1	0	0
f15v.8	f15v	f15	HA	1	7	7	0	ytchor	A2	daiin	G1	0	0
f16r.1	f16r	f16	HA	1	10	10PLUS	1	pocheody	P1	orom	B3	0	1
f16r.4	f16r	f16	HA	1	2	2	0	dainod	B1	ychealod	B1	0	0
f16r.8	f16r	f16	HA	1	6	6	0	shotchy	L1	daiin	G1	0	0
f16r.9	f16r	f16	HA	1	2	2	0	saiin	C2	ytaiin	G1	0	0
f16v.11	f16v	f16	HA	1	3	3	0	okytaiin	A1	saiin	G1	0	0
f16v.12	f16v	f16	HA	1	4	4	0	daiin	B1	chody	A2	0	0
f16v.13	f16v	f16	HA	1	2	2	0	sokar	C2	oaorar	C1	0	0
f16v.2	f16v	f16	HA	1	6	6	0	ytchor	A2	shory	A2	0	0
f16v.4	f16v	f16	HA	1	5	5	0	dchol	B1	dal	B2	0	0
f16v.5	f16v	f16	HA	1	6	6	0	ytchy	A2	dan	E2	0	0
f16v.7	f16v	f16	HA	1	5	5	1	pchocthy	P1	sy	A2	0	0
f16v.9	f16v	f16	HA	1	8	8	0	dshy	B1	chody	A2	0	0
f17r.11	f17r	f17	HA	1	5	5	0	otchol	A1	daiiin	H1	0	0
f17r.5	f17r	f17	HA	1	9	9	0	ychekchy	A2	qody	A2	0	0
f17r.8	f17r	f17	HA	1	4	4	0	dchchy	B1	ykchy	A2	0	0
f17v.11	f17v	f17	HA	1	4	4	0	qokcheo	D1	chol	B2	0	0
f17v.21	f17v	f17	HA	1	7	7	0	oal	A1	daiin	G1	0	0
f17v.22	f17v	f17	HA	1	7	7	0	qokeee	D1	cthy	A2	0	0
f17v.5	f17v	f17	HA	1	6	6	0	ychol	A2	ckhy	A2	0	0
f17v.7	f17v	f17	HA	1	7	7	0	sor	C2	aiin	G1	0	0
f17v.8	f17v	f17	HA	1	6	6	0	qokeey	D1	sy	A2	0	0
f17v.9	f17v	f17	HA	1	5	5	0	ycheol	A2	ol	B2	0	0
f18r.10	f18r	f18	HA	1	5	5	0	dar	B1	ydaiin	G1	0	0
f18r.12	f18r	f18	HA	1	5	5	0	ychair	A2	cthy	A2	0	0
f18r.5	f18r	f18	HA	1	6	6	1	tchor	Q2	chom	B3	1	1
f18r.6	f18r	f18	HA	1	8	8	0	ychy	A2	dal	B2	0	0
f18r.7	f18r	f18	HA	1	6	6	0	oshor	A1	doldaiin	G1	0	0
f18r.9	f18r	f18	HA	1	4	4	0	chol	K1	chykald	B1	0	0
f18v.4	f18v	f18	HA	1	6	6	0	qotchy	D1	dar	C1	0	0
f18v.6	f18v	f18	HA	1	8	8	0	qotor	D1	ykar	C1	0	0
f18v.7	f18v	f18	HA	1	8	8	0	ychol	A2	dy	A2	0	0
f18v.8	f18v	f18	HA	1	7	7	0	tolol	Q2	ykam	B3	1	1
f18v.9	f18v	f18	HA	1	6	6	0	okchor	A1	dy	A2	0	0
f19r.1	f19r	f19	HA	1	9	9	1	pchor	P1	dchydy	A2	0	0
f19r.10	f19r	f19	HA	1	5	5	0	daiin	B1	chordy	A2	0	0
f19r.11	f19r	f19	HA	1	4	4	0	qotchy	D1	cthyd	B1	0	0
f19r.12	f19r	f19	HA	1	4	4	0	ykchor	A2	daiinol	B2	0	0
f19r.3	f19r	f19	HA	1	6	6	0	oscheor	A1	yky	A2	0	0
f19r.4	f19r	f19	HA	1	5	5	0	qokorar	D1	kchor	C1	0	0
f19r.8	f19r	f19	HA	1	7	7	0	or	A1	shy	A2	0	0
f19v.13	f19v	f19	HA	1	7	7	0	yees	A2	ytaiin	G1	0	0
f19v.2	f19v	f19	HA	1	6	6	0	qokchy	D1	darom	B3	0	1
f19v.4	f19v	f19	HA	1	5	5	0	ytch	A2	daiin	G1	0	0
f19v.6	f19v	f19	HA	1	5	5	0	ychoy	A2	s	C2	0	0
f19v.8	f19v	f19	HA	1	6	6	1	toy	Q2	dom	B3	1	1
f2r.1	f2r	f2	HA	1	6	6	1	kydainy	Q1	ckholsy	A2	0	0
f2r.11	f2r	f2	HA	1	9	9	0	ychain	A2	ckhor	C1	0	0
f2r.12	f2r	f2	HA	1	11	10PLUS	0	okol	A1	sal	B2	0	0
f2r.13	f2r	f2	HA	1	5	5	0	sho	L1	chcthy	A2	0	0
f2r.3	f2r	f2	HA	1	7	7	0	qotaiin	D1	chaiin	G1	0	0
f2r.5	f2r	f2	HA	1	7	7	0	otochor	A1	dan	E2	0	0
f2r.7	f2r	f2	HA	1	5	5	0	shor	L1	dan	E2	0	0
f2r.8	f2r	f2	HA	1	9	9	1	kydain	Q1	daiildy	A2	0	0
f2v.3	f2v	f2	HA	1	8	8	0	otchy	A1	daiin	G1	0	0
f2v.4	f2v	f2	HA	1	4	4	0	sho	L1	chodaiin	G1	0	0
f2v.7	f2v	f2	HA	1	7	7	0	daiin	B1	cheaiin	G1	0	0
f2v.8	f2v	f2	HA	1	5	5	0	chokoishe	K1	dolody	A2	0	0
f20r.10	f20r	f20	HA	1	8	8	0	ochoaiin	A1	toy	A2	0	0
f20r.12	f20r	f20	HA	1	8	8	0	shoiin	L1	dar	C1	0	0
f20r.3	f20r	f20	HA	1	8	8	0	qoteey	D1	daral	B2	0	0
f20r.6	f20r	f20	HA	1	8	8	0	choees	K1	daiin	G1	0	0
f20r.8	f20r	f20	HA	1	4	4	0	schodain	C2	cheody	A2	0	0
f20r.9	f20r	f20	HA	1	6	6	1	fchodees	P2	chokoldy	A2	0	0
f20v.10	f20v	f20	HA	1	7	7	0	shokaiin	L1	ety	A2	0	0
f20v.4	f20v	f20	HA	1	5	5	0	sho	L1	daiin	G1	0	0
f20v.7	f20v	f20	HA	1	8	8	0	shocthy	L1	soaiin	G1	0	0
f21r.11	f21r	f21	HA	1	9	9	0	shol	L1	shody	A2	0	0
f21r.2	f21r	f21	HA	1	9	9	0	saiin	C2	daiin	G1	0	0
f21r.5	f21r	f21	HA	1	8	8	0	ykeey	A2	okeoaiin	G1	0	0
f21v.2	f21v	f21	HA	1	8	8	0	oeeesoy	A1	daiin	G1	0	0
f21v.3	f21v	f21	HA	1	9	9	0	qotol	D1	dal	B2	0	0
f21v.4	f21v	f21	HA	1	8	8	0	sho	L1	chtol	B2	0	0
f21v.6	f21v	f21	HA	1	6	6	0	sho	L1	daiin	G1	0	0
f21v.8	f21v	f21	HA	1	3	3	0	cho	K1	kchochaiin	G1	0	0
f22r.10	f22r	f22	HA	1	10	10PLUS	1	kchol	Q1	oldam	B3	0	1
f22r.12	f22r	f22	HA	1	7	7	0	odchaiin	A1	ydaiin	G1	0	0
f22r.4	f22r	f22	HA	1	9	9	1	pchaiin	P1	daiin	G1	0	0
f22v.1	f22v	f22	HA	1	8	8	1	pysaiinor	P1	qod	B1	0	0
f22v.10	f22v	f22	HA	1	5	5	0	qokchy	D1	ytal	B2	0	0
f22v.11	f22v	f22	HA	1	3	3	0	sokaiin	C2	dy	A2	0	0
f22v.12	f22v	f22	HA	1	3	3	0	ychky	A2	cthy	A2	0	0
f22v.13	f22v	f22	HA	1	3	3	0	okchain	A1	shotoly	A2	0	0
f22v.15	f22v	f22	HA	1	5	5	0	sho	L1	dory	A2	0	0
f22v.16	f22v	f22	HA	1	2	2	0	saiinchy	C2	daldalol	B2	0	0
f22v.3	f22v	f22	HA	1	7	7	0	qoky	D1	otam	B3	0	1
f22v.4	f22v	f22	HA	1	6	6	0	otchaiin	A1	ytaiin	G1	0	0
f22v.7	f22v	f22	HA	1	4	4	0	ychor	A2	chory	A2	0	0
f22v.8	f22v	f22	HA	1	5	5	0	qotchy	D1	dam	B3	0	1
f23r.7	f23r	f23	HA	1	11	10PLUS	0	okar	A1	alg	B4	0	0
f23v.5	f23v	f23	HA	1	5	5	0	dor	B1	oaldary	A2	0	0
f23v.6	f23v	f23	HA	1	7	7	1	tshol	Q2	olsar	C1	1	0
f23v.7	f23v	f23	HA	1	9	9	0	otor	A1	ylg	B4	0	0
f23v.8	f23v	f23	HA	1	9	9	0	qokaiin	D1	dam	B3	0	1
f23v.9	f23v	f23	HA	1	10	10PLUS	0	otshy	A1	g	B4	0	0
f24r.14	f24r	f24	HA	1	5	5	0	qor	D1	cthal	B2	0	0
f24r.15	f24r	f24	HA	1	5	5	0	ockhoees	A1	s	C2	0	0
f24r.16	f24r	f24	HA	1	5	5	0	sham	L1	dal	B2	0	0
f24r.4	f24r	f24	HA	1	6	6	0	or	A1	da	A3	0	0
f24r.7	f24r	f24	HA	1	6	6	0	qekar	D1	qodol	B2	0	0
f24r.8	f24r	f24	HA	1	6	6	0	ychor	A2	qokeol	B2	0	0
f24v.13	f24v	f24	HA	1	7	7	0	oeeey	A1	otolodal	B2	0	0
