locus	page	physical_folio	section	kind	object_class	object_tags	raw_family	transferred_prefix	strict_residual	certainty	relation_scope	claim_state
f100r.1	f100r	f100	P	L	PLANT	PLANT;LABEL	KACACALAB	NONE	KACACALAB	HEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.10	f100r	f100	P	L	PLANT	PLANT;LABEL	BAQAU	NONE	BAQAU	HEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.11	f100r	f100	P	L	PLANT	PLANT;LABEL	CAPAB	NONE	CAPAB	HEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.16	f100r	f100	P	L	PLANT	PLANT;LABEL	AQKAC	NONE	AQKAC	HEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.17	f100r	f100	P	L	PLANT	PLANT;LABEL	LAUJA	NONE	LAUJA	HEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.18	f100r	f100	P	L	PLANT	PLANT;LABEL	ACAB	ACAB	EMPTY	UNHEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.19	f100r	f100	P	L	PLANT	PLANT;LABEL	ABKJAB	NONE	ABKJAB	UNHEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.2	f100r	f100	P	L	PLANT	PLANT;LABEL	CAKACTA	NONE	CAKACTA	HEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.20	f100r	f100	P	L	PLANT	PLANT;LABEL	AQJAB	NONE	AQJAB	UNHEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.21	f100r	f100	P	L	PLANT	PLANT;LABEL	AQABC	AQAB	C	UNHEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.3	f100r	f100	P	L	PLANT	PLANT;LABEL	AQJAC	NONE	AQJAC	HEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
f100r.4	f100r	f100	P	L	PLANT	PLANT;LABEL	KAPACA	NONE	KAPACA	HEDGED	EXACT_LOCAL_COMMENT	COARSE_VISIBLE_OBJECT_ENDPOINT_NO_GLOSS
