hypothesis	status	counterexample	effect_on_leading_theory
AROL_EQUALS_WATER_OR_FLOW	FAILED	AROL at f99v.8 and SAROL at f102v2.14 are plant-associated labels; AROL is cross-object.	Retain generic association/reference bundle.
DAR_EQUALS_WATER	FAILED	DAR is widespread across prose and non-water contexts; f82r.38 is transcription-unstable.	Retain abstract mode/configuration ambiguity.
D_EQUALS_SOURCE_S_EQUALS_DESTINATION	FAILED	Only one suggestive f83r pair; no replicated ownership-safe polarity.	Use active/state mnemonics only.
DAL_EQUALS_UPPER_OR_INSIDE	WEAK	Page-conditioned visual p=.151 upper/lower and .301 inside/outside.	Configuration A only; no direction.
OL_EQUALS_APPARATUS	WEAK	Apparatus/flow enrichment is page-confounded and OL occurs widely with figures and plants.	Referent/item field is broader.
DY_IS_CONFIRMED_MORPHEME	FAILED_AS_CLAIM	Right-edge reuse is strong, but nested q+right-state prediction loses to string baselines.	Use closure as a theory component, not confirmed morphology.
Q_IS_CONFIRMED_GRAMMATICAL_PREFIX	FAILED_AS_CLAIM	q is formally productive yet adds no held advantage over KT/string statistics.	Current-scope is provisional.
F75V_DALDY_NAMES_SPOUTS	FAILED	Human annotations associate the two-line labels primarily with figures, not spout numbering.	Treat repeated DALDY as a stock field/state.
SIMPLE_NATURAL_LANGUAGE_PLAINTEXT	FAILED	Language mappings are unstable and lose to the metadata-aware source generator.	Hybrid register requires a renderer.
PURE_SEMANTIC_CODEBOOK	WEAK_RIVAL	Free/bound reuse, split/join, and cross-Currier directional adjacency look language-like.	Hybrid rather than pure code.
