page_host	origin_relation	visual_feature	host_pages	feature_positive_pages	host_feature_positive_pages	within_stratum_effect	standardized_effect_z	local_enrichment_p	max_48_p	endpoint_excluded_host_pages	endpoint_excluded_host_feature_positive_pages	endpoint_excluded_effect	endpoint_excluded_local_p	label	semantic_role
kor	MHI007	BULB_OR_TUBER_ROOT	8	14	3	2.16666666667	2.61494288996	0.03448	0.43305	6	2	1.4512195122	0.08962	PROVISIONAL_POSTSELECTED	UNASSIGNED
olo	MHI006	BULB_OR_TUBER_ROOT	7	14	2	1.40476190476	1.99247737718	0.1043	0.62423	5	2	1.63414634146	0.03728	NO_SIGNAL	UNASSIGNED
olo	MHI006	GRASS	7	8	2	1.16666666667	1.70290162509	0.16527	0.69515	5	2	1.16666666667	0.16368	NO_SIGNAL	UNASSIGNED
kor	MHI007	LARGE_OR_EXTENSIVE_ROOT	8	7	2	1.16666666667	1.58540885784	0.16667	0.81392	6	1	0.317073170732	0.587	NO_SIGNAL	UNASSIGNED
olo	MHI006	MULTIPLE_STEMS_OR_STALKS	7	13	1	0.630952380952	1.16320386119	0.33697	0.99238	5	1	0.676829268293	0.30202	NO_SIGNAL	UNASSIGNED
oko	MHI007	LARGE_OR_EXTENSIVE_ROOT	9	7	1	0.619047619048	1.07082975497	0.33569	0.99428	7	0	-0.219512195122	1	NO_SIGNAL	UNASSIGNED
oko	MHI007	MULTIPLE_STEMS_OR_STALKS	9	13	1	0.609523809524	1.05423322705	0.34712	0.99617	7	1	0.653658536585	0.31492	NO_SIGNAL	UNASSIGNED
kor	MHI007	GRASS	8	8	1	0.5	0.998598095375	0.5007	1	6	1	0.5	0.49864	NO_SIGNAL	UNASSIGNED
olo	MHI006	MULTIPLE_PLANTS	7	8	1	0.571428571429	0.964918932568	0.37736	1	5	1	0.640243902439	0.33058	NO_SIGNAL	UNASSIGNED
olo	MHI006	FUSED_PARALLEL_LEAVES	7	13	2	0.416666666667	0.842966171516	0.58467	1	5	2	0.416666666667	0.58446	NO_SIGNAL	UNASSIGNED
pch	MHI005	BLUE_FLOWERS_OR_BUDS	5	37	3	0.578571428571	0.639050172564	0.44442	1	3	2	0.44578313253	0.48164	NO_SIGNAL	UNASSIGNED
oko	MHI007	BLUE_FLOWERS_OR_BUDS	9	37	3	0.209523809524	0.160036392595	0.57457	1	7	3	0.717073170732	0.41192	NO_SIGNAL	UNASSIGNED
olo	MHI006	LARGE_OR_EXTENSIVE_ROOT	7	7	1	0.0952380952381	0.118466187536	0.67709	1	5	1	0.186991869919	0.64264	NO_SIGNAL	UNASSIGNED
oko	MHI007	BULB_OR_TUBER_ROOT	9	14	1	0.047619047619	0.0562035675769	0.65441	1	7	0	-0.658536585366	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	BROAD_CALYX	8	10	0	0	0	1	1	6	0	0	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	FINGERED_OR_FRILLED_LEAVES	8	4	0	0	0	1	1	6	0	0	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	FUSED_PARALLEL_LEAVES	8	13	1	0	0	1	1	6	1	0	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	LEAVES_ONE_SIDE	8	5	0	0	0	1	1	6	0	0	1	NO_SIGNAL	UNASSIGNED
kor	MHI007	ROOT_PLATFORM	8	5	0	0	0	1	1	6	0	0	1	NO_SIGNAL	UNASSIGNED
