channel	visual_state	page	physical_folio	locus	visual_group	ordinal	pair_id	provenance	annotation_source	prior_exposure	family_expression	family_prefix_AQA	family_contains_ACA	formal_coverage	strict_zero_alternative	kind	family_edition_stable	ZL3b_family_expression	IT2a_family_expression	RF1b_family_expression
ACA_APPARATUS_TRANSFER	APPARATUS_POSITION	f102v1	f102	f102v1.17	L2	f102v1.L2.2		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	BACABABA	0	1	1	1	L	1	BACABABA	BACABABA	BACABABA
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f57v	f57	f57v.6	N1	f57v.N1.4		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQABACAB	1	1	1	0	L	1	AQABACAB	AQABACAB	AQABACAB
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f57v	f57	f57v.7	N1	f57v.N1.2		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	APACAFBBA	0	1	1	1	L	1	APACAFBBA	APACAFBBA	APACAFBBA
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f57v	f57	f57v.8	N1	f57v.N1.1		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	ABQKBAB	0	0	1	1	L	1	ABQKBAB	ABQKBAB	ABQKBAB
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f57v	f57	f57v.9	N1	f57v.N1.3		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQACBABA	1	0	1	1	L	1	AQACBABA	AQACBABA	AQACBABA
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f70v1	f70	f70v1.16	S1	f70v1.S1.4		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQJAKA|AQAB|AQJABAC	0	0	1	1	L	0	AQJAKA|AQAB|AQJABAC	AQJAKA|AQAB|AQJAB|AC	AQJAKA|AQAB|AQJABAC
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f70v2	f70	f70v2.2	S2	f70v2.S2.17		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQABABB	1	0	1	1	L	1	AQABABB	AQABABB	AQABABB
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f72r2	f72	f72r2.7	S1	f72r2.S1.1		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQACABBA	1	1	1	1	L	1	AQACABBA	AQACABBA	AQACABBA
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f72r2	f72	f72r2.23	S2	f72r2.S2.1		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQAB	1	0	1	1	L	1	AQAB	AQAB	AQAB
ACA_APPARATUS_TRANSFER	FIGURE_POSITION	f77r	f77	f77r.1	N1	f77r.N1.1		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	BACKBAC	0	0	1	1	L	1	BACKBAC	BACKBAC	BACKBAC
ACA_APPARATUS_TRANSFER	APPARATUS_POSITION	f77r	f77	f77r.2	V1	f77r.V1.1		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	ABQKC	0	0	1	1	L	1	ABQKC	ABQKC	ABQKC
ACA_APPARATUS_TRANSFER	APPARATUS_POSITION	f77r	f77	f77r.3	V1	f77r.V1.2		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQJBA	0	0	1	1	L	1	AQJBA	AQJBA	AQJBA
ACA_APPARATUS_TRANSFER	APPARATUS_POSITION	f77r	f77	f77r.4	V1	f77r.V1.3		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQACQ	1	0	1	1	L	1	AQACQ	AQACQ	AQACQ
ACA_APPARATUS_TRANSFER	APPARATUS_POSITION	f77r	f77	f77r.5	V1	f77r.V1.4		EXISTING_HUMAN_ANNOTATION	existing_human_exact_locus_annotations.tsv	EXISTING_EXACT_ANNOTATION;MULTIPLE_PRIOR_ROUTES	AQAB	1	0	1	1	L	1	AQAB	AQAB	AQAB
