host	register	pair_type	left_unit	right_unit	context_similarity	matched_control_similarity	gain_vs_control	control_units
a	HERBAL_A	DIFF_WRAPPER	f24r|a|NONE	f42r|a|ch	0.174418604651	0.155090263195	0.0193283414559	147
a	HERBAL_A	DIFF_WRAPPER	f14v|a|d	f42r|a|che	0.102564102564	0.105038261753	-0.00247415918929	167
a	HERBAL_A	DIFF_WRAPPER	f24r|a|NONE	f3r|a|d	0.163461538462	0.155776137643	0.0076854008181	36
a	HERBAL_A	DIFF_WRAPPER	f24r|a|sh	f47r|a|d	0.132352941176	0.139556184898	-0.00720324372113	256
a	HERBAL_A	DIFF_WRAPPER	f22v|a|NONE	f47r|a|d	0.179487179487	0.164965563805	0.0145216156824	251
a	HERBAL_A	DIFF_WRAPPER	f24r|a|NONE	f3r|a|ch	0.163461538462	0.155776137643	0.0076854008181	36
a	HERBAL_A	DIFF_WRAPPER	f14v|a|d	f52r|a|q	0.0652173913043	0.0593331326821	0.00588425862228	47
a	HERBAL_A	DIFF_WRAPPER	f22v|a|d	f42r|a|che	0.221052631579	0.192170570592	0.0288820609868	154
a	HERBAL_A	DIFF_WRAPPER	f45v|a|s	f47r|a|d	0.160714285714	0.124680157567	0.0360341281478	308
a	HERBAL_A	DIFF_WRAPPER	f22v|a|d	f3r|a|ch	0.142857142857	0.162182432148	-0.0193252892913	47
a	HERBAL_A	DIFF_WRAPPER	f42r|a|d	f45v|a|s	0.155844155844	0.161956453299	-0.00611229745489	300
a	HERBAL_A	DIFF_WRAPPER	f22v|a|NONE	f93r|a|d	0.118421052632	0.114831725797	0.00358932683483	12
a	HERBAL_A	DIFF_WRAPPER	f24r|a|sh	f3r|a|ch	0.163461538462	0.151092236873	0.0123693015887	38
a	HERBAL_A	DIFF_WRAPPER	f23v|a|d	f42r|a|ch	0.168539325843	0.159920798924	0.0086185269184	167
a	HERBAL_A	DIFF_WRAPPER	f22v|a|NONE	f3r|a|ch	0.142857142857	0.162006222615	-0.0191490797579	36
a	HERBAL_A	DIFF_WRAPPER	f23v|a|d	f52r|a|q	0.0983606557377	0.0801452815518	0.0182153741859	42
a	HERBAL_A	DIFF_WRAPPER	f1v|a|d	f42r|a|che	0.13698630137	0.111450968383	0.0255353329865	167
