rank	candidate	external_axis	positive_example_loci	counterexample_loci	positive_hosts	counterexample_hosts	label
1	RATE:NDY=0>=0.25	REL_PROXIMITY	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100r.3	f67r1.13;f67r1.16;f67r1.17;f67r1.18;f67r1.8;f67r2.14	a;aiiny;ain;al;ala;alk;alo;aly;an;ar;aro;arol;ch;cheo;chy;cpheor;d;e;ed;ee;eey;eo;eol;kee;kol;l;lchd;lol;o;ockhey;ocphy;octhy;odchy;ok;oka;okaly;okary;okch;okchol;okeeor;okeeos;okeey;okeo;okeod;okeoly;okeos;oko;okol;okoly;okshy;oky;ol;olch;olche;olcheo;old;olkchy;olkee;olky;olol;ols;oly;op;opchol;opchor;opchy;opol;opor;or;orol;oror;ory;os;ot;otaly;oto;otoly;r;s;t;y;ykch;ykchy;yke;ykeey;ykeod;yky;yor;ypchol;ys;ytcho;ytchol;yte;yteo;yto;ytod	a;aiin;aiir;air;al;ar;ary;ched;cheod;cheol;cho;chol;chy;ckhhy;cthhy;d;e;ee;eees;eeo;eeol;ees;eey;ek;eo;eol;es;k;l;o;ockhy;octhey;octho;octhy;odaiiin;oiin;ok;oka;okal;okaly;okary;okchor;oke;okeeo;okeeol;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;oky;olk;olol;olor;olsh;op;opchey;or;orol;ory;os;ot;otaly;otchd;oteod;oteoly;oteos;otey;oto;s;shol;y;ycheo;ykee;ykeeo;ykeey;ykeo;ykey;ykol;yp;ytee;yteo;yteol;yto;ytor;yty	LIKELY_PAGE_CONFOUND
2	RATE:NF=NONE>=0.25	REL_PROXIMITY	f100r.16;f100r.17;f100r.18;f100r.19;f100r.20;f100r.3	f67r1.13;f67r1.16;f67r1.17;f67r1.18;f67r1.8;f67r2.14	a;ain;al;ala;alk;alo;aly;an;ar;aro;arol;ch;cheo;chy;cpheor;d;e;ed;ee;eey;eo;eol;kee;kol;l;lchd;lchy;lol;o;ockhey;ocphy;octhy;odchy;ok;okaly;okary;okch;okchol;okeeor;okeeos;okeey;okeo;okeod;okeoly;okeos;oko;okol;okoly;okshy;oky;ol;olch;olche;olcheo;old;olkchy;olkee;olky;olol;ols;oly;op;opchol;opchor;opchy;opol;opor;or;orol;oror;ory;os;ot;otaly;oto;otoly;r;s;t;y;ykch;ykchy;yke;ykeey;ykeod;yky;yor;ypchol;ys;ytcho;ytchol;yte;yteo;yto;ytod	a;aiin;aiir;air;al;ar;ary;ched;cheod;cheol;cho;chol;chy;ckhhy;cthhy;d;e;ee;eees;eeo;eeol;ees;eey;ek;eo;eol;es;k;l;o;ockhy;octhey;octho;octhy;odaiiin;oiin;ok;okal;okaly;okary;okchor;oke;okeeo;okeeol;okeey;okeo;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;oky;olk;olol;olor;olsh;op;opchey;or;orol;ory;os;ot;otaly;otchd;oteod;oteoly;oteos;otey;oto;s;shol;y;ycheo;ykee;ykeeo;ykeey;ykeo;ykey;ykol;yp;ytee;yteo;yteol;yto;ytor;yty	LIKELY_PAGE_CONFOUND
3	RATE:R=aiin>=0.25	REL_ENCLOSURE	f67r1.8;f68r2.11;f68r2.24;f68r2.28;f68r2.9;f70r1.18	f67r2.22;f67r2.55;f69r.45;f71v.7;f72r1.9;f72r2.23	cheod;d;ek;ok;op;ot	alk;d;k;ok;old;olk;op;ot;r;ys;ytod	INTERESTING_EXPLORATORY
4	RATE:W=NONE>=0.75	REL_PROXIMITY	f100r.19;f100v.11;f100v.12;f100v.7;f102v1.16;f102v2.14	f67r1.16;f69v.10;f69v.17;f69v.22;f69v.7;f70v1.5	alk;arol;cpheor;kee;kol;lchy;ly;okary;olcheo;olda;olol;opchol;ora;r;s;ykch;yke;ykeod;yor;ypchol;ytcho;ytchol;yte;yto;ytod	okal;okary;olsh;oteod;oteos;s;ykee;ykeeo;ykeey;ykeo;ykey;ykol;yp;ytee;yteo;yteol;yto	INTERESTING_EXPLORATORY
5	RATE:DY=1>=0.10	REL_ENCLOSURE	f67r1.16;f70r1.14;f70r1.15;f70r1.16;f73r.7	f100r.19;f100r.3;f100v.12;f100v.7;f100v.8;f102v1.3	okeo;oto;yke;ykeeo	a;aiin;al;ala;alo;ar;aro;ch;cheo;cho;e;ee;eeo;eo;kee;kol;o;octho;okch;oke;okeeo;okeo;okeod;oko;oky;ol;olch;olche;olcheo;olkee;olsh;ot;oto;shol;t;y;ykch;yke;ykee;ykeeo;ykeo;ykol;ytcho;yte;ytee;yteo;yto	INTERESTING_EXPLORATORY
6	RATE:DY=1>=0.25	REL_ENCLOSURE	f67r1.16;f70r1.14;f70r1.15;f70r1.16;f73r.7	f100r.19;f100r.3;f100v.12;f100v.7;f100v.8;f102v1.3	okeo;oto;yke;ykeeo	a;aiin;al;alo;aro;ch;cheo;cho;e;ee;eeo;eo;kee;o;octho;okch;oke;okeeo;okeo;okeod;oko;ol;olch;olche;olcheo;olkee;olsh;oto;t;y;ykch;yke;ykee;ykeeo;ykeo;ytcho;yte;ytee;yteo;yto	INTERESTING_EXPLORATORY
7	RATE:DY=0>=0.75	REL_ENCLOSURE	f67r1.13;f67r1.17;f67r1.18;f67r1.8;f67r2.48;f68r1.5	f100r.16;f100r.17;f100r.18;f100r.20;f100v.1;f100v.11	ain;al;ar;ary;cheod;cheol;chol;d;eey;ek;l;ok;okal;okaly;okchor;okeey;okeol;okeos;op;opol;orol;ot;otaly;otey;y;yky	a;aiin;aiiny;aiir;ain;air;al;ala;alk;aly;an;ar;arol;ary;ched;chol;chy;ckhhy;cpheor;cthhy;d;ed;eees;eeol;ees;eey;eol;es;k;kol;l;lchd;lchy;lol;ly;o;ockhey;ockhy;ocphy;octhey;octhy;odaiiin;odchy;oiin;ok;oka;okal;okaly;okary;okchol;okeeol;okeeor;okeeos;okeey;okeod;okeol;okeoly;okeos;okey;okl;oko;okol;okoly;okshor;okshy;oky;ol;old;olda;olk;olkchy;olky;olol;olor;ols;oly;op;opchey;opchol;opchor;opchy;opor;or;ora;orol;oror;ory;os;ot;otaly;otchd;oteod;oteoly;oteos;otey;otoly;r;s;shol;y;ycheo;ykchy;ykeey;	INTERESTING_EXPLORATORY
8	RATE:DY=1>=0.10	REL_PROXIMITY	f100r.19;f100r.3;f100v.12;f100v.7;f100v.8;f102v1.3	f67r1.16;f67r2.29;f69v.10;f69v.11;f69v.12;f69v.22	a;al;ala;alo;ar;aro;ch;cheo;e;ee;eo;kee;kol;o;okch;okeo;okeod;oko;ol;olch;olche;olcheo;olkee;ot;oto;t;ykch;yke;ytcho;yte;yteo;yto	aiin;cho;e;ee;eeo;eo;o;octho;oke;okeeo;okeo;oko;oky;olsh;oto;shol;y;ykee;ykeeo;ykeo;ykol;ytee;yteo;yto	INTERESTING_EXPLORATORY
9	RATE:W=sh>=0.25	REL_EXPLICIT_ATTACHMENT	f69r.46;f73v.2;f77v.2;f82v.2;f82v.4;f88v.2	f100r.20;f100r.3;f68v2.18;f69v.16;f69v.22;f70v1.15	e;ed;eo;o;octhy;ol	e;ed;ee;eeol;eey;ek;eo;eol;o;octhy;ykeo	INTERESTING_EXPLORATORY
10	RATE:F=O>=0.10	REL_ENCLOSURE	f67r2.48;f68r2.11;f68r2.19;f68r2.24;f68r2.25;f68r2.28	f100v.1;f67r2.14;f67r2.24;f67r2.39;f67r2.56;f69r.45	ain;cheod;d;l;opol;y	aiin;aiir;ar;cho;d;eees;eeo;eeol;ees;l;lchd;oiin;or;s;y	INTERESTING_EXPLORATORY
