locus	page	physical_folio	group_index	previous_dy_token	target_token	target_family	record_state	anchor_models	anchor_features	primary_informative_stratum	claim_state
f103r.21	f103r	f103	3	sokedy	dalkar	BABQAC	AR_REFERENCE	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|F3:ABQ|H2:lk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103r.21	f103r	f103	10	pchedy	okaly	AQABA	AL_STATE	RESIDUAL_HOST	H3:kal	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103r.24	f103r	f103	4	shedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103r.32	f103r	f103	3	shedy	qokedy	DAQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103r.32	f103r	f103	4	qokedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103r.4	f103r	f103	2	ychedy	qokedy	DAQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103r.4	f103r	f103	3	qokedy	okedy	AQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103r.45	f103r	f103	8	oteedy	olkeol	ABQJAB	OL_STATE	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|F3:ABQ|H2:lk|H3:olk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103v.11	f103v	f103	2	qokeedy	olkeeshy	ABQKLA	OL_STATE	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|F3:ABQ|H2:lk|H3:olk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103v.17	f103v	f103	5	oteedy	lkedy	BQJBA	DY_RESOLUTION	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|F3:QJB|H2:lk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103v.17	f103v	f103	7	shedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f103v.30	f103v	f103	6	fchedy	otedy	AQJBA	DY_RESOLUTION	SOURCE_FAMILY	F3:QJB	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f104r.17	f104r	f104	2	ykeeshedy	olkeeody	ABQKABA	DY_RESOLUTION	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|F3:ABQ|H2:lk|H3:olk	1	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f104r.33	f104r	f104	4	qokcheedy	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f104r.34	f104r	f104	9	cheody	qokal	DAQAB	AL_STATE	RESIDUAL_HOST	H3:kal|HOST_EXACT:okal	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
f104r.42	f104r	f104	3	lshedy	cholkar	KABQAC	AR_REFERENCE	RESIDUAL_HOST|SOURCE_FAMILY	F2:BQ|F3:ABQ|H2:lk|H3:olk	0	FIGURE_ANCHOR_POST_DY_PROSE_OCCURRENCE_NOT_FIGURE_MEANING
