locus	page	physical_folio	register	hand	group_index	group_count	token	stripped_prefix	residual_host	base_host	record_state
f31r.12	f31r	f31	HB	2	5	6	chedaiin	che	daiin	aiin	CARRIER_STATE
f33v.7	f33v	f33	HB	2	9	10	chdyshdy	ch	dysh	ysh	DY_RESOLUTION
f34r.3	f34r	f34	HB	2	3	11	chdaly	ch	daly	aly	AL_STATE
f34v.2	f34v	f34	HB	2	6	11	chdaiin	ch	daiin	aiin	CARRIER_STATE
f34v.4	f34v	f34	HB	2	5	10	chdaiin	ch	daiin	aiin	CARRIER_STATE
f39r.13	f39r	f39	HB	2	2	10	chdar	ch	dar	ar	AR_REFERENCE
f39r.14	f39r	f39	HB	2	10	11	chdam	ch	dam	am	CARRIER_STATE
f39r.9	f39r	f39	HB	2	5	5	shdaiin	sh	daiin	aiin	CARRIER_STATE
f41v.2	f41v	f41	HB	5	7	9	shdchdy	sh	dch	ch	DY_RESOLUTION
f41v.7	f41v	f41	HB	5	5	9	chdal	ch	dal	al	AL_STATE
f46v.12	f46v	f46	HB	2	3	5	chdam	ch	dam	am	CARRIER_STATE
f46v.12	f46v	f46	HB	2	5	5	chdam	ch	dam	am	CARRIER_STATE
f46v.4	f46v	f46	HB	2	3	13	chdal	ch	dal	al	AL_STATE
f46v.4	f46v	f46	HB	2	6	13	chdody	ch	do	o	DY_RESOLUTION
f48v.10	f48v	f48	HB	5	6	13	chdor	ch	dor	or	CARRIER_STATE
f95r1.7	f95r1	f95	HB	3	4	9	chdain	ch	dain	ain	CARRIER_STATE
f95r1.7	f95r1	f95	HB	3	5	9	chdaiin	ch	daiin	aiin	CARRIER_STATE
f95r2.9	f95r2	f95	HB	3	6	7	chdaiin	ch	daiin	aiin	CARRIER_STATE
f95v1.6	f95v1	f95	HB	3	10	10	chdam	ch	dam	am	CARRIER_STATE
f103r.22	f103r	f103	SB	3	4	12	shdal	sh	dal	al	AL_STATE
f103r.30	f103r	f103	SB	3	9	9	chdaly	ch	daly	aly	AL_STATE
f103r.31	f103r	f103	SB	3	8	11	shdar	sh	dar	ar	AR_REFERENCE
f103v.33	f103v	f103	SB	3	8	10	shdpchy	sh	dpchy	pchy	CARRIER_STATE
f104r.19	f104r	f104	SB	3	2	12	chdar	ch	dar	ar	AR_REFERENCE
f104r.28	f104r	f104	SB	3	2	14	chedar	che	dar	ar	AR_REFERENCE
f104r.5	f104r	f104	SB	3	7	12	chedacphy	che	dacphy	acphy	CARRIER_STATE
f104v.16	f104v	f104	SB	3	3	12	chdor	ch	dor	or	CARRIER_STATE
f104v.20	f104v	f104	SB	3	11	12	chdar	ch	dar	ar	AR_REFERENCE
f104v.27	f104v	f104	SB	3	7	13	chdor	ch	dor	or	CARRIER_STATE
f104v.33	f104v	f104	SB	3	11	15	chedain	che	dain	ain	CARRIER_STATE
f104v.38	f104v	f104	SB	3	12	13	chedain	che	dain	ain	CARRIER_STATE
f104v.4	f104v	f104	SB	3	2	11	chedaiin	che	daiin	aiin	CARRIER_STATE
f104v.5	f104v	f104	SB	3	2	6	chdeey	ch	deey	eey	CARRIER_STATE
f105r.18	f105r	f105	SB	3	7	12	chdaiin	ch	daiin	aiin	CARRIER_STATE
f105v.18	f105v	f105	SB	3	2	10	chedaiin	che	daiin	aiin	CARRIER_STATE
f105v.20	f105v	f105	SB	3	3	12	chedain	che	dain	ain	CARRIER_STATE
f105v.22	f105v	f105	SB	3	3	6	chedal	che	dal	al	AL_STATE
f105v.26	f105v	f105	SB	3	8	12	chedor	che	dor	or	CARRIER_STATE
f105v.34	f105v	f105	SB	3	8	11	chedaiin	che	daiin	aiin	CARRIER_STATE
f105v.36	f105v	f105	SB	3	7	10	chdal	ch	dal	al	AL_STATE
f105v.4	f105v	f105	SB	3	4	8	chdor	ch	dor	or	CARRIER_STATE
f105v.4	f105v	f105	SB	3	8	8	chedaiin	che	daiin	aiin	CARRIER_STATE
f106r.16	f106r	f106	SB	3	9	12	chedar	che	dar	ar	AR_REFERENCE
f106r.16	f106r	f106	SB	3	12	12	chdam	ch	dam	am	CARRIER_STATE
f106r.40	f106r	f106	SB	3	11	11	chdaldy	ch	dal	al	DY_RESOLUTION
f106v.18	f106v	f106	SB	3	7	10	shdar	sh	dar	ar	AR_REFERENCE
f106v.4	f106v	f106	SB	3	6	8	chdal	ch	dal	al	AL_STATE
f106v.4	f106v	f106	SB	3	7	8	chdam	ch	dam	am	CARRIER_STATE
f107r.25	f107r	f107	SB	3	10	11	chdalal	ch	dalal	alal	AL_STATE
f107r.4	f107r	f107	SB	3	2	12	chedain	che	dain	ain	CARRIER_STATE
f107r.9	f107r	f107	SB	3	8	11	chdykchedy	ch	dykche	ykche	DY_RESOLUTION
f107v.22	f107v	f107	SB	3	6	6	chdar	ch	dar	ar	AR_REFERENCE
f108r.30	f108r	f108	SB	3	2	8	chedal	che	dal	al	AL_STATE
f108r.35	f108r	f108	SB	3	4	10	chdar	ch	dar	ar	AR_REFERENCE
f108r.36	f108r	f108	SB	3	8	9	chedal	che	dal	al	AL_STATE
f108r.42	f108r	f108	SB	3	5	10	chedal	che	dal	al	AL_STATE
f108r.6	f108r	f108	SB	3	11	13	chdar	ch	dar	ar	AR_REFERENCE
f108r.9	f108r	f108	SB	3	2	12	chedain	che	dain	ain	CARRIER_STATE
f108v.21	f108v	f108	SB	3	5	11	chedar	che	dar	ar	AR_REFERENCE
f108v.43	f108v	f108	SB	3	8	9	chedytey	che	dytey	ytey	CARRIER_STATE
f108v.45	f108v	f108	SB	3	4	11	chedar	che	dar	ar	AR_REFERENCE
f111r.27	f111r	f111	SB	3	10	12	chedar	che	dar	ar	AR_REFERENCE
f111r.8	f111r	f111	SB	3	3	12	chedain	che	dain	ain	CARRIER_STATE
f112r.26	f112r	f112	SB	3	3	3	chedam	che	dam	am	CARRIER_STATE
f112r.3	f112r	f112	SB	3	2	8	chedar	che	dar	ar	AR_REFERENCE
f112r.6	f112r	f112	SB	3	1	6	chedal	che	dal	al	AL_STATE
f112v.13	f112v	f112	SB	3	6	9	chedal	che	dal	al	AL_STATE
f112v.33	f112v	f112	SB	3	6	10	chedaiin	che	daiin	aiin	CARRIER_STATE
f112v.34	f112v	f112	SB	3	2	8	chedaiin	che	daiin	aiin	CARRIER_STATE
f112v.34	f112v	f112	SB	3	8	8	chdam	ch	dam	am	CARRIER_STATE
f112v.38	f112v	f112	SB	3	9	12	chedar	che	dar	ar	AR_REFERENCE
f114r.10	f114r	f114	SB	3	2	5	chdodaiin	ch	dodaiin	odaiin	CARRIER_STATE
f114r.10	f114r	f114	SB	3	4	5	chdaiin	ch	daiin	aiin	CARRIER_STATE
f114r.20	f114r	f114	SB	3	2	13	chedaiin	che	daiin	aiin	CARRIER_STATE
f114r.20	f114r	f114	SB	3	6	13	chedaiin	che	daiin	aiin	CARRIER_STATE
f114r.37	f114r	f114	SB	3	13	13	chedaiiin	che	daiiin	aiiin	CARRIER_STATE
f114r.45	f114r	f114	SB	3	5	7	chdar	ch	dar	ar	AR_REFERENCE
f114r.6	f114r	f114	SB	3	8	11	chedol	che	dol	ol	OL_STATE
f114r.6	f114r	f114	SB	3	9	11	chdaiin	ch	daiin	aiin	CARRIER_STATE
f114r.7	f114r	f114	SB	3	5	8	chdedy	ch	de	e	DY_RESOLUTION
f114v.1	f114v	f114	SB	3	3	10	chedain	che	dain	ain	CARRIER_STATE
f114v.10	f114v	f114	SB	3	2	7	chedaiin	che	daiin	aiin	CARRIER_STATE
f114v.16	f114v	f114	SB	3	6	12	chedar	che	dar	ar	AR_REFERENCE
f114v.16	f114v	f114	SB	3	7	12	chdaiin	ch	daiin	aiin	CARRIER_STATE
f114v.16	f114v	f114	SB	3	8	12	chdal	ch	dal	al	AL_STATE
f114v.2	f114v	f114	SB	3	5	11	chedal	che	dal	al	AL_STATE
f114v.2	f114v	f114	SB	3	7	11	chedol	che	dol	ol	OL_STATE
f114v.2	f114v	f114	SB	3	8	11	chedain	che	dain	ain	CARRIER_STATE
f114v.20	f114v	f114	SB	3	8	10	chdor	ch	dor	or	CARRIER_STATE
f114v.21	f114v	f114	SB	3	4	10	chdaiin	ch	daiin	aiin	CARRIER_STATE
f114v.28	f114v	f114	SB	3	2	7	shdo	sh	do	o	CARRIER_STATE
f114v.6	f114v	f114	SB	3	9	10	chedar	che	dar	ar	AR_REFERENCE
f114v.8	f114v	f114	SB	3	4	9	chdaiin	ch	daiin	aiin	CARRIER_STATE
f114v.8	f114v	f114	SB	3	6	9	chedain	che	dain	ain	CARRIER_STATE
f115r.10	f115r	f115	SB	@	6	10	chedaiin	che	daiin	aiin	CARRIER_STATE
f115r.29	f115r	f115	SB	@	2	9	shdalky	sh	dalky	alky	AL_STATE
f115r.5	f115r	f115	SB	@	2	11	chedar	che	dar	ar	AR_REFERENCE
f115v.15	f115v	f115	SB	3	7	12	chdain	ch	dain	ain	CARRIER_STATE
f115v.2	f115v	f115	SB	3	8	10	chdar	ch	dar	ar	AR_REFERENCE
f115v.33	f115v	f115	SB	3	4	5	chdal	ch	dal	al	AL_STATE
f115v.9	f115v	f115	SB	3	2	10	chdaiin	ch	daiin	aiin	CARRIER_STATE
f42r.14	f42r	f42	HA	1	4	7	chdain	ch	dain	ain	CARRIER_STATE
f58v.12	f58v	f58	OB	3	5	10	chedal	che	dal	al	AL_STATE
f76r.6	f76r	f76	OB	2	12	13	chedain	che	dain	ain	CARRIER_STATE
f76v.15	f76v	f76	OB	2	3	5	chedal	che	dal	al	AL_STATE
f76v.18	f76v	f76	OB	2	7	9	chedchey	che	dchey	chey	CARRIER_STATE
f76v.3	f76v	f76	OB	2	4	10	chedaiin	che	daiin	aiin	CARRIER_STATE
f77r.21	f77r	f77	OB	2	1	8	chedaiin	che	daiin	aiin	CARRIER_STATE
f77r.22	f77r	f77	OB	2	7	10	chedaiin	che	daiin	aiin	CARRIER_STATE
f77r.35	f77r	f77	OB	2	7	8	chedaiin	che	daiin	aiin	CARRIER_STATE
f77v.27	f77v	f77	OB	2	3	9	chedal	che	dal	al	AL_STATE
