locus	page	physical_folio	section	hand	group_index	group_count	retained_group_count	retained_line_complete	physical_line_end	token	wrapper	core	wrapper_core	target_state	line_position	field_index	field_count	field_length	field_closed	field_position	field_role	previous_token	previous_core	previous_state	next_token	next_core	next_state	previous_field_states	previous_field_shape	current_field_states	masked_field_template	next_field_states	next_field_shape	micro_context	neighbor_field_context
f104v.4	f104v	f104	SB	3	2	11	11	1	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	2/11	2	2	10	1	FIELD_START	CLOSED|LEN_4PLUS|FIELD_START|CARRIER_STATE	qoteedy	otee	DY_RESOLUTION	chokar	okar	AR_REFERENCE	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	CARRIER_STATE>AR_REFERENCE>OT_OL_LOCAL>ED_MEDIUM>OL_STATE>CARRIER_STATE>OL_STATE>CARRIER_STATE>Q_OUTER_STATE>DY_RESOLUTION	TARGET[CARRIER_STATE]>AR_REFERENCE>OT_OL_LOCAL>ED_MEDIUM>OL_STATE>CARRIER_STATE>OL_STATE>CARRIER_STATE>Q_OUTER_STATE>DY_RESOLUTION	EOL	EOL	DY_RESOLUTION>TARGET[CARRIER_STATE]>AR_REFERENCE	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||EOL
f105r.18	f105r	f105	SB	3	7	12	12	1	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	7/12	2	4	6	1	PRECLOSE	CLOSED|LEN_4PLUS|PRECLOSE|CARRIER_STATE	okeeey	okeeey	OTHER	otedy	ote	DY_RESOLUTION	CARRIER_STATE>DY_RESOLUTION	CLOSED|LEN_2|CARRIER_STATE>DY_RESOLUTION	ENTRY_STATE>AL_STATE>CARRIER_STATE>OTHER>CARRIER_STATE>DY_RESOLUTION	ENTRY_STATE>AL_STATE>CARRIER_STATE>OTHER>TARGET[CARRIER_STATE]>DY_RESOLUTION	CARRIER_STATE>DY_RESOLUTION	CLOSED|LEN_2|CARRIER_STATE>DY_RESOLUTION	OTHER>TARGET[CARRIER_STATE]>DY_RESOLUTION	CLOSED|LEN_2|CARRIER_STATE>DY_RESOLUTION||CLOSED|LEN_2|CARRIER_STATE>DY_RESOLUTION
f105v.18	f105v	f105	SB	3	2	10	10	1	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	2/10	1	2	6	1	FIELD_INTERNAL	CLOSED|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	pchor	pchor	OTHER	okaiin	okaiin	OTHER	BOL	BOL	OTHER>CARRIER_STATE>OTHER>AL_STATE>OL_STATE>DY_RESOLUTION	OTHER>TARGET[CARRIER_STATE]>OTHER>AL_STATE>OL_STATE>DY_RESOLUTION	Q_OUTER_STATE>OTHER>OTHER>AR_REFERENCE	OPEN|LEN_4PLUS|Q_OUTER_STATE>AR_REFERENCE	OTHER>TARGET[CARRIER_STATE]>OTHER	BOL||OPEN|LEN_4PLUS|Q_OUTER_STATE>AR_REFERENCE
f105v.34	f105v	f105	SB	3	8	11	9	0	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	8/9	1	1	9	0	FIELD_INTERNAL	OPEN|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	otaiin	otaiin	OTHER	olkal	olkal	AL_STATE	BOL	BOL	CARRIER_STATE>ENTRY_STATE>CARRIER_STATE>Q_OUTER_STATE>ENTRY_STATE>OTHER>OTHER>CARRIER_STATE>AL_STATE	CARRIER_STATE>ENTRY_STATE>CARRIER_STATE>Q_OUTER_STATE>ENTRY_STATE>OTHER>OTHER>TARGET[CARRIER_STATE]>AL_STATE>OPEN	EOL	EOL	OTHER>TARGET[CARRIER_STATE]>AL_STATE	BOL||EOL
f105v.4	f105v	f105	SB	3	8	8	8	1	1	chedaiin	che	daiin	che|daiin	CARRIER_STATE	8/8	2	2	5	0	OPEN_FIELD_END	OPEN|LEN_4PLUS|OPEN_FIELD_END|CARRIER_STATE	keeol	keeol	OL_STATE	EOS	EOS	EOS	OL_STATE>OTHER>DY_RESOLUTION	CLOSED|LEN_3|OL_STATE>DY_RESOLUTION	CARRIER_STATE>AR_REFERENCE>OL_STATE>OL_STATE>CARRIER_STATE	CARRIER_STATE>AR_REFERENCE>OL_STATE>OL_STATE>TARGET[CARRIER_STATE]>OPEN	EOL	EOL	OL_STATE>TARGET[CARRIER_STATE]>EOS	CLOSED|LEN_3|OL_STATE>DY_RESOLUTION||EOL
f112v.33	f112v	f112	SB	3	6	10	10	1	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	6/10	4	5	2	1	FIELD_START	CLOSED|LEN_2|FIELD_START|CARRIER_STATE	qokeedy	okee	DY_RESOLUTION	okeeedy	okeee	DY_RESOLUTION	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	CARRIER_STATE>DY_RESOLUTION	TARGET[CARRIER_STATE]>DY_RESOLUTION	OTHER>CARRIER_STATE>OL_STATE	OPEN|LEN_3|OTHER>OL_STATE	DY_RESOLUTION>TARGET[CARRIER_STATE]>DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||OPEN|LEN_3|OTHER>OL_STATE
f112v.34	f112v	f112	SB	3	2	8	8	1	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	2/8	1	3	4	1	FIELD_INTERNAL	CLOSED|LEN_4PLUS|FIELD_INTERNAL|CARRIER_STATE	saiin	aiin	ENTRY_STATE	checkhy	ckhy	CARRIER_STATE	BOL	BOL	ENTRY_STATE>CARRIER_STATE>CARRIER_STATE>DY_RESOLUTION	ENTRY_STATE>TARGET[CARRIER_STATE]>CARRIER_STATE>DY_RESOLUTION	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	ENTRY_STATE>TARGET[CARRIER_STATE]>CARRIER_STATE	BOL||CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION
f114r.10	f114r	f114	SB	3	4	5	4	0	0	chdaiin	ch	daiin	ch|daiin	CARRIER_STATE	4/4	2	2	3	0	OPEN_FIELD_END	OPEN|LEN_3|OPEN_FIELD_END|CARRIER_STATE	qoedeey	oedeey	ED_MEDIUM	EOS	EOS	EOS	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	CARRIER_STATE>ED_MEDIUM>CARRIER_STATE	CARRIER_STATE>ED_MEDIUM>TARGET[CARRIER_STATE]>OPEN	EOL	EOL	ED_MEDIUM>TARGET[CARRIER_STATE]>EOS	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||EOL
f114r.20	f114r	f114	SB	3	2	13	13	1	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	2/13	1	6	3	1	PRECLOSE	CLOSED|LEN_3|PRECLOSE|CARRIER_STATE	sair	air	ENTRY_STATE	dalchdy	alch	DY_RESOLUTION	BOL	BOL	ENTRY_STATE>CARRIER_STATE>DY_RESOLUTION	ENTRY_STATE>TARGET[CARRIER_STATE]>DY_RESOLUTION	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	ENTRY_STATE>TARGET[CARRIER_STATE]>DY_RESOLUTION	BOL||CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION
f114r.20	f114r	f114	SB	3	6	13	13	1	0	chedaiin	che	daiin	che|daiin	CARRIER_STATE	6/13	4	6	2	1	FIELD_START	CLOSED|LEN_2|FIELD_START|CARRIER_STATE	olchedy	olche	DY_RESOLUTION	oteedy	otee	DY_RESOLUTION	DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION	CARRIER_STATE>DY_RESOLUTION	TARGET[CARRIER_STATE]>DY_RESOLUTION	ED_MEDIUM>OTHER>OT_AR_LOCAL>DY_RESOLUTION	CLOSED|LEN_4PLUS|ED_MEDIUM>DY_RESOLUTION	DY_RESOLUTION>TARGET[CARRIER_STATE]>DY_RESOLUTION	CLOSED|LEN_1|DY_RESOLUTION>DY_RESOLUTION||CLOSED|LEN_4PLUS|ED_MEDIUM>DY_RESOLUTION
