register	wrapper	inner_d	local_frame	dy_closure	b3	position_quartile	hosts	host_count	ok_occurrences	yk_occurrences	yt_occurrences
HERBAL_A	NONE	0	NONE	0	0	1	ok;yk;yt	3	6	3	4
HERBAL_A	NONE	0	NONE	0	0	2	ok;yk;yt	3	5	2	3
HERBAL_A	NONE	0	NONE	0	0	4	ok;yk;yt	3	3	1	5
HERBAL_B	NONE	0	NONE	0	0	0	ok;yk;yt	3	9	5	1
HERBAL_B	NONE	0	NONE	0	0	2	ok;yk;yt	3	18	2	1
HERBAL_B	NONE	0	NONE	0	0	3	ok;yk;yt	3	20	7	1
OTHER_A	NONE	0	NONE	0	0	0	ok;yk;yt	3	6	1	1
OTHER_A	NONE	0	NONE	0	0	2	ok;yk;yt	3	2	1	1
OTHER_A	NONE	0	NONE	0	0	3	ok;yk;yt	3	2	1	2
OTHER_B	NONE	0	NONE	0	0	0	ok;yk;yt	3	18	4	4
OTHER_B	NONE	0	NONE	0	0	1	ok;yk;yt	3	25	5	7
OTHER_B	NONE	0	NONE	0	0	2	ok;yk;yt	3	20	2	7
OTHER_B	NONE	0	NONE	0	0	3	ok;yk;yt	3	12	1	3
OTHER_B	NONE	0	NONE	0	0	4	ok;yk;yt	3	6	1	2
STARS_RECIPE_B	NONE	0	NONE	0	0	0	ok;yk;yt	3	33	1	5
STARS_RECIPE_B	NONE	0	NONE	0	0	1	ok;yk;yt	3	35	2	2
STARS_RECIPE_B	NONE	0	NONE	0	0	2	ok;yk;yt	3	35	1	2
HERBAL_A	NONE	0	NONE	0	0	0	ok;yt	2	11	0	1
HERBAL_A	NONE	0	NONE	0	0	3	ok;yk	2	3	1	0
HERBAL_A	s	0	NONE	0	0	0	ok;yk	2	2	1	0
HERBAL_B	NONE	0	NONE	0	0	1	ok;yk	2	7	3	0
HERBAL_B	NONE	0	NONE	0	0	4	ok;yk	2	5	1	0
OTHER_A	NONE	0	NONE	0	0	1	ok;yk	2	2	2	0
OTHER_B	d	0	NONE	0	0	1	yk;yt	2	0	1	1
OTHER_B	q	0	NONE	0	0	2	ok;yk	2	72	1	0
STARS_RECIPE_B	NONE	0	NONE	0	0	3	ok;yk	2	17	2	0
STARS_RECIPE_B	NONE	0	NONE	0	0	4	ok;yt	2	5	0	1
