feature_id	page_or_scope	source_artifact	observation_type	cardinality_or_structure	ordered	score_eligible	caveat
VMS_F01	f70v2--f73v zodiac inventory	experiments/semantic_assumptions/results/zodiac_crosssign_phase_capacity.json	HUMAN_INVENTORY_AND_CAPACITY_AUDIT	10 extant signs; 300 expected positions; 299 present labels; 7 panel topologies	NO_COMMON_PHASE	SYSTEM_PROFILE_ONLY	DO_NOT_FIT_CROSSSIGN_DEGREE_PHASE_WITHOUT_EXTERNAL_BAND_AND_START_KEY
VMS_F02	f69v|X1	experiments/semantic_assumptions/results/existing_human_exact_locus_annotations.tsv	EXISTING_HUMAN_ANNOTATION	28 radial text loci	EDITORIAL_CYCLIC_ORDER_NO_AUTHORIAL_ORIGIN	YES_T2_T3	No author-visible start or direction; rotation-invariant comparisons only
VMS_F03	f69v|X1	experiments/semantic_assumptions/results/f69ls001_long_short_result.json	EXISTING_HUMAN_ANNOTATION_AND_VALIDATED_AUDIT	14 LONG; 14 SHORT; exact AB alternation over 28	YES_RELATIVE_ALTERNATION	YES_T2_T3	F69LS001 decision=PROVISIONAL_EXPLORATORY_NONCONFIRMATION_PENDING_VALIDATION; states have no reliable text marker
VMS_F04	f68r1|S1	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	EXISTING_HUMAN_ANNOTATION	29 labelled stars; one central; 28 noncentral	NO_AUTHORIAL_28_ORDER	CARDINALITY_PROFILE_ONLY	Catalogue order is not a lunar sequence
VMS_F05	f67r2|M1	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	EXISTING_HUMAN_ANNOTATION	human-defined seven-member circular label set	CIRCULAR_WITHOUT_VALUE_KEY	YES_T6_NOT_COUNT_ONLY	No weekday, luminary, or name assignment
VMS_F06	f67r2|M2	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	EXISTING_HUMAN_ANNOTATION	human-defined twelve-member moon-associated circular set	CIRCULAR_WITHOUT_VALUE_KEY	CARDINALITY_PROFILE_ONLY	No zodiac-sign or month-name assignment
VMS_F07	f67v2	VOYNICH_ACTIVE_STATE.md	EXISTING_HUMAN_GEOMETRY_AND_SOURCE_NATIVE_AUDIT	fourfold geometry; diagonal endpoints alternate two human catalogue states	THREE_POSSIBLE_PAIRINGS_ONLY	NO_A65_SPECIFIC_PREDICTION	No cardinal directions or Georgian labels; prior semantic transfer nonconfirmed
VMS_F08_01	f67r1|D1	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	FROZEN_TEXT_BLIND_ARRAY	array_id=SCARR001|f67r1|D1;slots=12	AS_FROZEN_IN_SOURCE_INVENTORY	YES_T1	Radial labels in circle sectors.
VMS_F08_02	f67r2|M1	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	FROZEN_TEXT_BLIND_ARRAY	array_id=SCARR002|f67r2|M1;slots=7	AS_FROZEN_IN_SOURCE_INVENTORY	YES_T1	Circle of seven labels above some of the moons.
VMS_F08_03	f67r2|M2	experiments/semantic_assumptions/results/special_circle_text_blind_array_inventory.tsv	FROZEN_TEXT_BLIND_ARRAY	array_id=SCARR003|f67r2|M2;slots=12	AS_FROZEN_IN_SOURCE_INVENTORY	YES_T1	Circle of 12 labels under the moons.
