register	cell	occurrences	physical_folios	complete_line_occurrences	field_positions_complete
HB	C0D0	29	12	14	FIELD_INTERNAL:10;FIELD_START:4
HB	C0D1	31	12	18	FIELD_INTERNAL:8;FIELD_START:10
HB	C1D0	2	2	2	FIELD_INTERNAL:1;OPEN_FIELD_END:1
HB	C1D1	6	4	5	FIELD_INTERNAL:3;FIELD_START:1;OPEN_FIELD_END:1
SB	C0D0	136	11	72	FIELD_INTERNAL:48;FIELD_START:12;PRECLOSE:12
SB	C0D1	59	12	32	FIELD_CLOSE:1;FIELD_INTERNAL:12;FIELD_START:15;OPEN_FIELD_END:2;PRECLOSE:2
SB	C1D0	11	6	6	FIELD_INTERNAL:3;FIELD_START:2;PRECLOSE:1
SB	C1D1	17	5	13	FIELD_INTERNAL:5;FIELD_START:3;OPEN_FIELD_END:1;PRECLOSE:4
HA	C0D0	39	23	26	FIELD_INTERNAL:17;FIELD_START:3;OPEN_FIELD_END:6
HA	C0D1	235	45	167	FIELD_INTERNAL:99;FIELD_START:19;OPEN_FIELD_END:43;PRECLOSE:6
HA	C1D0	29	16	19	FIELD_INTERNAL:15;OPEN_FIELD_END:3;SINGLE:1
HA	C1D1	0	0	0	NONE
OB	C0D0	84	18	47	FIELD_INTERNAL:22;FIELD_START:12;OPEN_FIELD_END:7;PRECLOSE:5;SINGLE:1
OB	C0D1	91	18	43	FIELD_INTERNAL:18;FIELD_START:15;OPEN_FIELD_END:5;PRECLOSE:5
OB	C1D0	1	1	1	FIELD_INTERNAL:1
OB	C1D1	4	2	2	FIELD_INTERNAL:1;FIELD_START:1
