fold	selected_predicate	training_log2_lift	held_terminal_hits	held_terminal_total	held_interior_hits	held_interior_total	held_log2_lift	corpus_view
1402	SUFFIX2:nj	6.755978551094428	8	1187	0	14398	7.686824721032112	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1403	SUFFIX3:gni	6.84493378334287	2	1207	0	14414	5.898806571944553	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1405	SUFFIX2:nj	6.983292761216065	1	1024	0	12070	5.142811884363484	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1406	SUFFIX2:nj	7.000948348802248	0	1102	0	14989	3.7644956872438393	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1407	SUFFIX3:gni	7.322418792446383	6	1452	1	17677	5.720325674037897	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1409	SUFFIX2:nj	7.0478652746213895	10	1221	1	14699	6.395854886849963	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1410	SUFFIX3:inj	7.207686219875258	4	1442	1	17140	5.1552705740137705	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1413	SUFFIX3:gni	6.9597915150080985	0	1193	0	13970	3.548560546276679	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1414	SUFFIX3:gni	6.955317195596861	0	1532	0	18698	3.608531516473263	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1415	SUFFIX3:gni	6.958802491908437	0	1696	0	20041	3.5619680128966844	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1416	SUFFIX2:nj	7.672403979223459	6	1216	2	14649	4.968011214736974	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1418	SUFFIX3:gni	6.960686587335388	0	1682	0	19564	3.5391680284582074	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1419	SUFFIX2:nj	7.018629922577113	0	424	0	3986	3.2297688589722666	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1420	SUFFIX2:nj	7.015250243425313	0	216	0	2137	3.3004949052760115	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1421	SUFFIX2:nj	7.0121473299962265	0	1755	0	20749	3.562746586473654	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1422	SUFFIX3:gni	7.700810492069023	0	1310	1	14658	1.8980845984187629	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1423	SUFFIX2:nj	7.0222000819306745	0	1891	0	20689	3.450949651407977	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
1424	SUFFIX3:uld	7.029361855605992	0	521	6	4635	-0.549680863704505	AUGSBURG_ACCOUNTS:ORIGINAL_ENTRY
Band2	SUFFIX3:ijo	8.508219298118197	19	8000	1	56456	6.519339956622058	NUREMBERG_LETTERBOOKS:REAL_DIPLOMATIC
Band3	SUFFIX2:xo	7.494771056036346	66	15468	1	124415	8.478040122661678	NUREMBERG_LETTERBOOKS:REAL_DIPLOMATIC
Band4	SUFFIX3:ijo	8.536993923036205	13	8136	1	68301	6.239283929356715	NUREMBERG_LETTERBOOKS:REAL_DIPLOMATIC
Band5	SUFFIX3:ijo	8.234423761792321	34	16720	1	139469	7.583783752207888	NUREMBERG_LETTERBOOKS:REAL_DIPLOMATIC
Band2	SUFFIX3:ijo	8.50813803000694	19	8007	1	56458	6.518129414900083	NUREMBERG_LETTERBOOKS:EXPANDED
Band3	SUFFIX2:xo	7.494452592368457	66	15470	1	124417	8.477876798750248	NUREMBERG_LETTERBOOKS:EXPANDED
Band4	SUFFIX3:ijo	8.536666515114241	13	8136	1	68302	6.239305051497793	NUREMBERG_LETTERBOOKS:EXPANDED
Band5	SUFFIX3:ijo	8.234041940499372	34	16721	1	139472	7.583728506399215	NUREMBERG_LETTERBOOKS:EXPANDED
STE1_SEG01	NONE	0.0	0	4	0	43	3.137503523749935	STE1_RECIPES:REAL_DIPLOMATIC
STE1_SEG02	NONE	0.0	0	6	0	58	3.0752881273042374	STE1_RECIPES:REAL_DIPLOMATIC
STE1_SEG01	NONE	0.0	0	4	0	43	3.137503523749935	STE1_RECIPES:EXPANDED
STE1_SEG02	NONE	0.0	0	6	0	58	3.0752881273042374	STE1_RECIPES:EXPANDED
