relation_id	relation_class	component	source_page	target_page	page_host	source_occurrences	target_occurrences	global_occurrences	global_non_f84_pages	rarity_rank_within_pair	semantic_role
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f17v	f96v	olcheey	1	1	2	2	1	UNASSIGNED
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f17v	f96v	ycheey	1	1	5	5	2	UNASSIGNED
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f17v	f96v	os	1	2	26	21	3	UNASSIGNED
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f17v	f96v	ain	1	1	61	42	4	UNASSIGNED
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f17v	f96v	ar	2	1	110	57	5	UNASSIGNED
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f17v	f96v	or	9	2	288	96	6	UNASSIGNED
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f17v	f96v	y	4	1	333	104	7	UNASSIGNED
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f17v	f96v	aiin	2	1	364	109	8	UNASSIGNED
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f44r	f1v	oto	1	1	10	10	1	UNASSIGNED
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f44r	f1v	oky	3	1	64	46	2	UNASSIGNED
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f44r	f1v	o	1	2	208	92	3	UNASSIGNED
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f44r	f1v	y	2	1	333	104	4	UNASSIGNED
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	f44r	f1v	l	1	4	332	105	5	UNASSIGNED
MHI004	COMPONENT_SIMILARITY	LEAVES	f6r	f51r	ckh	1	1	9	9	1	UNASSIGNED
MHI004	COMPONENT_SIMILARITY	LEAVES	f6r	f51r	al	1	2	58	43	2	UNASSIGNED
MHI004	COMPONENT_SIMILARITY	LEAVES	f6r	f51r	s	2	1	82	50	3	UNASSIGNED
MHI004	COMPONENT_SIMILARITY	LEAVES	f6r	f51r	o	1	2	208	92	4	UNASSIGNED
MHI004	COMPONENT_SIMILARITY	LEAVES	f6r	f51r	or	5	2	288	96	5	UNASSIGNED
MHI004	COMPONENT_SIMILARITY	LEAVES	f6r	f51r	l	3	1	332	105	6	UNASSIGNED
MHI004	COMPONENT_SIMILARITY	LEAVES	f6r	f51r	aiin	4	1	364	109	7	UNASSIGNED
MHI005	COMPONENT_SIMILARITY	LEAVES	f50r	f6r	pch	1	1	5	5	1	UNASSIGNED
MHI005	COMPONENT_SIMILARITY	LEAVES	f50r	f6r	k	4	1	51	28	2	UNASSIGNED
MHI005	COMPONENT_SIMILARITY	LEAVES	f50r	f6r	ckhy	1	1	40	30	3	UNASSIGNED
MHI005	COMPONENT_SIMILARITY	LEAVES	f50r	f6r	ok	4	2	141	55	4	UNASSIGNED
MHI005	COMPONENT_SIMILARITY	LEAVES	f50r	f6r	ar	4	1	110	57	5	UNASSIGNED
MHI005	COMPONENT_SIMILARITY	LEAVES	f50r	f6r	o	1	1	208	92	6	UNASSIGNED
MHI005	COMPONENT_SIMILARITY	LEAVES	f50r	f6r	or	2	5	288	96	7	UNASSIGNED
MHI005	COMPONENT_SIMILARITY	LEAVES	f50r	f6r	y	3	2	333	104	8	UNASSIGNED
MHI006	COMPONENT_SIMILARITY	FLOWER	f19r	f2v	olo	1	2	8	7	1	UNASSIGNED
MHI006	COMPONENT_SIMILARITY	FLOWER	f19r	f2v	r	1	1	19	16	2	UNASSIGNED
MHI006	COMPONENT_SIMILARITY	FLOWER	f19r	f2v	chy	6	1	81	46	3	UNASSIGNED
MHI006	COMPONENT_SIMILARITY	FLOWER	f19r	f2v	d	1	2	120	68	4	UNASSIGNED
MHI006	COMPONENT_SIMILARITY	FLOWER	f19r	f2v	or	7	5	288	96	5	UNASSIGNED
MHI006	COMPONENT_SIMILARITY	FLOWER	f19r	f2v	y	6	1	333	104	6	UNASSIGNED
MHI006	COMPONENT_SIMILARITY	FLOWER	f19r	f2v	l	3	5	332	105	7	UNASSIGNED
MHI006	COMPONENT_SIMILARITY	FLOWER	f19r	f2v	aiin	5	4	364	109	8	UNASSIGNED
MHI007	COMPONENT_SIMILARITY	BULBS	f90r1	f3v	kor	1	1	8	8	1	UNASSIGNED
MHI007	COMPONENT_SIMILARITY	BULBS	f90r1	f3v	oko	1	1	10	9	2	UNASSIGNED
MHI007	COMPONENT_SIMILARITY	BULBS	f90r1	f3v	chor	1	3	53	37	3	UNASSIGNED
MHI007	COMPONENT_SIMILARITY	BULBS	f90r1	f3v	s	2	3	82	50	4	UNASSIGNED
MHI007	COMPONENT_SIMILARITY	BULBS	f90r1	f3v	d	2	2	120	68	5	UNASSIGNED
MHI007	COMPONENT_SIMILARITY	BULBS	f90r1	f3v	or	1	3	288	96	6	UNASSIGNED
MHI007	COMPONENT_SIMILARITY	BULBS	f90r1	f3v	l	2	4	332	105	7	UNASSIGNED
