page	physical_folio	register	occurrences	ok	yk	yt	page_gain_vs_wrapper	rank_by_gain
f86v5	f86	OTHER_B	20	6	6	8	10.384376513	1
f58r	f58	OTHER_A	13	8	1	4	2.84214004136	2
f107v	f107	STARS_RECIPE_B	40	40	0	0	1.34283700987	3
f80v	f80	OTHER_B	25	25	0	0	1.31232031931	4
f80r	f80	OTHER_B	23	23	0	0	0.876218039123	5
f82v	f82	OTHER_B	28	28	0	0	0.591372788989	6
f86v3	f86	OTHER_B	7	2	2	3	0.497910909739	7
f55v	f55	HERBAL_B	11	5	5	1	0.435604242774	8
f75v	f75	OTHER_B	19	19	0	0	0.430059146797	9
f79v	f79	OTHER_B	26	24	1	1	0.40042252022	10
f95r2	f95	HERBAL_B	9	9	0	0	0.366494532382	11
f82r	f82	OTHER_B	11	11	0	0	0.364593018053	12
f48v	f48	HERBAL_B	8	8	0	0	0.300297379156	13
f83v	f83	OTHER_B	24	24	0	0	0.300001545573	14
f108r	f108	STARS_RECIPE_B	13	13	0	0	0.275990019003	15
f79r	f79	OTHER_B	20	20	0	0	0.273233860497	16
f104r	f104	STARS_RECIPE_B	19	19	0	0	0.273129300045	17
f83r	f83	OTHER_B	11	11	0	0	0.218401989671	18
f103r	f103	STARS_RECIPE_B	18	18	0	0	0.201982711546	19
f40v	f40	HERBAL_B	6	6	0	0	0.194898265595	20
f78r	f78	OTHER_B	9	9	0	0	0.173823018577	21
f81v	f81	OTHER_B	9	9	0	0	0.133929584476	22
f33r	f33	HERBAL_B	5	5	0	0	0.111257107621	23
f17v	f17	HERBAL_A	3	3	0	0	0.101824403304	24
f113r	f113	STARS_RECIPE_B	9	9	0	0	0.0989607196128	25
f33v	f33	HERBAL_B	4	4	0	0	0.0833133789203	26
f112v	f112	STARS_RECIPE_B	9	9	0	0	0.0787352797398	27
f95r1	f95	HERBAL_B	5	5	0	0	0.0761048810533	28
f95v1	f95	HERBAL_B	5	5	0	0	0.0760010872753	29
f103v	f103	STARS_RECIPE_B	11	11	0	0	0.0729339738776	30
f15r	f15	HERBAL_A	3	3	0	0	0.0722418280765	31
f50r	f50	HERBAL_B	4	4	0	0	0.0673884726475	32
f43v	f43	HERBAL_B	3	0	2	1	0.0663569887918	33
f114v	f114	STARS_RECIPE_B	8	8	0	0	0.0604651651503	34
f76v	f76	OTHER_B	6	6	0	0	0.05922537584	35
f66r	f66	OTHER_B	6	6	0	0	0.0557457178527	36
f108v	f108	STARS_RECIPE_B	8	8	0	0	0.0522768265005	37
f22v	f22	HERBAL_A	3	1	0	2	0.0491074908655	38
f81r	f81	OTHER_B	5	5	0	0	0.0417109616592	39
f23v	f23	HERBAL_A	3	3	0	0	0.0409824117598	40
f89v1	f89	OTHER_A	3	3	0	0	0.0374418974326	41
f95v2	f95	HERBAL_B	3	3	0	0	0.0362614276041	42
f16v	f16	HERBAL_A	3	3	0	0	0.0308497147741	43
f111r	f111	STARS_RECIPE_B	5	5	0	0	0.027764862738	44
f50v	f50	HERBAL_B	7	6	1	0	0.0204753579638	45
f116r	f116	STARS_RECIPE_B	10	10	0	0	0.0176679115243	46
f105r	f105	STARS_RECIPE_B	5	5	0	0	0.0103745211727	47
f15v	f15	HERBAL_A	2	2	0	0	0.00977273874718	48
f47r	f47	HERBAL_A	2	2	0	0	0.00636908550582	49
f6r	f6	HERBAL_A	2	2	0	0	0.00636908550582	50
f46r	f46	HERBAL_B	2	2	0	0	0.00100178463596	51
f115r	f115	STARS_RECIPE_B	3	3	0	0	0.000161078431507	52
f100v	f100	OTHER_A	1	1	0	0	0	53
f13v	f13	HERBAL_A	1	0	0	1	0	54
f17r	f17	HERBAL_A	1	1	0	0	0	55
f18v	f18	HERBAL_A	1	0	1	0	0	56
f19v	f19	HERBAL_A	2	0	0	2	0	57
f20v	f20	HERBAL_A	1	1	0	0	0	58
f21r	f21	HERBAL_A	1	1	0	0	0	59
f22r	f22	HERBAL_A	1	0	1	0	0	60
f23r	f23	HERBAL_A	1	1	0	0	0	61
f24v	f24	HERBAL_A	1	1	0	0	0	62
f25r	f25	HERBAL_A	1	1	0	0	0	63
f26r	f26	HERBAL_B	1	1	0	0	0	64
f28v	f28	HERBAL_A	2	1	1	0	0	65
f29r	f29	HERBAL_A	1	1	0	0	0	66
f29v	f29	HERBAL_A	1	0	1	0	0	67
f34v	f34	HERBAL_B	1	0	1	0	0	68
f36v	f36	HERBAL_A	1	1	0	0	0	69
f38r	f38	HERBAL_A	1	1	0	0	0	70
f38v	f38	HERBAL_A	1	1	0	0	0	71
f42r	f42	HERBAL_A	1	1	0	0	0	72
f42v	f42	HERBAL_A	1	1	0	0	0	73
f43r	f43	HERBAL_B	1	1	0	0	0	74
f46v	f46	HERBAL_B	1	0	1	0	0	75
f49v	f49	HERBAL_A	1	1	0	0	0	76
f4r	f4	HERBAL_A	1	1	0	0	0	77
f51v	f51	HERBAL_A	1	0	1	0	0	78
f66v	f66	HERBAL_B	1	1	0	0	0	79
f85r2	f85	OTHER_B	1	1	0	0	0	80
f87v	f87	HERBAL_A	1	0	1	0	0	81
f88v	f88	OTHER_A	1	1	0	0	0	82
f89r1	f89	OTHER_A	1	1	0	0	0	83
f89v2	f89	OTHER_A	1	1	0	0	0	84
f8v	f8	HERBAL_A	1	1	0	0	0	85
f90r2	f90	HERBAL_A	1	1	0	0	0	86
f93r	f93	HERBAL_A	1	1	0	0	0	87
f94r	f94	HERBAL_B	1	1	0	0	0	88
f99r	f99	OTHER_A	1	1	0	0	0	89
f99v	f99	OTHER_A	1	1	0	0	0	90
f9r	f9	HERBAL_A	1	0	0	1	0	91
f16r	f16	HERBAL_A	2	0	1	1	-0.0443941193585	92
f1r	f1	OTHER_A	2	1	1	0	-0.0443941193585	93
f35r	f35	HERBAL_A	2	1	0	1	-0.0443941193585	94
f36r	f36	HERBAL_A	2	1	0	1	-0.0443941193585	95
f9v	f9	HERBAL_A	2	1	1	0	-0.0443941193585	96
f34r	f34	HERBAL_B	2	1	1	0	-0.0443941193585	97
f37r	f37	HERBAL_A	2	1	1	0	-0.0443941193585	98
f44v	f44	HERBAL_A	2	1	0	1	-0.0443941193585	99
f52r	f52	HERBAL_A	2	0	1	1	-0.0443941193585	100
f88r	f88	OTHER_A	2	1	1	0	-0.0443941193585	101
f39r	f39	HERBAL_B	5	3	2	0	-0.0484845858852	102
f54v	f54	HERBAL_A	3	2	0	1	-0.0567064086607	103
f45r	f45	HERBAL_A	3	2	0	1	-0.0567064086607	104
f113v	f113	STARS_RECIPE_B	25	24	1	0	-0.0754685831124	105
f84v	f84	OTHER_B	9	8	1	0	-0.0856039363626	106
f106v	f106	STARS_RECIPE_B	14	12	0	2	-0.0879276164045	107
f75r	f75	OTHER_B	22	21	0	1	-0.0919659798378	108
f94v	f94	HERBAL_B	4	3	0	1	-0.0992953580383	109
f40r	f40	HERBAL_B	6	5	1	0	-0.10807575907	110
f85r1	f85	OTHER_B	5	4	0	1	-0.150478342525	111
f77r	f77	OTHER_B	22	21	1	0	-0.182382926433	112
f39v	f39	HERBAL_B	10	8	2	0	-0.185387606138	113
f115v	f115	STARS_RECIPE_B	6	5	0	1	-0.203756266714	114
f112r	f112	STARS_RECIPE_B	8	7	1	0	-0.215356775492	115
f111v	f111	STARS_RECIPE_B	40	39	1	0	-0.22221163638	116
f55r	f55	HERBAL_B	12	9	3	0	-0.257750766806	117
f104v	f104	STARS_RECIPE_B	13	12	0	1	-0.331422648932	118
f114r	f114	STARS_RECIPE_B	13	10	1	2	-0.573051751189	119
f77v	f77	OTHER_B	22	21	0	1	-0.59586958183	120
f105v	f105	STARS_RECIPE_B	11	9	1	1	-0.612123814407	121
f78v	f78	OTHER_B	15	13	1	1	-0.689756589885	122
f58v	f58	OTHER_A	16	13	2	1	-0.749880812739	123
f107r	f107	STARS_RECIPE_B	18	15	1	2	-1.02302290614	124
f76r	f76	OTHER_B	23	19	1	3	-1.22675140087	125
f106r	f106	STARS_RECIPE_B	25	23	1	1	-1.25865075836	126
f86v6	f86	OTHER_B	31	24	2	5	-2.41681032176	127
