physical_page	register	page_model	clauses	events	instructions	closed_clauses	open_clauses	dominant_verbs	concrete_page_reading_de
f10r	HERBAL	PFLANZENZUBEREITUNG_MIT_BEREITSCHAFTSPRUEFUNG	2	92	55	1	1	CH:25|O:20|CTH:13|T:9|P:4|K:4|SH:3|OK:3	Vom gezeigten Kraut werden nacheinander Teile entnommen, in mehreren Gängen verarbeitet und bis zum gebrauchsfertigen Zustand geführt. Weitere Teile werden nach Sollmaß bereitgestellt und durch einen Durchlass weitergegeben. Der erste große Arbeitsgang schließt; der zweite bleibt als Fortsetzung offen.
f11r	HERBAL	GEHALTENE_UND_ABGETRENNTE_PFLANZENPORTION	2	59	36	1	1	O:10|SH:8|CH:8|T:6|K:6|CTH:5|S:3|OK:2	Halte die bezeichneten Pflanzenteile, entnimm davon Portionen, gib sie in den Ansatz und arbeite sie weiter. Nach erneutem Halten wird ein Teil getrennt oder umgeleitet; der erste Zug schließt, der zweite Artikelzug bleibt offen.
f13r	HERBAL	FUENF_KURZE_PFLANZENARBEITSGAENGE	5	77	54	4	1	O:12|CH:11|K:9|OK:8|SH:7|P:6|T:6|S:5	Bereite den Ansatz, setze das bezeichnete Material ein und entnimm die benötigten Teile. Gib nach Sollmaß zu, halte den Posten, führe ihn durch den angegebenen Gang und schließe vier kurze Arbeitsschritte. Ein letzter Zusatz- und Ansatzschritt bleibt zur Fortsetzung offen.
f55v	HERBAL	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	5	106	66	4	1	K:18|OK:17|O:12|CH:7|CHD:7|T:6|S:4|CHK:3	Setze die Pflanzenzubereitung an und gib ihre Bestandteile in mehreren notierten Portionen zu. Stelle, behandle und versetze den Ansatz zwischen den angegebenen Stellen; entnimm zwischendurch Proben und führe sie durch den Durchlass. Vier Teilgänge schließen, der lange Hauptgang bleibt offen.
f56r	HERBAL	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	3	105	72	2	1	CH:34|OK:21|K:13|O:12|S:7|T:6|SH:5|CTH:3	Entnimm aus dem gezeigten Pflanzenmaterial wiederholt kleine Anteile und setze sie in mehreren Stufen neu an. Gib weitere Anteile zu, halte und prüfe einzelne Züge und führe das Arbeitsgut zur nächsten Stelle. Zwei große Gänge schließen; der letzte bleibt als anschließende Verwendung offen.
f75r	BIOLOGICAL	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	111	408	290	110	1	OK:108|SH:55|CHD:28|K:23|S:18|SHED:17|O:12|P:10	Arbeite die gezeigten Bade- und Stationsposten zellenweise ab: ansetzen, kurz oder länger halten, zur nächsten Stelle umsetzen, dort neu ansetzen und den jeweiligen Schritt schließen. Entnahme, Zugabe, Auffangen und Absetzen erscheinen als lokale Varianten. Fast jede Zelle ist ein eigener kleiner Arbeitsauftrag, nicht Teil eines einzigen langen Satzes.
f81v	BIOLOGICAL	ANWENDUNGS_UND_TRANSFERFOLGE	54	253	182	53	1	OK:46|K:28|CHD:26|SH:25|T:16|CH:11|O:10|SHED:8	Setze den jeweiligen Posten an der gezeigten Station an, gib die bezeichnete Menge zu und halte sie für die notierte Stufe. Führe das Arbeitsgut danach über den nächsten Lauf, setze es dort neu an und lass einzelne Züge absetzen. Die Seite ist eine Folge geschlossener Anwendungs- und Transferzellen.
f82r	BIOLOGICAL	MARKIERTE_STATIONSFOLGE_MIT_DURCHLASS	62	278	209	60	2	OK:66|CHD:32|SH:28|R:20|O:15|K:14|CH:14|S:13	Wähle an jeder dargestellten Station den aktiven Posten, setze ihn an, markiere seinen Zustand und führe ihn über Anschluss oder Durchlass weiter. Wiederhole Zugabe, Halten und Umsetzen gemäß der örtlichen Zeichnung; fange einzelne Ausgänge auf. Fast alle Stationszellen schließen für sich.
f83r	BIOLOGICAL	VARIANTENREGISTER_FUER_UMSETZEN_UND_ABSETZEN	91	341	270	89	2	OK:61|CHD:58|SH:33|S:31|SHED:22|CH:16|T:15|O:14	Diese Seite verzeichnet viele kurze Varianten desselben Stationsbetriebs: auswählen, ansetzen, halten, umsetzen, am neuen Ort wieder ansetzen und schließlich absetzen oder auffangen. Die sichtbaren Becken und Verbindungen bestimmen jeweils den Besitzer; der Text liefert die lokale Handlung und Stufe. Es gibt keinen einzigen durchgehenden Kreislauf, sondern viele abgeschlossene Varianten.
f67r2	ZODIAC	RING_UND_TABELLENPOSTEN_AUSWAEHLEN	11	126	85	3	8	O:54|S:27|CH:12|OK:10|K:8|T:8|P:5|SH:5	Wähle den bezeichneten Ring- oder Tabellenposten, führe die für ihn eingetragene Operation aus und wechsle zur zugeordneten Stelle oder Stufe. Wiederholtes Auswählen, Einstellen und Kennzeichnen spricht eine Nachschlagetafel, nicht eine fortlaufende Pflanzen- oder Badrezeptur. Nur wenige Blöcke schließen ausdrücklich.
