physical_page	page_model	clause_id	start_event	end_event	events	natural_process_summary_de
f10r	PFLANZENZUBEREITUNG_MIT_BEREITSCHAFTSPRUEFUNG	P915-C001	P912-E0001	P912-E0039	39	Beim gezeigten Pflanzenmaterial stehen 26 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 16× entnehmen, 12× ausführen, 6× bereitstellen, 6× einstellen, 4× einsetzen, 1× halten. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f10r	PFLANZENZUBEREITUNG_MIT_BEREITSCHAFTSPRUEFUNG	P915-C002	P912-E0040	P912-E0092	53	Beim gezeigten Pflanzenmaterial stehen 29 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 9× entnehmen, 8× ausführen, 7× bereitstellen, 3× einstellen, 3× zugeben, 2× ansetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Auszug, Sollmaß, Portion. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
f11r	GEHALTENE_UND_ABGETRENNTE_PFLANZENPORTION	P915-C003	P912-E0093	P912-E0099	7	Beim gezeigten Pflanzenmaterial stehen 7 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 4× halten, 2× einstellen, 2× ausführen, 1× trennen, 1× umleiten, 1× entnehmen. Als Einsatzgrößen erscheinen Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f11r	GEHALTENE_UND_ABGETRENNTE_PFLANZENPORTION	P915-C004	P912-E0100	P912-E0151	52	Beim gezeigten Pflanzenmaterial stehen 29 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 8× ausführen, 7× entnehmen, 6× zugeben, 5× bereitstellen, 4× halten, 4× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion. Der Gang führt über weiterer Lauf. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
f13r	FUENF_KURZE_PFLANZENARBEITSGAENGE	P915-C005	P912-E0152	P912-E0193	42	Beim gezeigten Pflanzenmaterial stehen 30 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 8× ausführen, 6× halten, 6× einsetzen, 6× entnehmen, 6× zugeben, 4× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind vollständig. Danach wird der Arbeitsschritt geschlossen.
f13r	FUENF_KURZE_PFLANZENARBEITSGAENGE	P915-C006	P912-E0194	P912-E0209	16	Beim gezeigten Pflanzenmaterial stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× entnehmen, 3× ansetzen, 2× ausführen, 1× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Der Gang führt über Durchlass. Danach wird der Arbeitsschritt geschlossen.
f13r	FUENF_KURZE_PFLANZENARBEITSGAENGE	P915-C007	P912-E0210	P912-E0219	10	Beim gezeigten Pflanzenmaterial stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× ansetzen, 1× entnehmen, 1× ausführen, 1× einstellen, 1× zugeben, 1× auswählen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Danach wird der Arbeitsschritt geschlossen.
f13r	FUENF_KURZE_PFLANZENARBEITSGAENGE	P915-C008	P912-E0220	P912-E0225	6	Beim gezeigten Pflanzenmaterial stehen 5 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× halten, 1× ausführen, 1× zugeben, 1× ansetzen, 1× entnehmen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f13r	FUENF_KURZE_PFLANZENARBEITSGAENGE	P915-C009	P912-E0226	P912-E0228	3	Beim gezeigten Pflanzenmaterial stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× auswählen, 1× zugeben, 1× ansetzen. Als Einsatzgrößen erscheinen Ansatz. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
f55v	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P915-C010	P912-E0229	P912-E0236	8	Beim gezeigten Pflanzenmaterial stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× ausführen, 1× zugeben, 1× entnehmen, 1× umsetzen, 1× einstellen, 1× ansetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Sollmaß, Portion. Der Gang führt über Durchlass. Die notierten Wirkstufen sind kurz, länger, vollständig. Danach wird der Arbeitsschritt geschlossen.
f55v	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P915-C011	P912-E0237	P912-E0258	22	Beim gezeigten Pflanzenmaterial stehen 14 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 5× ausführen, 4× ansetzen, 3× zugeben, 2× auswählen, 2× umsetzen, 1× entnehmen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Auszug, Sollmaß, Portion. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz, länger, vollständig. Danach wird der Arbeitsschritt geschlossen.
f55v	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P915-C012	P912-E0259	P912-E0263	5	Beim gezeigten Pflanzenmaterial stehen 5 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× zugeben, 1× ansetzen, 1× entnehmen, 1× ausführen. Als Einsatzgrößen erscheinen Sollmaß, Portion. Danach wird der Arbeitsschritt geschlossen.
f55v	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P915-C013	P912-E0264	P912-E0319	56	Beim gezeigten Pflanzenmaterial stehen 35 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 11× zugeben, 10× ansetzen, 4× umsetzen, 4× einstellen, 3× entnehmen, 3× ausführen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
f55v	MEHRFACH_ZUGEGEBENE_PFLANZENZUBEREITUNG	P915-C014	P912-E0320	P912-E0334	15	Beim gezeigten Pflanzenmaterial stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× einstellen, 1× behandeln, 1× zugeben, 1× entnehmen, 1× auswählen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion. Der Gang führt über Ziel- oder Anschlussstelle, weiterer Lauf. Die notierten Wirkstufen sind kurz, länger. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
f56r	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	P915-C015	P912-E0335	P912-E0340	6	Beim gezeigten Pflanzenmaterial stehen 4 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× entnehmen, 2× auswählen, 1× ausführen. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f56r	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	P915-C016	P912-E0341	P912-E0385	45	Beim gezeigten Pflanzenmaterial stehen 28 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 14× entnehmen, 10× ansetzen, 6× zugeben, 4× ausführen, 2× halten, 1× umleiten. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
f56r	PORTIONSWEISE_ENTNAHME_UND_NEUANSATZ	P915-C017	P912-E0386	P912-E0439	54	Beim gezeigten Pflanzenmaterial stehen 40 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 17× entnehmen, 11× ansetzen, 7× zugeben, 7× ausführen, 6× einstellen, 4× auswählen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Auszug, Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz, länger. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C018	P912-E0440	P912-E0446	7	An der gezeigten Bad- oder Arbeitsstation stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× zugeben, 2× umsetzen, 2× ansetzen, 1× absetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C019	P912-E0447	P912-E0451	5	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× halten, 1× auswählen. Als Einsatzgrößen erscheinen Portion. Der Gang führt über weiterer Lauf. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C020	P912-E0452	P912-E0453	2	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× umsetzen, 1× zugeben, 1× behandeln. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C021	P912-E0454	P912-E0473	20	An der gezeigten Bad- oder Arbeitsstation stehen 15 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 5× zugeben, 4× halten, 3× ansetzen, 1× kennzeichnen, 1× entnehmen, 1× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Der Gang führt über Ziel- oder Anschlussstelle, weiterer Lauf, Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C022	P912-E0474	P912-E0481	8	An der gezeigten Bad- oder Arbeitsstation stehen 4 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× halten, 1× zugeben, 1× kennzeichnen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Portion. Der Gang führt über Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C023	P912-E0482	P912-E0490	9	An der gezeigten Bad- oder Arbeitsstation stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 5× ansetzen, 1× einsetzen, 1× zugeben, 1× auffangen, 1× entnehmen, 1× bereitstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
f75r	BAD_UND_STATIONSARBEIT_IN_KURZEN_ZELLEN	P915-C024	P912-E0491	P912-E0492	2	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× einsetzen, 1× umsetzen. Danach wird der Arbeitsschritt geschlossen.
