page	locus	line_number	kind	paragraph_start	paragraph_end	eva_clean	zl3b_clean	it2a_clean	rf1b_clean
f1r	f1r.2	2	P	0	0	sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory ckhar or y kair chtaiin shar are cthar cthar dan	sory ckhar ory kair chtaiin shar is cthar cthar dan
f1r	f1r.4	4	P	0	0	soiin oteey oteos roloty cthiar daiin okaiin or okan	soiin oteey oteos roloty cthiar daiin okaiin or okan	ooiin oteey oteos roloty cthar daiin otaiin or okan	soiin oteey oteor roloty ar daiin okaiin or okan
f1r	f1r.8	8	P	0	0	yshey shody okchoy otchol chocthy os chy dain chor kos	yshey shody okchoy otchol chocthy os chy dain chor kos	yshey shody okchoy otchol chocthy oschy dain chor kos	yshey shody okchoy otchol chocthy oschy dain chor kos
f1r	f1r.23	23	P	0	0	ydoin chol dain cthal dar shear kaiin dar shey cthar	ydoin chol dain cthal dar shear kaiin dar shey cthar	doin chol dain cthal dar shear kaiin dar shey cthar	ain chol dain cthal dar shear kaiin dar ey cthar
f4r	f4r.3	3	P	0	0	otchol chol chy chaiin qotaiin daiin shain	otchol chol chy chaiin qotaiin daiin shain	otchol chol chy chaiin qotaiin daiin shain	otchol chol chy chaiin qotaiin daiin shain
f4r	f4r.4	4	P	0	1	qotchol chy yty daiin okaiin cthy	qotchol chy yty daiin okaiin cthy	qotchol chy yty daiin okaiin cthy	qotchol chy yty daiin okaiin cthy
f13r	f13r.5	5	P	1	0	shorodo shy tshy kchol dpchy qopchy otchol cfholdy	shorodo shy tshy kchol dpchy qopchy otchol cfholdy	shorodo shy tshy kchol dpchy qopchy otchol cfhol dy	shorodo shy tshy kchol dpchy qopchy otchol cfholdy
f17r	f17r.1	1	P	1	0	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	fshody daram ydarchom opydy ypod chop otchy dody oldckhy	fshody daram ydar chom opydy ypod chop otchy dody oldckhy
f17r	f17r.2	2	P	0	0	ydair choky okshy qodar ckhody dor otchol qodcthy ods	ydair choky okshy qodar ckhody dor otchol qodcthy ods	ydair shoky okshy qodar ckhody dor otchol qodcthy ods	ydair ch ky okshy qodar ckhody dor otchol qodcthy ods
f17r	f17r.3	3	P	0	1	chol or chy qodam okor chor okchom	chol or chy qodam okor chor okchom	chol or chy qodam okor chor okchom	chol or chy qod am okor chor okchom
