recipe_id	german_instruction	field_no	card_no	surface	exact_tuple_id	meaning	desired_position	observed_support_at_position	position_attested
NEW01_SCABIOSA_RED_WINE	Nimm die faserige untere Wurzel, wasche sie in fließendem Wasser, gib Rotwein zu und koche sanft.	1	1	dchey	65f320e75510b2f38182	take the fibrous lower root	FIRST	1	TRUE
NEW01_SCABIOSA_RED_WINE	Nimm die faserige untere Wurzel, wasche sie in fließendem Wasser, gib Rotwein zu und koche sanft.	1	2	cthoor	dedc383b600397a301ee	wash it in running water	MIDDLE	1	TRUE
NEW01_SCABIOSA_RED_WINE	Nimm die faserige untere Wurzel, wasche sie in fließendem Wasser, gib Rotwein zu und koche sanft.	1	3	chair	12efe866f335461823a6	add red wine	MIDDLE	1	TRUE
NEW01_SCABIOSA_RED_WINE	Nimm die faserige untere Wurzel, wasche sie in fließendem Wasser, gib Rotwein zu und koche sanft.	1	4	oldy	1b1ffdd869fb1429ad03	boil gently; close the rubric	LAST	1	TRUE
NEW02_VIOLET_WARM_POULTICE	Bereite aus den Blättern einen warmen Honigumschlag, trage ihn warm auf, binde ihn auf die geschwollene Stelle und lasse ihn dort ruhen.	1	1	qotchy	a48efd6c4491a046ba78	make a warm poultice from its leaves	FIRST	1	TRUE
NEW02_VIOLET_WARM_POULTICE	Bereite aus den Blättern einen warmen Honigumschlag, trage ihn warm auf, binde ihn auf die geschwollene Stelle und lasse ihn dort ruhen.	1	2	kchoar	c71c72da4e09e0833392	mix it with honey	MIDDLE	1	TRUE
NEW02_VIOLET_WARM_POULTICE	Bereite aus den Blättern einen warmen Honigumschlag, trage ihn warm auf, binde ihn auf die geschwollene Stelle und lasse ihn dort ruhen.	1	3	qotchol	e8a6105b5c3a6220b440	apply it while warm	MIDDLE	1	TRUE
NEW02_VIOLET_WARM_POULTICE	Bereite aus den Blättern einen warmen Honigumschlag, trage ihn warm auf, binde ihn auf die geschwollene Stelle und lasse ihn dort ruhen.	1	4	kchy	b2812c8283c3a62438bd	bind it upon a swollen place	MIDDLE	1	TRUE
NEW02_VIOLET_WARM_POULTICE	Bereite aus den Blättern einen warmen Honigumschlag, trage ihn warm auf, binde ihn auf die geschwollene Stelle und lasse ihn dort ruhen.	1	5	shedy	bc4f1f5c006c74a4d26d	let it stand until ready; end this instruction	LAST	9	TRUE
NEW03_ALLIUM_WOUND_WASH	Beginne den abgemessenen Eintrag, setze die übliche Menge in Weißwein an und wasche die wunde Stelle einmal.	1	1	qokaiin	b5fcea1eaed06b2f2291	begin the next measured entry	FIRST	7	TRUE
NEW03_ALLIUM_WOUND_WASH	Beginne den abgemessenen Eintrag, setze die übliche Menge in Weißwein an und wasche die wunde Stelle einmal.	1	2	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	MIDDLE	9	TRUE
NEW03_ALLIUM_WOUND_WASH	Beginne den abgemessenen Eintrag, setze die übliche Menge in Weißwein an und wasche die wunde Stelle einmal.	1	3	kchol	893c570f3fa3fce99711	steep it in white wine	MIDDLE	1	TRUE
NEW03_ALLIUM_WOUND_WASH	Beginne den abgemessenen Eintrag, setze die übliche Menge in Weißwein an und wasche die wunde Stelle einmal.	1	4	talam	e026af581c99322fbd46	wash the sore place once	LAST	1	TRUE
NEW04_SUNDEW_HONEY_APPLICATION	Setze die übliche Menge in Weißwein an, mische Honig bei und trage sie warm an der bezeichneten Stelle auf.	1	1	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	FIRST	6	TRUE
